Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,1590.4375,1647.625,3482.4375,5254.1875,8376.6875,7979.4375,6082,6077.25,6462.8125,5551.3125,2435,1422.375,
2016,588,"2,067",,,,,,,,,,,"2,655"
2015,"3,828","1,834","2,808","3,096","9,391","3,179","1,615","3,251","3,770","3,995","2,089",669,"39,525"
2014,630,354,"5,553","5,553","6,221","13,556","4,204","5,640","8,769","5,677","2,204",138,"58,499"
2013,948,"1,869","3,975","6,273","7,769","12,011","3,451","4,674","9,997","4,877","1,122",720,"57,686"
2012,"3,179","1,470","2,817","4,520","6,186","6,064","5,807","4,841","9,685","13,089","2,008","1,119","60,785"
2011,"1,743","2,208","4,050","3,769","7,456","7,961","5,941","5,797","5,232","4,114","5,593","3,747","57,611"
2010,"2,556","2,244","4,640","6,150","7,444","7,866","5,276","11,239","4,857","4,122","1,533",594,"58,521"
2009,816,"1,503","2,868","3,741","7,576","7,645","6,435","5,472","5,773","6,201","2,478","2,097","52,605"
2008,"1,594","1,801","2,392","6,540","8,928","5,849","6,206","5,858","4,982","5,167","3,178",861,"53,356"
2007,"1,777","1,609","3,178","4,424","7,328","7,429","6,238","6,158","4,660","3,704","1,751","1,081","49,337"
2006,"1,495","1,624","3,799","4,299","8,181","6,350","6,933","4,579","6,530","4,750","2,532","1,777","52,849"
2005,942,"1,512","2,277","6,783","8,540","7,386","6,661","5,538","5,721","5,735","2,608","2,123","55,826"
2004,735,"1,707","3,884","5,323","8,573","8,066","6,326","6,687","6,100","5,495","2,228","1,045","56,169"
2003,"1,246","1,932","3,298","4,650","8,651","8,787","6,859","6,573","5,493","5,139","2,049","1,332","56,009"
2002,"1,143","1,895","3,806","5,628","9,409","8,497","8,048","7,575","6,215","5,660","2,073","1,344","61,293"
2001,"1,456","1,108","3,847","7,135","10,257","7,971","8,742","6,971","6,975","5,810","2,820","1,587","64,679"
2000,"1,359","1,692","2,527","6,183","12,117","9,054","8,570","6,383","8,646","5,286","2,694","2,524","67,035"
1999,"2,078","2,573","3,660","6,573","14,157","10,686","8,255","6,765","9,084","5,900","2,524","2,699","74,954"
1998,"2,204","2,625","3,808","7,597","14,799","12,766","9,445","7,124","6,067","6,837","2,286","2,409","77,967"
1997,"2,461","2,645","4,355","5,247","11,127","13,377","11,768","8,477","6,041","6,266","3,213","2,624","77,601"
1996,"1,266","2,148","4,253","7,334","17,131","11,907","8,349","8,609","6,004","6,241","2,621","1,475","77,338"
1995,"2,140","2,467","4,613","7,171","16,797","11,954","10,139","8,702","6,230","5,720","2,457",669,"79,059"
1994,"2,166","2,201","4,189","7,721","13,065","7,678","8,466","7,082","6,721","5,605","3,657","2,084","70,635"
1993,"1,539","2,196","3,721","7,205","13,098","10,284","10,572","9,204","7,100","6,458","3,722","1,801","76,900"
1992,"2,127","4,733","5,151","6,773","12,060","9,553","9,188","8,100","5,378","4,995","3,289","1,851","73,198"
1991,"1,356","2,475","3,732","6,423","13,119","13,723","13,935","10,690","7,906","4,988","3,433","2,096","83,876"
1990,"3,870","5,320","5,580","9,471","11,155","14,934","8,757","8,400","10,109","3,948","2,732","1,011","85,287"
1989,"3,237","4,161","7,281","9,527","11,292","10,924","11,075","9,294","7,136","4,878","2,977","2,102","83,884"
1988,"3,831","6,468","6,663","9,913","13,867","10,839","12,395","10,124","10,018","6,758","4,270","2,538","97,684"
1987,"3,645","6,688","7,615","9,618","12,901","19,899","15,423","13,403","9,960","9,020","4,650","2,673","115,495"
1986,"4,057","4,450","8,037","9,771","14,366","16,868","14,648","12,349","7,959","9,150","5,104","3,096","109,855"
1985,"2,988","3,375","8,085","10,696","9,085","15,690","17,193","12,503","9,041","7,924","4,077","3,393","104,050"
1984,"4,917","5,892","8,203","10,936","12,862","13,756","12,486","14,294","8,633","6,611","4,635","1,947","105,172"
1983,"4,828","5,966","7,799","11,133","14,446","14,641","17,625","9,875","7,303","6,957","4,721","2,820","108,114"
1982,"4,038","5,721","8,284","9,300","12,516","10,271","11,420","10,483","7,924","9,001","5,577","3,276","97,811"
1981,"4,449","5,536","8,207","9,113","14,218","12,177","11,097","8,569","8,503","7,189","4,875","3,152","97,085"
1980,"4,641","4,495","7,462","7,404","12,309","10,928","13,782","14,076","6,815","7,177","5,466","2,949","97,504"
1979,"2,348","6,410","12,078","13,667","16,130","9,474","12,567","13,512","12,863","8,796","4,883","5,408","118,136"
