Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,7391.375,7063.1875,23791.9375,46253.5,50080,69597.1875,88350.625,75038.8125,38554.3125,30364.8125,18965.25,17654.125,
2016,"8,479","7,062",,,,,,,,,,,"15,541"
2015,"8,516","6,888","17,258","29,210","52,155","64,598","82,069","73,916","45,246","28,410","17,274","11,644","437,184"
2014,"7,563","6,102","18,941","32,900","51,145","61,042","72,878","74,274","43,984","33,795","17,283","10,610","430,517"
2013,"8,052","7,517","25,374","39,909","54,228","66,099","80,575","77,964","45,933","14,616","17,670","9,859","447,796"
2012,"10,737","8,554","22,282","50,713","51,667","68,242","78,802","73,822","45,074","32,147","14,880","9,896","466,816"
2011,"7,928","8,022","17,369","50,654","48,743","67,030","85,324","62,285","34,800","33,261","19,142","10,897","445,455"
2010,"6,372","5,263","21,447","44,706","48,975","65,841","86,718","82,163","45,278","39,856","21,596","7,985","476,200"
2009,"8,583","8,287","19,585","60,766","46,573","63,876","84,511","74,989","46,633","35,571","17,728","9,189","476,291"
2008,"7,855","6,839","30,678","73,334","50,915","75,991","108,664","80,390","36,261","26,732","18,199","11,863","527,721"
2007,"8,682","7,235","28,210","52,152","49,323","70,192","102,471","76,732","37,466","27,210","22,037","12,621","494,331"
2006,"6,007","8,465","26,112","49,325","48,487","67,691","101,239","70,597","31,266","26,407","18,979","11,569","466,144"
2005,"8,405","9,840","49,919","46,495","45,720","57,159","95,648","70,027","28,385","23,669","14,388","9,293","458,948"
2004,"7,043","6,014","25,106","49,427","42,006","57,090","69,819","63,963","40,275","27,515","19,810","13,273","421,341"
2003,"6,501","7,793","19,624","36,867","78,757","104,848","129,165","118,708","28,511","35,219","23,909","122,279","712,181"
2002,"5,532","6,143","21,549","43,066","44,313","76,220","80,119","63,245","37,670","33,429","18,812","10,639","440,737"
2001,"4,746","5,175","18,745","42,415","44,163","72,386","77,279","71,138","35,919","33,932","21,320","11,330","438,548"
2000,"5,740","4,874","18,472","38,117","44,110","75,250","78,329","66,408","34,168","34,068","20,417","9,519","429,472"
1999,"5,358","8,024","18,571","38,548","25,218","74,275","77,857","54,653","16,923","25,572","20,182","10,500","375,681"
1998,"5,631","7,033","18,545","39,589","50,714","62,059","78,372","58,985","35,057","34,152","19,821","9,252","419,210"
1997,"4,201","6,633","21,528","34,531","46,580","56,453","78,872","77,813","38,674","34,276","15,631","9,940","425,132"
1996,"2,635","5,199","16,314","34,862","43,587","54,081","83,545","67,963","29,886","30,316","14,503","10,830","393,721"
1995,"5,825","7,100","19,759","40,437","44,616","69,417","89,623","60,401","43,030","35,180","15,395","3,888","434,671"
1994,"6,098","9,107","24,989","45,090","48,189","71,149","76,887","85,254","44,963","38,820","16,571","8,638","475,755"
1993,"8,945","9,934","20,400","45,906","53,666","58,286","86,021","81,182","39,288","40,164","21,279","12,291","477,362"
1992,"7,782","8,008","22,383","42,988","47,216","58,580","77,988","85,577","51,563","45,296","19,877","10,385","477,643"
1991,"4,657","8,993","24,105","37,510","36,758","67,384","92,072","92,704","43,752","28,334","15,473","9,752","461,494"
1990,"6,771","10,297","19,181","50,689","47,297","62,517","86,234","87,421","45,221","29,636","12,679","5,518","463,461"
1989,"6,136","4,899","18,701","25,841","50,593","54,313","93,799","97,613","44,721","45,361","23,660","7,257","472,894"
1988,"3,544","3,372","10,540","26,149","35,449","39,784","59,197","53,842","38,592","32,645","18,763","6,740","328,617"
1987,"4,213","4,192","12,534","23,867","34,071","44,673","53,893","59,039","38,143","27,753","11,040","2,539","315,957"
1986,"3,997","6,511","39,235","74,288","37,443","111,188","80,250","151,999","86,189","17,741","12,627","9,311","630,779"
1985,"2,022","4,320","6,794","22,866","43,304","77,691","126,937","77,683","43,564","27,310","11,750","4,436","448,677"
1984,"5,296","10,842","11,301","24,848","45,440","67,569","95,540","77,821","35,487","18,534","10,683","6,132","409,493"
1983,"5,439","7,133","12,411","38,218","43,505","53,872","101,110","67,021","65,579","39,929","33,931","16,141","484,289"
1982,"4,739","3,483","10,364","10,741","36,164","64,783","90,277","84,026","52,921","36,068","14,201","7,593","415,360"
1981,"4,229","5,832","12,427","32,042","41,042","53,822","104,465","101,002","35,745","24,935","10,325","3,752","429,618"
1980,"3,087","3,412","7,793","26,071","40,099","55,992","98,332","92,541","45,767","33,264","16,572","5,879","428,809"
1979,"5,082","4,365","14,205","31,394","33,981","53,938","82,939","81,832","44,217","25,779","13,446","5,144","396,322"
