Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,50.8125,182.4375,52.375,89.4375,445.9375,1203.25,1378.875,1431.3125,581.5625,95.3125,36.9375,58.625,
2016,0,29,,,,,,,,,,,29
2015,28,71,64,98,36,154,227,302,78,50,15,10,"1,133"
2014,8,88,0,19,96,487,476,928,149,57,12,9,"2,329"
2013,54,179,16,80,212,397,712,"1,474",723,33,16,18,"3,914"
2012,23,86,24,34,106,173,368,387,85,41,41,25,"1,393"
2011,18,200,62,169,188,190,287,404,96,46,28,30,"1,718"
2010,14,206,39,61,467,"3,217","1,678",111,278,100,10,30,"6,211"
2009,0,190,57,97,249,628,"1,715","2,339","1,007",100,10,40,"6,432"
2008,23,106,57,97,164,593,"1,040","2,163",465,122,12,100,"4,942"
2007,11,158,42,85,825,"2,586","2,717","3,927",866,110,50,190,"11,567"
2006,59,237,83,130,829,"3,033","2,775","3,736",990,120,51,40,"12,083"
2005,100,264,71,121,"1,051","2,757","3,436","3,376","1,421",78,56,53,"12,784"
2004,86,257,73,102,632,"1,199",768,325,573,165,40,40,"4,260"
2003,91,209,55,86,563,928,"1,671","1,079",681,102,47,40,"5,552"
2002,100,237,65,81,584,843,"1,692",620,740,81,53,48,"5,144"
2001,105,231,74,83,603,"1,278","1,851","1,137",772,132,90,215,"6,571"
2000,93,200,56,88,530,789,649,593,381,188,60,50,"3,677"
1999,70,197,67,81,650,751,760,606,315,186,114,275,"4,072"
1998,76,192,135,220,585,450,433,"1,042",820,91,97,310,"4,451"
1997,2,200,12,35,81,137,143,123,800,210,53,60,"1,856"
1996,10,73,13,14,31,301,162,172,201,20,2,6,"1,005"
1995,3,70,25,10,20,80,100,178,143,25,0,4,658
1994,0,56,5,20,15,65,105,120,250,10,0,0,646
1993,12,13,57,140,194,285,297,397,516,18,12,10,"1,951"
1992,14,46,51,188,55,222,642,651,490,21,24,26,"2,430"
1991,20,102,211,26,60,229,645,473,230,22,32,0,"2,050"
1990,20,102,110,26,60,390,682,386,149,20,0,20,"1,965"
1989,20,102,85,35,45,89,180,143,177,20,0,20,916
1988,20,102,85,35,65,303,193,133,149,110,30,30,"1,255"
1987,20,70,85,35,50,200,386,232,455,196,30,30,"1,789"
1986,20,55,37,20,75,207,360,297,386,210,20,20,"1,707"
1985,7,18,123,90,101,277,499,492,361,65,20,20,"2,073"
1984,15,37,44,30,37,142,234,201,182,25,20,21,988
1983,12,17,19,27,40,85,314,253,128,25,15,20,955
1982,12,6,17,30,41,115,141,127,118,50,25,15,697
