Name,Textbox3
Minuteman Missile NHS,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,971,,,,,,,,,,,,971
2015,284,325,"1,148","2,052","4,081","18,590","30,561","20,557","14,824","5,172","1,627","1,267","100,488"
2014,285,422,896,"1,617","3,592","12,699","18,428","12,662","8,943","1,733",483,298,"62,058"
2013,380,297,"1,123","1,555","6,777","16,456","22,957","15,715","9,345",713,632,311,"76,261"
2012,263,281,"1,367","1,962","6,862","16,195","21,061","15,401","7,660","3,235",862,505,"75,654"
2011,182,140,881,"1,423","4,370","13,407","17,402","11,449","6,614","2,601",618,302,"59,389"
2010,80,127,671,871,"2,706","9,230","12,583","8,719","5,053","1,585",454,269,"42,348"
2009,93,139,291,651,"2,395","8,244","11,116","7,803","4,713",961,236,135,"36,777"
2008,137,79,402,648,"2,406","6,768","9,779","5,498","3,506",992,289,111,"30,615"
2007,139,137,440,541,"2,017","5,185","7,829","4,132","2,481","1,141",366,158,"24,566"
2006,111,58,192,405,"1,621","3,737","4,386","3,081","1,995",751,237,180,"16,754"
2005,36,39,188,320,536,"1,651","1,938","1,712",792,369,168,51,"7,800"
2004,22,54,112,130,298,"1,025","1,389","1,065",535,105,139,50,"4,924"

