Name,Textbox3
Washita Battlefield NHS,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,579,645,,,,,,,,,,,"1,224"
2015,364,670,856,"1,251","1,153","1,236","1,320","1,150","1,168","1,566",752,581,"12,067"
2014,452,397,"1,155","2,517","1,263","1,283","1,117",992,"1,086","1,241",952,731,"13,186"
2013,504,258,273,826,"1,016",869,"1,013",701,"1,178",484,831,481,"8,434"
2012,495,516,"1,011","1,290","1,181",954,"1,095",943,955,"1,066",861,248,"10,615"
2011,569,499,858,"1,097","1,367","1,489","1,115",803,"1,075","1,032",747,344,"10,995"
2010,336,335,702,"1,135","1,471","1,473","1,738","1,586",937,"1,262",983,594,"12,552"
2009,523,650,716,"1,204","1,251","1,178","1,126",934,824,914,828,379,"10,527"
2008,907,853,954,"1,411","1,882","1,348","2,022",991,"1,131","1,231","1,103",746,"14,579"
2007,362,342,559,"1,632","1,085",689,"1,520","1,555","1,937","1,777","1,530",940,"13,928"
2006,715,472,"1,331","1,187","1,650","1,708","1,945","1,203","1,216","1,251",943,787,"14,408"
2005,410,798,"1,109","1,329","2,058","1,626","2,228","1,507","1,491","1,070",968,717,"15,311"
2004,928,470,861,"1,513","1,512","1,781","1,630","1,337","1,726","1,260",930,785,"14,733"
2003,523,404,774,"1,140","1,679","2,105","2,068","1,498","1,311","1,440","1,977",548,"15,467"
2002,547,483,902,"1,617","1,533","1,825","2,247","1,582","1,297","1,227","1,616",498,"15,374"

