Name,Textbox3
Fort Caroline NMEM,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"14,692",,,,,,,,,,,,"14,692"
2015,"16,673","24,524","30,794","25,689","26,652","11,860","13,412","15,300","12,186","16,744","16,297","14,287","224,418"
2014,"19,920","25,921","31,903","25,589","27,064","7,148","10,421","9,611","5,995","6,336","7,599","10,336","187,843"
2013,"25,775","28,000","34,198","29,263","26,691","24,361","26,786","27,408","23,710","12,120","25,330","23,444","307,086"
2012,"24,174","26,554","31,984","31,018","28,404","23,416","26,408","26,446","22,476","26,616","30,941","28,902","327,339"
2011,"24,623","27,867","32,033","31,027","26,529","24,629","27,614","24,878","21,513","25,628","31,159","28,649","326,149"
2010,"20,088","25,523","30,402","30,496","23,695","20,525","25,164","24,070","20,011","25,963","31,512","22,457","299,906"
2009,"21,875","30,279","32,265","31,251","24,012","15,144","18,410","18,833","20,783","26,069","29,567","20,118","288,606"
2008,"17,421","22,584","27,697","28,996","22,631","21,312","22,790","21,268","20,366","25,949","29,164","19,806","279,984"
2007,"20,188","22,927","22,331","23,537","23,451","21,089","16,481","15,012","19,247","19,691","26,005","20,657","250,616"
2006,"17,202","14,784","28,024","19,820","20,456","13,888","18,827","14,491","16,052","19,303","21,822","19,445","224,114"
2005,"12,655","14,023","15,285","15,368","13,061","10,049","9,400","9,650","9,133","11,755","12,208","13,149","145,736"
2004,"19,062","15,934","14,218","15,091","13,683","13,643","13,721","13,444","10,800","14,033","15,152","12,724","171,505"
2003,"18,320","17,694","15,068","14,432","14,318","13,294","13,992","13,324","14,804","13,496","15,959","15,955","180,656"
2002,"19,028","19,007","15,500","14,777","14,710","14,050","14,907","12,795","13,176","13,211","17,326","16,088","184,575"
2001,"18,662","18,757","14,386","15,288","18,988","16,216","16,521","13,894","13,327","13,484","18,183","17,597","195,303"
2000,"16,761","16,614","16,159","15,174","17,575","14,221","15,950","13,475","14,092","13,584","18,722","17,621","189,948"
1999,"14,221","12,742","11,944","15,083","18,090","13,599","16,152","13,294","11,712","12,809","19,412","17,172","176,230"
1998,"11,695","11,553","12,341","11,869","13,353","8,985","8,633","9,285","9,115","11,294","10,029","11,149","129,301"
1997,"11,021","10,811","12,844","10,344","11,697","10,223","11,371","10,789","9,677","10,149","11,944","9,516","130,386"
1996,"11,789","11,378","10,874","10,624","9,890","11,268","8,992","9,139","9,172","10,234","11,682","7,523","122,565"
1995,"15,163","12,223","10,791","9,887","9,830","8,415","13,147","9,787","9,086","8,892","11,563","5,621","124,405"
1994,"22,181","10,061","15,491","12,620","13,296","14,150","14,513","12,698","11,576","11,365","12,326","11,714","161,991"
1993,"8,589","8,052","10,545","13,949","10,121","10,953","13,104","11,500","11,799","10,557","10,897","9,580","129,646"
1992,"8,177","9,296","18,869","9,120","8,282","6,501","6,514","15,408","10,165","13,921","14,258","9,517","130,028"
1991,"10,471","14,637","13,414","12,717","11,826","11,249","9,880","9,271","8,025","9,739","10,496","10,713","132,438"
1990,"8,743","7,316","9,740","10,644","9,059","5,741","6,948","5,328","8,954","7,622","11,601","9,201","100,897"
1989,"4,245","3,886","10,807","9,383","8,954","9,527","9,178","8,177","3,615","8,042","11,277","4,584","91,675"
1988,"8,012","6,069","9,784","8,606","7,714","5,331","7,645","5,227","4,610","7,479","7,351","5,132","82,960"
1987,"6,778","7,620","7,468","7,435","6,175","5,176","8,076","5,091","5,272","9,160","9,819","6,387","84,457"
1986,"12,365","12,878","15,169","12,053","11,932","12,456","11,619","9,577","7,895","8,372","11,445","10,122","135,883"
1985,"16,133","14,717","15,986","14,778","13,701","12,010","13,081","10,656","12,116","14,085","16,205","10,677","164,145"
1984,"11,049","13,891","15,422","12,150","9,815","9,982","11,641","9,369","11,318","13,819","14,092","12,589","145,137"
1983,"10,180","11,107","17,249","14,909","11,427","9,555","11,417","10,204","10,172","12,708","13,397","8,136","140,461"
1982,"11,809","14,134","17,180","10,600","12,538","11,150","11,499","12,975","11,603","14,432","12,404","11,283","151,607"
1981,"9,502","5,868","9,923","9,033","7,345","10,646","9,182","8,946","9,102","11,221","12,083","7,993","110,844"
1980,"13,316","10,290","11,341","10,918","9,102","16,152","11,860","9,107","7,903","11,322","11,905","5,403","128,619"
1979,"13,141","12,673","20,356","14,648","15,309","13,460","19,799","9,250","8,125","14,913","15,745","11,790","169,209"

