Name,Textbox3
Santa Monica Mountains NRA,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2015,"57,171","61,336","70,751","63,253","103,769","72,265","78,018","65,873","53,459","57,696","64,486","49,049","797,126"
2014,"57,101","60,951","64,908","65,043","74,502","60,994","57,525","58,091","59,559","51,679","46,774","37,587","694,714"
2013,"65,078","47,003","65,208","67,570","54,266","58,770","51,769","63,559","39,522","32,495","52,832","34,982","633,054"
2012,"54,585","57,017","41,638","58,474","71,444","59,616","69,762","62,147","41,664","47,320","48,198","37,606","649,471"
2011,"57,061","42,811","56,082","55,783","71,959","56,208","43,273","58,367","51,249","39,061","38,860","38,922","609,636"
2010,"40,687","44,566","51,620","56,946","69,564","47,894","51,904","46,447","42,701","38,588","44,208","33,246","568,371"
2009,"37,387","34,907","59,782","43,014","60,544","38,515","39,639","40,002","35,324","37,991","40,746","33,722","501,573"
2008,"35,504","39,121","41,652","19,203","34,153","34,738","36,731","29,151","37,171","52,530","25,677","33,743","419,374"
2007,"38,091","40,222","53,946","28,254","51,492","48,502","58,223","51,195","55,621","55,564","53,859","42,717","577,686"
2006,"47,854","39,183","49,501","37,977","41,759","42,677","55,528","46,188","39,986","40,933","51,321","41,471","534,378"
2005,"55,675","31,427","35,798","46,346","47,028","43,082","37,127","41,370","30,499","28,238","29,857","20,743","447,190"
2004,"27,665","36,282","46,099","26,109","55,114","45,992","62,865","55,929","42,592","41,626","53,321","32,265","525,859"
2003,"33,070","40,965","41,221","48,377","27,485","28,924","38,045","37,114","56,597","35,180","24,697","36,101","447,776"
2002,"43,906","34,926","41,922","39,782","40,156","40,029","36,260","39,445","48,445","45,926","38,611","19,968","469,376"
2001,"40,199","30,630","48,544","49,070","64,007","54,322","55,896","47,411","38,709","33,598","37,444","33,068","532,898"
2000,"40,806","21,380","35,666","27,771","39,644","49,624","54,098","42,687","40,424","44,245","38,948","34,051","469,344"
1999,"31,229","38,360","62,479","41,399","64,078","46,943","45,618","39,429","59,697","40,402","44,475","41,420","555,529"
1998,"39,612","32,636","40,999","84,585","53,786","49,484","39,507","32,955","36,577","41,232","34,335","30,541","516,249"
1997,"29,288","49,081","62,901","49,958","41,240","45,026","38,128","23,292","34,543","64,151","54,307","38,283","530,198"
1996,"17,150","39,887","32,396","39,243","61,499","48,831","32,071","27,633","30,474","57,066","21,191","21,083","428,524"
1995,"13,919","35,515","35,895","64,124","19,196","43,842","29,893","29,413","30,735","42,299","34,332","8,884","388,047"
1994,"21,716","25,549","47,154","46,522","48,135","39,104","23,394","19,817","27,825","38,687","31,287","15,134","384,324"
1993,"14,955","19,987","23,164","20,995","31,419","72,111","37,554","36,218","46,703","38,432","36,001","24,200","401,739"
1992,"13,595","18,170","21,058","19,086","28,563","65,555","34,140","32,925","42,457","34,938","32,728","22,000","365,215"
1991,"12,359","16,518","19,144","17,351","25,966","59,595","31,036","29,932","38,597","31,762","29,753","22,259","334,272"
1990,"13,319","15,017","17,404","15,774","23,606","54,177","28,215","27,211","35,089","28,875","27,049","20,236","305,972"
1989,"11,183","12,578","18,424","17,018","19,341","21,967","27,265","20,586","14,089","20,719","14,240","12,498","209,908"
1988,"12,667","13,240","18,896","34,984","251,072","58,788","21,038","18,449","25,918","21,146","13,920","11,332","501,450"
1987,"14,162","19,000","20,015","53,142","296,234","20,859","19,927","17,166","16,600","14,686","13,696","12,324","517,811"
1986,"13,534","14,744","16,639","77,786","270,723","19,451","15,501","18,461","20,723","18,560","17,926","12,016","516,064"
1985,"6,954","8,679","14,465","47,665","271,454","77,060","16,119","16,638","12,839","15,473","12,204","13,523","513,073"
1984,"7,843","8,905","9,570","11,899","229,773","121,528","12,765","12,209","12,111","11,711","11,070","9,039","458,423"
1983,"8,552","7,000","7,500","13,744","211,807","96,270","8,928","8,900","9,008","8,500","6,646","7,245","394,100"
1982,"6,587","6,498","8,415","12,250","308,251","84,065","7,231","6,901","5,431","6,900","7,495","8,120","468,144"

