Name,Textbox3
Lincoln Home NHS,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"3,887","5,854",,,,,,,,,,,"9,741"
2015,"3,978","5,020","17,784","25,196","38,705","28,063","34,140","26,272","16,703","22,518","9,922","4,998","233,299"
2014,"2,544","3,435","16,217","26,493","36,283","24,703","32,128","25,348","16,001","20,992","8,675","5,313","218,132"
2013,"4,378","5,186","16,320","27,235","33,830","27,644","28,941","25,736","17,071","8,634","10,763","3,667","209,405"
2012,"4,657","8,276","26,562","35,743","41,158","33,554","41,722","29,997","22,888","27,430","15,070","8,407","295,464"
2011,"3,830","7,264","22,799","35,437","43,085","35,185","42,254","33,687","20,929","29,815","14,467","7,462","296,214"
2010,"4,307","8,354","28,965","47,285","53,882","44,756","48,287","37,705","26,678","32,412","15,094","6,400","354,125"
2009,"5,897","22,771","36,849","58,537","62,060","52,065","67,946","56,554","33,294","40,246","20,010","7,845","464,074"
2008,"4,875","8,709","29,981","43,236","48,251","34,700","46,042","38,154","22,661","37,242","15,119","6,503","335,473"
2007,"4,972","6,689","32,128","45,700","52,653","39,681","53,715","38,348","27,259","34,835","16,526","6,303","358,809"
2006,"6,337","9,843","30,801","50,140","55,842","46,268","55,628","41,503","30,861","36,911","16,342","8,411","388,887"
2005,"3,194","8,462","25,170","54,120","68,472","49,011","62,842","51,272","32,369","39,050","19,022","6,568","419,552"
2004,"5,135","9,310","27,233","50,456","61,958","41,294","50,547","39,180","24,338","31,247","13,831","6,820","361,349"
2003,"4,702","6,591","27,501","54,573","66,157","45,833","55,675","44,490","21,253","33,138","16,176","6,936","383,025"
2002,"5,785","10,438","26,655","54,280","62,310","49,595","51,681","43,866","25,693","34,420","17,598","7,755","390,076"
2001,"4,577","8,724","29,392","50,305","67,270","46,335","58,996","45,065","25,840","33,265","15,529","6,916","392,214"
2000,"3,733","10,543","25,479","45,598","57,316","40,592","56,823","44,135","27,767","34,894","16,267","4,821","367,968"
1999,"3,410","10,093","23,450","44,544","56,394","46,873","58,881","51,817","29,454","38,144","16,995","5,628","385,683"
1998,"6,422","11,884","21,945","53,993","58,237","46,735","61,704","55,970","27,848","38,465","16,741","8,107","408,051"
1997,"4,698","9,725","26,654","55,885","64,942","54,733","69,252","64,122","29,178","38,490","16,096","8,739","442,514"
1996,"4,416","10,850","25,207","51,877","63,727","49,560","66,318","54,137","26,076","36,834","15,754","7,768","412,524"
1995,"5,107","10,701","24,852","47,918","64,761","58,046","77,195","55,082","30,014","38,270","12,932","3,324","428,202"
1994,"4,967","11,743","28,398","50,199","70,733","57,765","79,629","65,844","30,826","36,176","15,244","10,442","461,966"
1993,"6,683","9,711","24,114","47,613","66,326","59,919","85,937","60,579","30,089","36,360","15,562","8,781","451,674"
1992,"8,635","16,499","26,064","54,258","68,962","58,414","111,253","76,114","36,101","39,635","16,237","8,768","520,940"
1991,"6,374","15,721","31,836","50,786","70,698","89,500","77,188","67,058","34,273","36,145","19,093","10,835","509,507"
1990,"9,725","13,080","25,726","47,464","60,227","67,543","82,918","61,343","29,949","30,146","17,615","7,158","452,894"
1989,"8,516","11,245","25,981","47,409","77,472","92,728","133,048","77,409","38,543","40,454","19,820","9,964","582,589"
1988,"4,186","4,492","10,052","33,097","64,582","95,944","179,275","94,975","46,710","39,759","18,885","14,961","606,918"
1987,"6,855","13,217","24,178","51,629","67,502","57,309","76,323","53,005","26,977","27,039","9,749","4,573","418,356"
1986,"9,469","10,713","25,846","42,921","66,114","60,988","70,743","64,895","30,443","31,902","17,391","9,350","440,775"
1985,"6,285","8,571","23,143","46,215","65,568","58,256","62,566","61,913","33,427","37,911","18,275","9,217","431,347"
1984,"8,700","13,041","20,514","42,165","65,296","59,329","64,124","58,977","31,591","36,502","19,152","11,805","431,196"
1983,"10,926","14,932","22,062","41,298","68,921","60,767","67,021","59,652","34,255","40,542","20,262","7,440","448,078"
1982,"5,367","9,233","17,229","37,700","59,888","55,703","70,216","67,981","35,946","39,897","20,080","13,455","432,695"
1981,"8,602","10,250","19,366","42,557","60,692","51,789","62,014","63,542","27,260","32,390","16,594","7,630","402,686"
1980,"6,173","8,483","16,169","39,878","62,554","55,118","65,856","67,368","25,455","34,528","17,802","9,050","408,434"
1979,"6,670","8,606","17,132","39,740","65,133","50,269","63,063","67,092","30,029","32,263","15,432","7,807","403,236"

