Name,Textbox3
Arkansas Post NMEM,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"1,516","1,869",,,,,,,,,,,"3,385"
2015,"2,409","1,359","3,428","3,322","6,456","3,564","4,913","3,252","2,971","2,695","1,695","2,638","38,702"
2014,"1,413","1,686","2,429","3,658","5,047","2,686","2,467","2,538","1,548","3,151","2,110","2,127","30,860"
2013,"3,500","1,741","2,393","3,523","5,378","3,534","3,319","3,215","2,507","2,394","2,806","2,110","36,420"
2012,"2,274","1,470","5,148","2,670","6,184","5,120","3,728","3,328","2,701","2,989","2,365","1,726","39,703"
2011,"1,476","1,871","3,753","3,500","6,061","4,765","2,816","3,268","2,417","3,060","2,258","1,882","37,127"
2010,"1,525","1,619","3,129","3,347","5,264","4,638","3,208","2,440","2,791","2,610","1,867","2,274","34,712"
2009,"1,803","1,938","3,208","3,585","4,341","2,586","2,750","3,654","2,211","2,069","1,909","2,106","32,160"
2008,"1,819","1,790","2,539","3,133","3,354","7,041","7,138","5,435","1,844","2,671","1,896","4,477","43,137"
2007,"1,540","1,628","4,215","2,673","4,469","4,093","4,105","3,234","1,767","2,613","5,127","1,766","37,230"
2006,"2,468","1,497","2,967","3,473","4,578","4,508","4,980","3,189","2,755","2,305","2,182","1,763","36,665"
2005,"2,160","2,093","3,135","4,378","5,193","3,627","4,599","3,223","2,609","2,564","2,092","2,067","37,740"
2004,"1,886","2,100","3,392","3,643","4,190","4,106","4,966","3,917","3,234","2,677","2,308","1,764","38,183"
2003,"2,086","1,510","2,883","4,114","4,914","4,788","4,680","3,535","2,692","2,540","2,065","2,098","37,905"
2002,"1,775","2,405","2,581","3,907","5,084","4,308","4,223","7,658","9,822","2,968","1,758","1,637","48,126"
2001,"2,414","1,964","3,333","4,018","4,757","5,228","4,305","3,768","2,285","2,962","5,801","2,667","43,502"
2000,"3,522","4,278","4,011","3,786","6,033","5,050","4,141","3,533","3,015","2,745","2,073","1,716","43,903"
1999,"5,330","3,264","4,289","5,411","5,684","4,997","5,063","3,873","3,119","3,422","2,597","2,038","49,087"
1998,"3,364","3,506","4,039","5,802","7,044","5,670","5,648","4,426","2,831","4,504","1,567","3,457","51,858"
1997,"2,726","3,083","4,547","5,032","7,064","5,189","4,974","4,469","3,847","3,544","2,520","3,427","50,422"
1996,"4,103","2,493","3,841","4,766","6,907","5,030","5,045","4,480","3,457","2,977","2,470","2,350","47,919"
1995,"2,255","1,384","3,854","4,172","5,353","4,500","5,149","3,760","2,835","3,067","2,283","1,749","40,361"
1994,"2,564","1,943","3,912","5,700","6,651","4,326","5,775","4,058","3,265","3,412","2,697","2,352","46,655"
1993,"3,119","3,212","3,988","5,276","8,156","5,164","5,155","4,493","3,503","3,562","3,298","2,678","51,604"
1992,"2,806","3,425","4,446","5,555","7,156","5,469","5,100","4,878","3,232","3,625","3,468","2,434","51,594"
1991,"5,082","5,982","8,669","8,652","9,037","6,781","7,710","6,363","5,457","7,039","6,293","4,323","81,388"
1990,"4,312","4,718","5,915","8,374","9,979","7,328","8,510","6,913","5,982","5,890","5,805","4,742","78,468"
1989,"4,070","4,600","6,384","7,028","8,150","5,990","7,072","5,782","4,968","5,147","4,841","4,991","69,023"
1988,"3,634","4,008","6,246","8,042","8,044","5,928","6,540","5,958","5,988","4,610","5,159","4,466","68,623"
1987,"3,339","4,689","6,330","6,215","7,061","5,149","5,723","5,267","4,604","3,890","4,714","3,612","60,593"
1986,"3,221","3,637","7,053","6,653","7,621","4,975","5,033","4,032","4,976","4,949","4,566","3,542","60,258"
1985,"3,240","3,312","5,760","7,188","7,397","5,870","4,894","4,990","3,008","3,689","2,335","3,430","55,113"
1984,"2,820","3,525","5,252","6,318","7,148","6,965","6,680","4,733","3,804","3,340","3,456","4,256","58,297"
1983,"4,012","3,564","4,611","5,953","4,477","7,870","5,860","4,528","3,749","3,591","4,020","3,208","55,443"
1982,"3,052","3,144","5,880","6,039","6,162","5,879","6,842","4,856","4,305","4,314","4,048","3,828","58,349"
1981,"4,180","2,736","3,880","5,964","6,221","5,520","5,096","4,484","3,596","5,320","3,693","2,848","53,538"
1980,"4,396","3,484","4,468","5,687","7,727","7,194","6,908","6,588","3,840","5,310","4,040","3,360","63,002"
1979,"3,356","3,544","6,208","6,675","7,888","6,464","6,872","5,232","4,112","4,000","3,768","3,388","61,507"

