Name,Textbox3
Saratoga NHP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"2,942","1,890",,,,,,,,,,,"4,832"
2015,890,661,"1,283","4,495","5,922","6,694","9,403","9,042","7,956","8,139","6,387","4,138","65,010"
2014,593,813,971,"4,745","5,611","7,172","9,744","9,987","8,704","6,964","2,516",953,"58,773"
2013,"1,065",931,"1,496","3,921","5,582","7,941","9,532","10,621","6,471","2,714","3,495",595,"54,364"
2012,"1,107","1,387","1,720","4,708","6,423","7,604","4,600","10,413","8,890","6,478","3,535",823,"57,688"
2011,981,"1,114","1,096","4,820","6,061","8,652","10,597","10,075","7,661","7,495","4,937","1,554","65,043"
2010,"2,215","1,293","3,006","6,067","8,519","8,460","9,980","8,441","7,792","3,370","2,936","1,640","63,719"
2009,"2,014","1,229","2,590","6,223","10,588","12,418","14,076","11,680","13,505","9,504","4,306","1,233","89,366"
2008,"2,497","1,832","2,004","8,495","11,587","10,673","13,836","13,034","10,466","9,387","3,974","1,049","88,834"
2007,"2,154","2,987","2,329","11,660","8,027","11,954","14,008","14,473","14,205","12,951","10,557","1,403","106,708"
2006,"3,364","2,097","3,673","9,931","8,070","12,421","15,330","14,542","11,279","9,830","6,569","2,475","99,581"
2005,"3,260","3,493","3,397","9,647","10,936","11,480","15,966","16,514","10,631","8,835","2,376","1,859","98,394"
2004,"2,309","3,578","2,571","9,134","12,776","17,079","16,436","15,680","13,261","11,854","7,790","1,539","114,007"
2003,"4,039","3,361","4,211","5,583","12,292","14,273","15,878","14,356","12,897","11,555","6,364","2,053","106,862"
2002,"3,746","4,156","4,713","12,229","21,240","17,454","21,016","19,763","14,725","14,003","6,713","3,054","142,812"
2001,"6,051","1,789","3,196","7,150","6,629","10,982","32,903","27,636","29,113","19,413","5,197","4,838","154,897"
2000,"3,197","4,325","3,692","14,731","16,224","14,257","28,067","29,178","22,838","22,304","2,355","2,746","163,914"
1999,"2,487","2,704","5,159","16,011","17,254","19,770","21,333","23,026","20,788","22,079","5,945","2,046","158,602"
1998,"6,618","4,325","5,096","15,436","18,119","15,522","29,004","27,928","19,951","20,599","5,252","2,377","170,227"
1997,"2,059","5,218","3,496","10,862","13,993","16,335","23,853","23,140","16,007","16,383","4,308","2,751","138,405"
1996,"3,425","2,994","6,510","9,532","20,433","15,079","21,630","21,888","12,488","16,593","4,623","2,171","137,366"
1995,"2,582","5,136","4,693","15,170","18,274","17,249","21,034","23,374","29,049","32,537","5,494","2,686","177,278"
1994,"4,092","5,249","5,759","17,613","20,247","18,503","47,208","28,623","20,900","20,108","8,243","3,665","200,210"
1993,"6,420","7,229","6,001","12,103","19,351","15,671","28,345","28,227","20,674","20,729","8,214","1,949","174,913"
1992,"1,970","2,463","3,146","8,746","16,209","21,104","25,533","30,572","22,167","16,767","4,367","1,617","154,661"
1991,"4,001","2,549","5,493","13,094","16,421","20,461","28,901","27,898","23,380","18,614","6,631","2,476","169,919"
1990,"3,260","4,168","3,875","11,222","17,785","18,190","34,957","27,199","22,781","12,886","5,557","2,030","163,910"
1989,"2,133","2,983","4,241","9,912","10,929","15,262","29,524","25,353","18,419","22,424","6,145","1,955","149,280"
1988,"5,744","4,662","2,979","7,691","11,563","12,497","22,242","22,180","16,225","15,035","7,213","1,330","129,361"
1987,"4,092","4,668","3,070","7,380","12,768","11,619","22,847","23,683","17,931","11,821","7,899",998,"128,776"
1986,875,"2,762","3,787","3,370","26,450","32,703","43,171","46,806","17,574","5,888","5,116","1,272","189,774"
1985,"1,022","3,488","2,349","5,840","15,032","16,982","20,040","21,055","15,428","10,773","4,043",870,"116,922"
1984,"2,064","1,027",995,"7,159","13,072","17,577","22,849","21,340","13,763","13,068","6,130",826,"119,870"
1983,"1,220","2,452","1,592","3,651","13,362","18,124","26,347","24,778","15,460","11,001","4,807",725,"123,519"
1982,"1,607","1,813",867,"6,749","11,769","14,243","18,855","28,150","21,383","11,640","4,500",291,"121,867"
1981,"2,214","1,456","1,948","7,181","15,230","14,511","15,190","21,585","10,464","12,432","5,000","1,807","109,018"
1980,676,922,"1,380","9,093","12,483","12,377","18,306","16,790","10,663","9,470","5,000",750,"97,910"
1979,630,692,"1,350","6,390","7,942","11,376","21,254","16,542","12,903","12,008","5,400",754,"97,241"

