Name,Textbox3
Lincoln Memorial,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"280,683",,,,,,,,,,,,"280,683"
2015,"301,952","226,005","577,003","951,157","1,076,971","820,416","880,160","824,768","676,651","721,995","505,653","379,040","7,941,771"
2014,"233,312","215,723","492,181","980,939","919,435","712,821","773,365","828,757","532,661","583,915","464,608","401,355","7,139,072"
2013,"387,691","262,229","763,541","799,264","849,867","686,027","737,835","639,861","448,757","207,467","440,459","323,520","6,546,518"
2012,"229,344","254,251","553,952","696,341","620,352","765,163","781,813","584,715","497,931","498,827","416,256","292,416","6,191,361"
2011,"200,320","184,469","497,856","701,685","623,541","608,299","839,936","653,600","455,573","553,184","354,624","298,133","5,971,220"
2010,"264,032","136,811","527,019","809,461","699,083","674,592","699,061","628,459","426,805","592,021","358,571","226,400","6,042,315"
2009,"537,907","143,029","428,064","505,451","607,328","505,152","620,629","519,648","400,704","412,672","377,941","197,045","5,255,570"
2008,"144,555","229,067","473,152","570,379","596,619","482,763","492,480","493,739","334,432","376,192","303,040","182,443","4,678,861"
2007,"138,869","124,960","382,784","525,003","554,368","447,371","485,227","355,520","324,587","364,843","305,216","205,419","4,214,167"
2006,"143,701","131,019","315,403","528,544","529,024","333,451","436,064","346,165","250,837","304,053","331,627","160,459","3,810,347"
2005,"144,896","182,645","408,992","488,715","442,635","290,187","436,139","277,451","221,259","308,405","269,781","167,701","3,638,806"
2004,"115,712","154,133","349,781","538,197","624,544","448,309","514,155","290,933","228,384","340,043","211,328","173,131","3,988,650"
2003,"113,909","86,645","236,320","350,645","399,755","410,603","383,072","347,861","211,371","307,893","274,933","149,589","3,272,596"
2002,"117,227","157,413","342,069","399,381","433,963","380,565","430,624","378,123","256,139","256,128","235,893","164,448","3,551,973"
2001,"120,981","177,292","423,381","623,634","574,047","453,459","462,187","406,868","156,364","229,482","186,570","154,092","3,968,357"
2000,"81,078","177,547","381,080","508,087","500,011","487,571","486,219","395,140","275,486","321,727","233,845","161,354","4,009,145"
1999,"150,956","171,872","379,883","522,104","538,430","461,463","469,463","400,862","297,834","377,452","268,009","61,152","4,099,480"
1998,"139,488","158,985","380,522","545,035","588,830","464,309","493,386","461,631","299,009","341,492","316,735","179,490","4,368,912"
1997,"53,268","49,077","125,654","167,490","170,441","145,109","164,192","131,383","99,019","149,823","153,120","149,388","1,557,964"
1996,"24,060","41,921","100,649","141,195","141,406","133,813","136,332","124,437","97,364","111,286","81,633","56,865","1,190,961"
1995,"38,508","47,487","91,980","157,163","177,292","157,399","187,208","147,251","108,651","110,762","54,999","12,928","1,291,628"
1994,"26,731","40,202","99,297","166,797","142,440","145,675","142,176","134,857","83,840","101,268","72,777","44,034","1,200,094"
1993,"50,739","44,809","92,056","166,708","153,548","140,608","140,681","144,019","85,645","114,845","80,705","44,171","1,258,534"
1992,"35,157","61,760","99,168","133,504","141,824","142,400","142,849","162,890","91,625","102,868","71,657","51,957","1,237,659"
1991,"35,520","44,608","94,080","137,536","136,052","128,320","150,784","107,806","73,636","105,615","77,878","49,443","1,141,278"
1990,"43,200","59,072","114,880","175,616","143,390","153,600","139,840","135,327","86,912","87,168","83,072","43,008","1,265,085"
1989,"39,104","50,816","124,885","170,212","189,543","164,864","218,048","171,838","104,320","112,915","77,728","38,336","1,462,609"
1988,"97,874","242,929","202,569","403,178","483,602","479,225","219,756","200,928","120,482","190,426","93,885","52,416","2,787,270"
1987,"62,126","91,771","227,009","482,362","546,738","494,600","632,014","548,890","387,491","379,145","261,992","194,154","4,308,292"
1986,"104,076","126,108","237,234","302,108","500,442","537,010","542,232","427,354","523,419","407,666","173,859","90,952","3,972,460"
1985,"120,449","126,436","222,477","481,869","436,394","484,646","509,034","432,431","305,970","351,830","204,756","134,289","3,810,581"
1984,"66,609","96,794","252,497","415,405","401,240","417,799","449,099","391,845","426,192","482,778","396,173","167,040","3,963,471"
1983,"48,588","68,605","226,606","464,450","385,616","413,062","412,838","461,419","304,696","291,804","210,471","64,670","3,352,825"
1982,"41,022","29,252","318,389","406,648","423,157","380,478","427,962","375,217","254,215","214,680","163,044","97,689","3,131,753"
1981,"88,958","64,493","141,413","311,975","461,579","397,203","409,745","436,290","240,337","210,029","136,032","91,433","2,989,487"
1980,"107,228","134,969","183,650","405,169","476,978","527,142","522,317","428,089","182,215","168,706","121,958","49,164","3,307,585"
1979,"23,208","30,326","154,211","348,963","457,794","422,682","476,669","455,388","419,266","276,185","224,678","62,973","3,352,343"

