Name,Textbox3
Fort Raleigh NHS,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"5,921",0,,,,,,,,,,,"5,921"
2015,"3,891","4,358","11,562","17,059","37,175","54,419","57,408","47,103","23,966","17,658","10,137","5,149","289,885"
2014,"3,999","3,952","8,616","11,190","34,777","54,574","54,498","38,151","21,104","19,079","9,078","5,969","264,987"
2013,"4,066","4,473","10,055","14,698","36,142","53,123","54,173","45,547","20,894","9,075","7,164","4,188","263,598"
2012,"5,689","6,109","8,862","17,241","33,983","53,957","58,045","44,692","20,937","18,350","8,455","5,513","281,833"
2011,"8,537","9,601","14,463","20,295","45,105","56,457","50,034","29,533","16,969","14,973","9,725","6,442","282,134"
2010,"4,739","4,930","9,072","17,530","25,270","43,617","70,445","58,834","25,724","23,621","14,273","7,656","305,711"
2009,"5,864","5,611","9,613","19,622","39,939","62,573","68,611","56,432","24,224","21,970","13,456","10,297","338,212"
2008,"6,029","5,678","8,986","10,784","50,202","60,408","63,824","56,576","19,196","15,550","9,370","5,148","311,751"
2007,"4,995","5,450","11,569","18,418","35,369","64,713","68,023","52,566","22,646","18,020","13,325","6,623","321,717"
2006,"5,124","4,192","7,548","19,412","34,559","70,059","55,724","49,161","19,474","17,559","10,682","5,938","299,432"
2005,"4,590","6,394","8,961","18,331","39,616","39,466","69,063","42,166","15,711","12,281","13,324","6,168","276,071"
2004,"4,590","5,400","8,910","15,400","19,140","42,500","68,680","57,460","18,810","14,400","9,900","4,860","270,050"
2003,"3,580","4,995","8,170","18,718","16,324","26,990","22,729","22,306","16,573","17,240","9,000","10,638","177,263"
2002,"4,471","5,916","10,818","16,038","35,015","38,646","59,203","59,026","19,037","16,713","9,205","4,477","278,565"
2001,"4,733","4,436","6,872","13,493","9,730","55,734","63,515","62,397","20,464","10,295","10,757","5,038","267,464"
2000,"5,415","6,005","11,240","17,600","15,776","28,102","64,141","46,950","14,554","17,362","11,657","5,948","244,750"
1999,"5,221","5,913","9,105","16,407","33,138","64,991","78,335","50,659","13,877","12,340","10,000","5,319","305,305"
1998,"3,797","4,460","10,435","21,666","36,045","74,455","78,109","67,946","25,289","18,857","11,893","4,976","357,928"
1997,"4,706","5,043","11,996","20,509","38,024","69,783","74,786","74,179","21,858","19,656","10,711","3,726","354,977"
1996,"2,481","4,146","8,986","18,634","50,512","60,132","73,870","49,745","17,174","7,300","11,289","4,079","308,348"
1995,"3,833","4,001","10,176","22,283","31,622","60,039","70,752","48,599","15,092","12,121","7,143","3,013","288,674"
1994,"3,190","4,144","11,054","19,426","30,034","60,166","72,741","72,233","21,402","16,474","9,142","4,173","324,179"
1993,"3,688","4,448","7,533","18,360","30,892","62,081","77,575","77,492","18,326","14,073","9,181","3,801","327,450"
1992,"3,458","5,348","8,392","18,014","23,328","52,867","64,810","69,482","18,558","15,376","7,480","2,248","289,361"
1991,"2,210","3,090","6,907","8,831","16,216","60,628","68,087","68,313","19,804","16,310","8,602","3,470","282,468"
1990,"3,581","3,868","7,699","16,944","30,329","62,943","69,024","59,107","15,893","11,566","6,083","2,374","289,411"
1989,"4,354","3,296","9,177","15,490","27,790","54,955","67,600","59,146","17,546","10,757","7,752","2,114","279,977"
1988,"3,416","4,765","7,059","17,500","27,088","54,446","68,887","68,034","16,963","10,562","6,016","2,643","287,379"
1987,"2,861","2,042","7,839","10,568","21,817","68,388","58,932","70,803","14,408","13,755","7,600","3,931","282,944"
1986,"3,326","1,539","5,751","12,213","18,929","74,489","53,159","44,923","18,020","16,109","8,805","2,359","259,622"
1985,894,"1,690","5,178","12,226","19,421","74,539","55,020","56,334","19,811","16,610","8,399","2,710","272,832"
1984,"2,715","2,779","6,873","13,918","20,208","74,924","97,426","117,343","27,292","16,879","7,656","1,880","389,893"
1983,"2,106","2,429","6,726","15,926","27,542","59,636","81,813","105,695","26,089","19,688","8,567","3,544","359,761"
1982,"1,962","2,788","6,051","14,878","23,254","51,190","79,499","81,227","19,617","12,552","5,971","1,364","300,353"
1981,"1,962","2,466","5,056","15,474","23,603","59,507","79,307","72,774","19,606","12,087","6,084","1,326","299,252"
1980,"2,489","2,165","5,942","15,777","27,265","58,815","104,057","95,324","14,760","13,874","7,305","2,691","350,464"
1979,"2,386","2,727","7,273","16,068","24,189","55,194","79,651","80,778","15,915","10,554","7,106","3,312","305,153"

