Name,Textbox3
Scotts Bluff NM,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"1,710","2,828",,,,,,,,,,,"4,538"
2015,"2,087","3,129","9,287","9,774","13,437","20,002","24,079","17,985","16,355","8,298","3,787","2,902","131,122"
2014,"2,385","1,716","5,678","7,820","14,369","18,233","21,682","17,897","13,394","8,822","3,570","3,593","119,159"
2013,"2,996","2,383","5,772","6,422","14,243","18,324","18,028","15,350","13,774","3,111","4,396","3,328","108,127"
2012,"3,196","2,952","9,298","9,013","14,973","18,114","20,625","16,078","13,736","6,789","4,315","3,426","122,515"
2011,"3,142","2,740","5,732","7,008","13,794","19,480","23,174","19,363","15,900","9,970","4,018","4,490","128,811"
2010,"2,841","3,153","6,960","9,452","13,980","20,288","24,285","18,751","15,369","10,447","4,249","4,020","133,795"
2009,"2,744","3,123","6,181","6,800","12,095","18,575","23,747","18,547","15,585","6,305","4,962","2,727","121,391"
2008,"3,040","3,410","5,089","7,523","11,408","14,599","22,819","16,381","12,330","7,742","3,789","3,719","111,849"
2007,"1,356","2,812","5,145","7,342","11,410","19,307","19,862","15,845","13,964","7,518","4,470","2,859","111,890"
2006,"2,882","3,545","4,224","6,939","10,245","18,948","17,918","11,608","9,429","5,848","3,855","2,911","98,352"
2005,"1,640","3,264","4,268","6,335","10,049","19,073","19,420","11,866","9,421","6,187","3,569","4,475","99,567"
2004,"2,677","2,439","4,569","6,621","12,698","18,895","18,477","16,559","11,665","6,731","2,829","3,555","107,715"
2003,"2,901","2,189","3,637","5,775","12,636","17,948","19,609","15,659","11,934","6,473","2,543","4,307","105,611"
2002,"2,412","2,736","4,066","6,768","12,400","17,982","22,747","17,056","12,022","5,563","3,693","3,848","111,293"
2001,"1,997","2,049","4,700","6,577","12,184","17,930","20,912","18,797","12,289","6,741","5,018","3,941","113,135"
2000,"3,290","3,753","6,741","8,438","12,169","19,640","22,549","15,428","13,459","7,054","3,434","3,449","119,404"
1999,"2,379","3,500","5,734","6,326","13,949","21,549","27,981","21,445","21,657","7,879","4,684","4,370","141,453"
1998,"3,185","3,828","5,653","7,957","14,548","20,870","27,881","22,533","20,034","7,869","4,377","2,871","141,606"
1997,"2,331","4,282","9,829","7,511","13,939","22,298","30,201","22,394","13,124","7,346","4,306","4,052","141,613"
1996,"2,377","4,677","5,389","7,463","12,264","18,801","29,301","22,464","12,782","7,495","4,774","4,379","132,166"
1995,"1,598","4,082","5,546","6,477","13,212","19,415","28,492","21,596","13,084","7,838","3,329","2,716","127,385"
1994,"2,752","2,894","6,744","7,447","14,655","21,711","31,326","22,442","14,426","7,414","4,695","5,314","141,820"
1993,"2,168","1,770","4,816","8,363","14,503","27,964","35,959","27,799","17,020","8,442","3,070","4,182","156,056"
1992,"3,970","4,716","8,176","9,594","15,703","25,191","29,214","23,808","15,978","8,666","4,193","3,501","152,710"
1991,"4,554","5,968","10,773","7,196","18,148","30,314","32,379","31,403","21,413","14,119","3,794","6,752","186,813"
1990,"4,919","4,605","6,578","10,528","17,334","24,046","30,113","39,528","19,004","3,783","4,633","6,717","171,788"
1989,"6,500","3,763","9,398","10,787","17,381","25,365","30,870","32,347","15,837","3,347","3,978","4,477","164,050"
1988,"1,561","2,972","4,939","7,042","25,176","26,833","34,300","21,410","8,054","4,200","4,764","6,157","147,408"
1987,"3,385","3,444","3,696","8,572","19,027","38,562","38,269","25,953","8,596","5,969","3,595","2,828","161,896"
1986,"5,446","3,528","12,250","8,045","19,950","43,891","29,656","24,199","11,571","6,956","1,681","3,535","170,708"
1985,"3,535","5,005","10,392","6,790","14,994","42,413","33,837","29,750","11,078","8,232","1,288","1,302","168,616"
1984,"4,603","4,623","5,604","4,611","11,711","20,250","31,139","31,266","18,729","10,583","5,985","4,344","153,448"
1983,"4,864","8,618","4,615","5,440","16,835","24,705","30,671","23,914","16,039","10,525","4,106","1,652","151,984"
1982,"1,533","6,095","13,883","9,952","13,361","29,241","36,091","27,743","13,222","10,281","4,861","3,912","170,175"
1981,"3,893","4,590","4,039","8,831","11,887","42,917","29,071","20,163","11,473","7,431","4,034","1,854","150,183"
1980,"1,103","1,845","4,576","7,706","12,610","19,363","17,512","17,817","7,861","9,537","5,181","4,409","109,520"
1979,487,"3,372","15,252","16,596","15,053","16,953","29,915","31,854","26,917","9,495","4,149","3,248","173,291"

