Name,Textbox3
Fort Smith NHS,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"5,170",,,,,,,,,,,,"5,170"
2015,"3,749","5,902","6,298","12,636","8,860","12,690","9,831","11,972","12,587","14,137","7,601","5,206","111,469"
2014,"2,626","2,164","4,973","8,802","12,879","13,422","9,831","6,159","8,699","9,040","4,939","5,256","88,790"
2013,"2,718","3,034","6,364","8,766","8,802","9,204","8,916","6,230","5,678","3,174","4,430","2,268","69,584"
2012,"4,132","3,454","7,770","9,810","10,480","10,574","12,664","6,188","5,438","8,048","5,450","3,378","87,386"
2011,"2,256","2,784","6,524","9,258","10,144","8,868","14,858","5,518","9,174","8,010","5,692","3,036","86,122"
2010,"1,396","1,916","5,298","6,486","10,240","7,432","9,696","5,720","5,912","7,638","4,068","2,876","68,678"
2009,"2,050","2,684","5,944","4,830","8,046","6,714","8,840","5,478","4,808","7,682","4,686","1,778","63,540"
2008,"2,174","2,366","4,634","5,800","8,768","6,792","11,716","5,198","4,932","15,950","4,206","2,638","75,174"
2007,"1,542","2,710","6,692","6,560","9,722","9,720","18,228","7,364","5,888","7,764","5,040","2,620","83,850"
2006,"2,300","2,156","5,884","5,694","9,050","8,316","10,820","6,602","10,094","7,856","5,420","2,822","77,014"
2005,"2,048","2,938","5,002","6,490","7,950","7,468","13,882","6,246","4,476","10,418","4,374","3,108","74,400"
2004,"2,234","2,292","4,816","8,314","9,144","8,064","16,238","6,228","5,546","9,240","3,928","2,400","78,444"
2003,"2,736","2,144","5,480","5,612","9,942","8,280","10,286","5,760","8,014","8,200","4,232","2,990","73,676"
2002,"2,200","3,564","5,746","7,802","10,018","8,506","10,880","6,022","6,290","6,696","4,794","2,388","74,906"
2001,"1,852","3,166","7,708","9,784","12,176","8,744","10,814","6,566","6,360","8,486","6,228","3,090","84,974"
2000,774,384,560,"1,136","2,510","9,890","12,100","6,424","6,262","7,758","4,780","1,050","53,628"
1999,930,"1,518","2,928","3,894","3,650","3,746","3,792","2,524","2,542","7,478","1,970",908,"35,880"
1998,"1,164","1,430","2,858","2,150","3,298","3,848","6,678","9,772","2,950","5,142","1,834",722,"41,846"
1997,"1,612","1,708","4,446","6,954","10,632","6,996","7,584","5,940","4,942","8,366","2,084","1,128","62,392"
1996,"2,100","3,136","6,448","5,386","8,116","9,072","12,634","7,100","5,458","6,200","7,274","2,132","75,056"
1995,"2,326","3,398","6,366","9,010","13,576","14,306","17,754","8,180","7,582","8,754","3,968",834,"96,054"
1994,"2,336","2,864","6,296","7,684","13,440","23,798","15,016","8,394","7,278","8,828","4,626","3,240","103,800"
1993,"2,542","2,970","6,414","9,288","17,430","32,898","14,108","8,174","7,150","8,978","3,984","2,990","116,926"
1992,"4,810","5,064","8,098","8,998","14,290","12,474","11,884","10,304","7,202","10,276","4,710","2,980","101,090"
1991,"1,392","3,267","6,159","5,736","10,046","8,384","10,478","8,724","5,991","8,628","3,806","3,137","75,748"
1990,"4,676","4,778","6,624","6,912","8,182","9,052","11,298","9,502","6,932","7,683","6,160","3,434","85,233"
1989,"4,682","4,319","6,253","7,101","10,563","9,252","9,884","8,953","7,065","8,469","6,192","4,783","87,516"
1988,"5,125","5,870","9,540","10,822","17,215","15,833","17,122","14,569","11,091","10,444","7,642","4,600","129,873"
1987,"6,271","5,893","9,625","9,221","15,186","15,012","16,608","13,940","11,606","11,675","8,401","5,855","129,293"
1986,"7,755","6,981","11,595","13,047","21,576","19,736","20,840","18,411","12,521","11,741","8,687","7,129","160,019"
1985,"3,673","2,920","7,475","8,544","17,141","15,940","20,349","20,539","13,500","12,620","9,176","6,533","138,410"
1984,"2,621","4,164","7,592","9,138","18,482","17,252","18,182","12,973","9,893","9,564","6,543","5,157","121,561"
1983,"3,165","3,917","8,237","9,646","16,970","15,248","19,427","13,685","9,072","10,236","6,589","2,500","118,692"
1982,"3,467","4,563","9,586","11,333","16,238","16,835","19,145","15,944","9,907","12,186","6,130","3,678","129,012"
1981,"4,222","4,320","8,677","11,973","14,733","17,141","18,947","15,521","15,212","12,134","8,286","5,620","136,786"
1980,"2,945","2,949","5,702","7,264","10,386","14,369","13,168","17,326","7,269","9,418","6,570","4,995","102,361"
1979,"1,570","2,063","5,515","7,134","8,576","12,803","14,233","12,261","11,502","5,784","5,241","3,902","90,584"

