Name,Textbox3
Aztec Ruins NM,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"1,022","1,530",,,,,,,,,,,"2,552"
2015,"1,203","1,593","3,426","5,095","6,301","7,319","7,658","4,770","5,355","5,313","2,732","2,400","53,165"
2014,"1,086","1,675","2,683","4,339","4,855","5,438","6,240","5,050","4,626","4,081","2,182","2,466","44,721"
2013,687,830,"2,589","4,110","4,843","6,738","6,699","4,674","5,352","1,199","1,756","1,835","41,312"
2012,"1,023","1,333","2,583","4,488","5,440","6,867","7,022","4,351","4,437","3,984","1,855","1,361","44,744"
2011,591,749,"2,208","3,594","4,674","5,302","6,547","5,184","4,799","3,894","1,940","1,624","41,106"
2010,485,562,"2,315","3,896","4,757","5,172","5,586","4,280","4,218","3,807","1,488",871,"37,437"
2009,856,"1,028","2,443","3,487","4,784","5,043","6,062","4,506","4,328","3,552","1,446",699,"38,234"
2008,574,799,"2,874","2,909","4,973","5,774","6,319","4,432","4,019","3,388","1,743",905,"38,709"
2007,664,903,"2,577","3,257","4,735","5,668","6,034","4,901","4,590","3,446","1,869",894,"39,538"
2006,786,978,"2,436","3,447","4,658","5,471","6,558","4,680","4,500","3,788","1,717","1,760","40,779"
2005,"1,010","1,096","2,975","3,379","5,545","6,536","6,962","5,305","4,378","3,752","1,683","1,429","44,050"
2004,950,"1,160","3,692","3,549","5,258","5,755","6,924","4,970","5,776","4,476","1,647","1,266","45,423"
2003,"1,176","1,261","2,869","3,372","4,827","5,683","7,299","5,283","3,732","3,854","1,818","1,319","42,493"
2002,962,"1,454","3,768","3,626","5,502","5,963","7,913","7,075","5,309","4,540",0,"1,289","47,401"
2001,761,"1,109","3,165","4,247","5,401","6,290","7,070","5,852","4,506","4,399","2,267","1,384","46,451"
2000,959,"1,437","3,154","4,009","5,985","6,483","9,768","8,434","4,753","4,375","1,445","1,334","52,136"
1999,"1,153","1,439","3,789","4,107","7,007","8,782","9,843","7,931","6,004","4,795","2,118","1,350","58,318"
1998,"1,012","1,076","3,480","5,020","7,913","9,210","10,803","9,158","6,948","5,105","1,880","1,654","63,259"
1997,870,"1,416","5,017","4,500","7,254","9,795","10,353","8,239","6,578","4,817","1,890","1,250","61,979"
1996,"1,112","1,743","4,130","5,112","7,643","8,452","10,216","10,824","7,446","5,574","1,991","1,712","65,955"
1995,"1,301","1,962","3,903","5,353","9,154","10,700","13,275","10,409","7,721","6,010","2,202",509,"72,499"
1994,"1,539","1,619","4,749","5,703","9,083","10,111","13,658","11,686","8,803","6,392","2,301","5,055","80,699"
1993,"1,350","1,564","4,130","6,524","10,756","9,946","13,439","12,242","9,727","6,716","2,308","4,062","82,764"
1992,"1,707","2,296","5,254","6,560","10,660","12,661","16,146","14,163","10,062","7,928","2,571","3,886","93,894"
1991,"1,121","1,992","4,445","5,176","11,199","13,079","15,194","14,170","9,432","7,197","2,359","3,856","89,220"
1990,"1,037","1,485","4,046","5,589","9,393","11,999","14,189","13,043","9,028","5,393","2,478","2,357","80,037"
1989,"1,028","1,487","5,475","4,559","8,641","11,491","15,568","14,157","9,200","6,425","2,927","5,916","86,874"
1988,871,"1,336","3,340","3,891","8,512","11,352","13,422","13,211","9,300","6,179","2,205","5,899","79,518"
1987,942,"1,128","1,676","4,647","7,804","9,086","10,887","12,269","7,306","4,857","1,676","3,181","65,459"
1986,"1,485","1,310","4,318","3,519","7,004","9,128","11,161","10,829","5,957","3,958","1,792","2,058","62,519"
1985,904,"1,133","2,776","3,671","6,969","8,534","10,974","10,173","5,959","4,098","1,511","1,485","58,187"
1984,861,"1,327","2,523","2,863","6,396","9,708","11,670","10,212","6,244","3,423","1,997","1,170","58,394"
1983,"1,098","1,315","2,854","3,655","7,770","10,009","11,767","10,138","6,156","4,200","1,861",870,"61,693"
1982,990,"1,487","3,114","4,836","7,014","9,490","11,412","9,662","5,468","4,129","2,075","1,201","60,878"
1981,"1,844","1,759","2,827","3,944","7,028","9,135","11,110","12,790","6,200","4,011","2,369","1,885","64,902"
1980,968,"1,290","2,738","3,262","6,446","8,226","10,381","10,628","5,161","3,589","2,131","2,024","56,844"
1979,615,"1,085","2,675","3,920","9,807","8,342","10,136","9,984","5,061","3,760","1,508","1,171","58,064"

