Name,Textbox3
Sleeping Bear Dunes NL,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"12,994","14,577",,,,,,,,,,,"27,571"
2015,"6,340","12,191","11,548","36,053","74,361","256,462","483,291","358,885","141,297","119,175","22,377","13,653","1,535,633"
2014,"6,189","11,778","10,434","16,465","46,282","196,781","476,296","387,642","143,264","75,773","15,776","8,721","1,395,401"
2013,"7,684","11,380","12,657","18,415","45,835","183,244","453,855","397,007","130,319","57,445","14,183","7,983","1,340,007"
2012,"7,226","9,963","17,120","28,604","80,028","257,280","459,935","437,914","137,266","71,430","17,966","6,828","1,531,560"
2011,"8,845","9,577","8,203","16,603","39,575","169,162","416,562","397,953","150,984","102,018","19,972","8,850","1,348,304"
2010,"6,765","8,050","14,750","23,727","62,289","160,281","377,849","409,959","103,044","86,048","21,372","6,798","1,280,932"
2009,"8,167","8,314","9,517","21,242","62,309","135,034","389,477","304,700","134,343","65,030","18,382","9,321","1,165,836"
2008,"5,512","7,568","10,657","20,090","43,588","135,896","257,401","353,174","86,818","67,928","13,926","5,577","1,008,135"
2007,"7,064","5,615","11,474","17,150","51,816","148,572","366,734","336,723","95,611","71,779","14,007","7,769","1,134,314"
2006,"5,273","6,260","13,120","23,361","54,898","144,997","382,483","338,153","159,153","62,893","16,131","6,304","1,213,026"
2005,"3,661","12,366","11,481","23,261","57,699","163,876","411,496","357,101","94,690","68,373","13,564","4,745","1,222,313"
2004,"4,404","7,305","9,819","23,207","61,344","132,006","356,852","331,290","113,484","60,042","11,061","3,801","1,114,615"
2003,"4,917","8,682","9,692","22,123","49,994","171,488","402,018","326,038","70,566","66,702","14,094","7,648","1,153,962"
2002,"6,686","8,394","11,359","22,668","43,521","166,362","388,134","362,098","83,312","55,957","14,927","7,455","1,170,873"
2001,"5,993","5,240","9,841","22,928","74,836","148,320","373,246","301,833","86,650","58,260","32,445","7,515","1,127,107"
2000,"7,121","9,403","18,740","25,609","50,719","185,703","363,745","328,984","107,736","78,852","12,934","5,538","1,195,084"
1999,"7,483","10,314","15,611","31,044","62,870","198,643","452,463","380,134","122,603","61,825","16,125","5,719","1,364,834"
1998,"8,142","11,841","14,787","36,701","70,106","150,545","390,159","387,537","125,449","77,452","16,988","8,498","1,298,205"
1997,"5,670","5,836","13,528","25,148","50,151","150,520","360,131","355,353","93,784","75,732","14,193","7,570","1,157,616"
1996,"6,276","7,068","14,331","25,624","58,540","161,162","311,738","338,918","79,235","67,980","13,332","6,801","1,091,005"
1995,"6,373","6,262","18,850","28,593","54,185","168,317","378,563","300,749","97,749","69,733","16,243","6,340","1,151,957"
1994,"5,568","7,509","15,795","35,060","69,492","142,790","356,891","312,416","112,320","72,793","18,201","10,841","1,159,676"
1993,"5,913","6,777","13,351","26,140","56,855","140,459","368,385","377,543","106,182","57,428","15,306","8,504","1,182,843"
1992,"6,790","8,359","15,288","25,825","68,121","165,056","369,483","370,860","112,646","75,876","13,471","5,406","1,237,181"
1991,"5,002","7,961","15,609","31,831","66,782","169,490","376,528","361,966","103,667","84,928","14,809","7,760","1,246,333"
1990,"7,060","7,294","17,436","34,242","65,994","140,452","397,313","335,654","116,499","70,337","17,690","6,899","1,216,870"
1989,"9,613","8,335","17,127","40,939","73,053","153,205","377,920","347,544","122,733","81,461","13,461","5,025","1,250,416"
1988,"7,159","10,561","17,241","34,802","59,225","198,329","390,281","373,859","116,956","83,967","17,918","7,232","1,317,530"
1987,"6,697","7,281","13,791","37,098","72,432","160,506","346,875","356,523","112,633","74,188","27,125","7,662","1,222,811"
1986,"5,044","5,805","6,140","7,526","34,571","51,167","177,900","211,376","73,943","39,352","19,561","2,050","634,435"
1985,"3,543","4,344","5,892","7,838","38,554","88,892","272,101","295,295","91,092","71,564","15,593","2,804","897,512"
1984,"5,323","2,670","2,741","5,784","26,871","81,064","323,787","278,898","66,976","44,948","13,078","1,046","853,186"
1983,"1,772","4,799","1,889","3,093","25,938","76,541","225,906","188,112","70,654","45,867","10,895","2,742","658,208"
1982,"1,652","4,826","1,634","3,725","43,967","80,259","200,650","203,877","72,983","41,967","8,396","1,009","664,945"
1981,"2,592","2,264","2,079","6,011","36,511","87,789","216,199","255,180","86,287","38,306","23,117","2,679","759,014"
1980,"1,024","4,338","3,203","3,813","38,269","37,834","220,096","290,326","63,265","13,233","12,153","1,720","689,274"
1979,"2,936","5,222","1,986","4,876","31,200","95,738","237,268","203,617","86,657","51,850","10,421","1,692","733,463"

