Name,Textbox3
Lowell NHP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2015,"13,903","10,403","24,265","30,162","40,456","42,322","184,815","88,930","16,061","26,061","41,666","12,011","531,055"
2014,"12,353","33,639","18,679","30,981","33,140","41,771","169,696","79,862","16,559","23,647","41,991","12,206","514,524"
2013,"14,195","31,535","20,986","30,068","33,596","36,371","174,530","92,912","17,618","11,604","44,289","10,059","517,763"
2012,"13,898","33,303","22,433","33,261","38,502","33,560","172,654","95,940","19,655","22,124","43,913","8,308","537,551"
2011,"11,457","30,569","18,990","27,365","27,899","34,790","187,126","91,214","19,951","21,438","39,619","10,034","520,452"
2010,"14,334","32,227","19,880","26,977","29,737","31,291","215,952","93,884","20,814","21,478","27,266","6,635","540,475"
2009,"14,348","24,823","22,246","28,803","30,749","30,953","240,664","89,520","21,060","22,702","32,001","8,091","565,960"
2008,"14,003","31,277","19,769","27,771","32,269","26,433","237,244","93,770","18,625","25,897","39,576","7,776","574,410"
2007,"13,238","11,863","20,030","27,674","35,050","30,256","185,432","98,225","22,762","26,903","41,610","6,663","519,706"
2006,"11,314","53,211","25,561","30,170","38,764","27,538","256,106","91,818","16,903","27,080","44,432","9,337","632,234"
2005,"8,968","61,039","23,690","30,550","39,671","28,112","339,718","87,186","25,048","21,735","48,439","8,302","722,458"
2004,"13,492","100,772","31,398","29,879","34,948","24,938","283,242","57,861","16,723","29,499","47,667","7,220","677,639"
2003,"16,322","56,575","32,470","30,909","32,496","22,935","293,472","89,432","16,547","36,831","46,865","10,002","684,856"
2002,"18,575","77,328","29,008","37,667","35,456","27,997","315,990","80,465","17,399","31,477","56,864","13,790","742,016"
2001,"22,803","66,159","24,560","31,359","30,366","34,339","319,376","79,043","24,171","33,087","44,929","13,376","723,568"
2000,"18,064","21,658","26,893","22,139","31,754","24,585","260,746","86,366","20,975","37,021","40,964","13,622","604,787"
1999,"31,076","17,757","20,462","26,684","27,249","33,667","254,527","37,388","25,836","35,064","28,115","13,383","551,208"
1998,"20,706","15,216","19,981","26,479","27,265","26,900","274,320","51,366","22,854","29,171","21,771","18,583","554,612"
1997,"9,671","13,226","16,645","22,473","44,772","21,729","258,791","41,765","19,108","25,901","21,389","15,452","510,922"
1996,"16,406","12,923","19,041","32,776","48,050","31,660","275,631","37,446","21,896","18,339","17,760","9,587","541,515"
1995,"7,648","12,152","17,790","19,514","22,607","25,014","278,157","39,987","26,692","23,651","13,736","8,825","495,773"
1994,"4,870","9,504","6,207","17,986","17,808","21,677","254,574","34,236","22,667","22,914","12,712","17,659","442,814"
1993,"19,956","16,699","30,049","29,668","48,290","36,634","246,168","59,970","42,218","30,199","22,977","19,345","602,173"
1992,"11,468","15,161","17,097","31,191","66,277","49,030","298,039","96,810","40,163","48,426","26,988","32,680","733,330"
1991,"10,729","12,627","20,280","41,237","78,381","40,571","267,120","92,344","45,107","44,425","20,424","38,503","711,748"
1990,"10,679","12,332","20,698","27,019","79,998","60,144","264,050","88,872","51,494","60,194","23,433","29,199","728,112"
1989,"11,135","19,987","18,292","21,375","70,685","88,317","257,533","81,853","50,740","65,919","20,481","28,892","735,209"
1988,"12,442","18,153","20,019","30,263","67,402","86,327","231,317","80,097","43,202","64,947","21,061","28,178","703,408"
1987,"10,160","18,633","22,144","22,056","79,337","85,354","221,872","96,248","51,958","82,097","22,712","28,304","740,875"
1986,"7,991","8,270","13,551","56,472","82,787","80,806","154,174","124,337","57,611","152,318","25,986","38,176","802,479"
1985,"10,502","17,517","18,125","21,910","80,418","78,829","114,440","88,428","73,765","148,303","26,767","27,917","706,921"
1984,"5,081","8,099","12,892","18,585","69,843","53,324","96,722","79,185","65,708","153,504","16,654","16,707","596,304"
1983,"9,389","10,643","9,890","12,260","20,173","46,557","93,153","65,654","68,734","82,347","8,262","10,937","437,999"
1982,"2,292","2,370","4,147","5,265","17,325","34,946","93,097","95,919","68,651","44,023","14,610","18,377","401,022"
1981,"3,744","4,600","4,942","6,751","20,960","46,430","56,649","69,400","82,652","17,701","4,465","3,468","321,762"
1980,"5,025","3,498","7,373","7,894","27,145","31,668","74,692","68,708","31,213","7,729","3,303","5,901","274,149"
1979,378,264,412,585,468,"18,139","11,244","17,521","14,303","16,195","6,697","6,633","92,839"

