Name,Textbox3
Fort Union NM,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,325,466,,,,,,,,,,,791
2015,259,307,"1,057",900,"1,279","1,877","1,620","1,290","1,262","1,175",390,310,"11,726"
2014,289,318,757,781,"1,343","1,439","1,535","1,566","1,017","1,077",525,287,"10,934"
2013,308,272,712,783,"1,248","1,301","1,330","1,193",778,279,431,330,"8,965"
2012,288,271,778,614,897,"1,359","1,437","1,022",942,844,456,307,"9,215"
2011,240,227,886,716,977,"1,360","1,364","1,275",993,891,422,224,"9,575"
2010,256,175,728,785,"1,115","1,468","1,705","1,476","1,212",986,452,280,"10,638"
2009,361,359,735,795,"1,204","1,422","1,773","1,574","1,222",992,425,208,"11,070"
2008,256,479,840,648,943,943,"1,515","1,236",839,760,431,281,"9,171"
2007,183,317,827,823,"1,196","1,331","1,414","1,515","1,100",982,590,256,"10,534"
2006,369,473,826,930,958,"1,176","1,691","1,362",888,865,532,277,"10,347"
2005,428,429,468,756,"1,496","2,163","1,113","1,591","1,135","1,059",608,399,"11,645"
2004,541,452,"1,114",787,"1,352","1,828","1,863","1,538","1,536","1,286",461,472,"13,230"
2003,383,302,770,"1,048","1,151","1,647","2,221","1,804","1,297","1,248",628,445,"12,944"
2002,381,418,976,938,"1,436","1,735","2,358","1,797","1,295","1,098",383,383,"13,198"
2001,309,402,"1,024","1,215","2,322","1,953","1,998","1,887","1,785","1,223",624,358,"15,100"
2000,548,550,"1,106","1,227","1,427","1,619","2,328","1,930","1,181","1,588",463,291,"14,258"
1999,474,597,"1,193","1,351","1,608","2,169","2,649","2,077","1,535","1,215",676,478,"16,022"
1998,392,433,956,"1,110","1,560","1,958","2,726","2,196","1,542","1,464",693,439,"15,469"
1997,373,600,"1,677","1,158","1,944","2,555","3,025","2,403","1,543","1,707",567,331,"17,883"
1996,386,716,"1,346","1,227","2,224","2,478","3,077","2,804","1,919","1,822",787,588,"19,374"
1995,507,754,"1,486","1,341","2,227","2,486","3,554","2,549","1,889","1,780",659,227,"19,459"
1994,608,619,"1,308","1,367","2,093","2,788","3,472","2,814","2,098","1,777",725,632,"20,301"
1993,541,483,"1,753","1,526","2,387","2,974","3,583","2,916","2,078","1,664",719,591,"21,215"
1992,476,779,"1,487","1,435","1,849","2,732","3,171","3,053","1,917","1,872",617,582,"19,970"
1991,436,708,"1,491","1,400","2,514","2,982","4,240","3,759","1,981","1,632",669,467,"22,279"
1990,394,425,"1,155","1,282","1,769","2,197","3,161","2,768","1,722","1,132",664,362,"17,031"
1989,422,475,"1,392","1,277","1,991","2,904","3,600","3,086","1,926","1,757",696,485,"20,011"
1988,300,599,"1,185",935,"1,957","2,441","3,848","2,642","1,640","1,207",752,635,"18,141"
1987,268,304,848,834,"1,459","1,710","2,957","2,533","1,353","1,329",560,280,"14,435"
1986,448,353,"1,126",669,"1,354","1,717","2,907","2,045","1,151",929,387,355,"13,441"
1985,212,333,596,967,"1,422","1,598","3,238","2,052","1,103",929,456,456,"13,362"
1984,211,365,825,672,"1,341","1,744","3,667","1,898","1,050",572,392,368,"13,105"
1983,276,260,745,664,"1,572","1,759","2,271","2,121","1,178",860,523,184,"12,413"
1982,204,312,815,801,"1,373","1,635","2,379","1,815","1,032",992,574,244,"12,176"
1981,433,414,631,707,"1,155","1,433","2,356","1,648",965,820,517,641,"11,720"
1980,240,249,653,915,"1,178","1,449","1,700","1,516",932,887,366,702,"10,787"
1979,142,252,709,908,"1,210","1,408","1,831","1,879",817,585,399,295,"10,435"

