Name,Textbox3
Fort Union Trading Post NHS,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,135,,,,,,,,,,,,135
2015,127,141,379,457,"2,032","3,879","2,209","1,843","1,254",690,279,315,"13,605"
2014,122,62,277,319,"1,504","3,630","1,779","1,857",989,615,165,202,"11,521"
2013,108,131,246,254,"1,283","5,086","1,899","2,322","1,092",109,309,69,"12,908"
2012,123,161,394,463,"1,508","4,278","1,820","1,815","1,292",521,157,145,"12,677"
2011,37,37,101,263,"1,376","3,532","2,245","2,143","1,357",723,239,183,"12,236"
2010,29,60,154,340,"1,382","5,315","2,604","2,334","1,382",525,279,54,"14,458"
2009,47,33,100,351,"1,466","5,855","2,625","2,611","1,504",303,188,58,"15,141"
2008,75,46,194,379,"1,360","3,843","1,785","2,352",778,485,162,74,"11,533"
2007,39,43,181,328,"1,235","4,403","1,882","2,141","1,416",466,154,117,"12,405"
2006,72,42,190,532,"1,452","4,291","2,479","2,133","1,498",472,111,120,"13,392"
2005,30,76,313,801,"2,540","4,999","3,103","2,830","1,568",420,182,78,"16,940"
2004,64,154,193,"1,190","2,356","6,559","4,003","3,753","2,112",791,188,148,"21,511"
2003,84,63,280,501,"2,307","8,394","4,476","4,893","1,939",799,154,134,"24,024"
2002,45,93,159,659,"1,959","7,204","4,210","4,116","1,922",508,244,137,"21,256"
2001,49,60,207,349,"1,749","6,221","3,890","4,008","2,214",467,236,101,"19,551"
2000,83,102,266,412,"2,385","5,185","3,668","3,922","2,623",550,118,67,"19,381"
1999,61,104,262,424,"2,047","6,401","4,257","3,654","2,287",615,302,198,"20,612"
1998,76,89,127,429,"2,290","5,507","4,069","4,013","2,172",604,142,205,"19,723"
1997,60,67,149,395,"2,306","7,353","3,746","4,293","1,557",591,277,194,"20,988"
1996,35,124,289,470,"2,059","7,952","4,551","4,159","2,696",897,126,90,"23,448"
1995,60,117,319,472,"2,201","6,813","4,300","3,321","1,801",812,154,36,"20,406"
1994,60,54,248,453,"2,672","7,591","5,237","4,753","2,206",821,237,202,"24,534"
1993,112,135,226,753,"3,009","9,313","5,610","4,644","2,015","1,332",145,185,"27,479"
1992,156,238,589,664,"3,195","7,353","7,207","5,627","2,419","1,137",224,86,"28,895"
1991,151,248,654,883,"3,688","8,186","6,805","5,514","2,238",980,225,298,"29,870"
1990,269,237,561,"1,102","3,027","8,411","8,004","5,644","3,629",855,388,95,"32,222"
1989,86,97,306,660,"3,501","12,914","11,217","24,259","5,985","1,630",510,162,"61,327"
1988,135,175,404,863,"3,426","6,627","6,305","4,527","2,737","1,016",276,117,"26,608"
1987,367,710,508,"1,142","3,256","9,623","13,339","5,690","3,494","1,212",470,269,"40,080"
1986,112,87,289,296,"1,599","2,993","8,036","3,987","2,851","1,594",321,498,"22,663"
1985,59,94,201,343,"1,522","2,681","6,647","1,786","1,094",401,129,74,"15,031"
1984,33,127,90,210,"1,043","1,865","5,547","2,133","1,261",318,182,77,"12,886"
1983,131,72,101,299,"1,155","1,180","4,144","1,353",923,411,100,48,"9,917"
1982,72,68,89,241,861,"1,106","1,778","1,614","1,188",182,149,33,"7,381"
1981,68,102,337,386,"1,342","1,506","1,922","1,514","1,171",488,212,91,"9,139"
1980,33,20,210,420,"1,477","1,772","1,896","1,472",634,437,120,29,"8,520"
1979,18,50,24,60,644,"1,305","1,512","1,532",805,205,128,85,"6,368"

