Name,Textbox3
Big Cypress NPRES,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"110,869","101,033",,,,,,,,,,,"211,902"
2015,"114,045","144,112","153,084","113,880","72,510","64,968","78,688","49,854","53,746","65,884","83,195","118,324","1,112,290"
2014,"127,164","133,848","136,666","115,328","87,118","43,338","67,652","70,933","66,734","81,536","119,940","142,599","1,192,856"
2013,"129,114","133,314","121,425","86,704","74,480","47,543","63,556","53,732","45,631","56,478","83,228","112,583","1,007,788"
2012,"105,002","129,579","111,389","60,897","43,274","29,889","30,916","32,132","54,720","87,642","91,733","105,397","882,570"
2011,"114,018","116,748","124,893","90,584","60,534","60,451","42,992","44,908","49,810","56,426","92,264","87,765","941,393"
2010,"81,831","114,205","99,638","62,122","56,944","27,549","35,009","45,831","40,790","58,404","5,266","37,934","665,523"
2009,"86,371","133,920","108,430","78,436","48,844","36,714","34,122","46,511","27,044","54,479","73,278","84,058","812,207"
2008,"121,544","115,574","82,489","79,887","40,338","43,189","33,608","39,895","22,508","47,381","73,670","113,707","813,790"
2007,"90,267","151,053","114,102","77,672","49,895","44,424","35,273","22,014","31,103","42,475","73,188","91,398","822,864"
2006,"106,659","113,510","97,458","78,930","49,859","29,468","41,165","47,204","45,041","42,040","85,268","89,255","825,857"
2005,"107,012","110,781","103,794","83,190","45,258","51,435","33,050","34,842","30,974","49,306","57,945","61,100","768,687"
2004,"50,093","59,530","47,136","27,335","21,989","17,035","16,419","15,651","10,926","26,492","35,723","56,865","385,194"
2003,"43,297","59,714","41,073","28,584","21,189","16,288","21,782","25,311","26,748","27,298","42,116","47,502","400,902"
2002,"55,513","50,581","48,804","37,938","24,841","25,256","26,081","26,965","28,224","31,224","42,541","51,513","449,481"
2001,"45,361","46,126","43,613","31,626","24,520","27,828","25,544","20,476","28,114","24,719","45,686","46,158","409,771"
2000,"51,961","69,162","72,018","53,872","36,162","29,272","33,072","31,386","21,781","24,336","41,361","40,679","505,062"
1999,"55,129","61,949","65,175","49,198","35,329","22,228","31,423","29,124","30,354","30,489","43,789","48,923","503,110"
1998,"52,820","53,982","56,072","39,578","25,920","26,540","21,692","24,680","31,812","34,090","48,134","59,575","474,895"
1997,"51,414","59,574","53,547","35,340","29,433","23,242","25,020","28,507","28,843","34,245","44,347","49,041","462,553"
1996,"42,765","66,569","46,787","26,515","26,336","22,185","25,407","24,578","23,669","28,663","34,962","56,484","424,920"
1995,"36,984","46,031","48,511","28,809","26,200","19,116","19,678","21,574","22,429","28,477","35,473","32,181","365,463"
1994,"20,226","25,132","35,130","29,873","24,042","13,747","16,985","18,066","24,974","23,031","29,299","33,802","294,307"
1993,"27,507","34,006","28,793","21,708","13,944","10,092","12,911","11,946","12,699","13,691","26,253","21,280","234,830"
1992,"19,456","34,152","29,361","19,601","11,792","9,005","10,274","7,654","9,976","16,612","20,878","23,921","212,682"
1991,"22,225","27,559","24,478","8,637","7,150","5,414","5,733","7,413","6,891","10,073","14,030","19,569","159,172"
1990,"22,092","26,710","23,331","11,293","4,533","3,712","3,658","3,655","3,653","5,357","8,220","11,576","127,790"
1989,"9,941","10,981","10,954","5,195","3,425","2,702","3,635","2,808","3,005","5,506","9,211","13,794","81,157"

