Name,Textbox3
Thaddeus Kosciuszko NMEM,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,0,,,,,,,,,,,,0
2015,0,0,0,150,291,153,153,200,135,179,0,0,"1,261"
2014,60,159,114,165,96,140,208,271,117,145,0,0,"1,475"
2013,64,92,136,154,170,170,199,267,152,52,144,82,"1,682"
2012,53,102,102,137,331,255,255,335,179,95,110,91,"2,045"
2011,81,644,0,0,0,0,223,223,294,317,167,0,"1,949"
2010,101,134,197,264,266,305,545,510,308,258,0,0,"2,888"
2009,0,0,211,497,454,324,483,447,307,310,237,87,"3,357"
2008,150,222,312,316,416,409,703,417,332,378,263,0,"3,918"
2007,159,320,308,437,630,529,565,498,459,236,291,201,"4,633"
2006,132,207,203,204,395,309,388,547,438,546,207,414,"3,990"
2005,178,267,0,327,625,651,649,366,442,367,235,0,"4,107"
2004,185,359,286,439,529,475,597,481,449,404,227,255,"4,686"
2003,167,147,356,417,561,397,709,533,402,474,343,169,"4,675"
2002,194,313,442,407,585,652,"1,300",942,726,583,25,221,"6,390"
2001,262,355,447,493,641,782,"1,389","1,240",748,612,423,330,"7,722"
2000,198,394,550,666,893,944,"1,220","1,136",924,817,524,222,"8,488"
1999,167,262,236,463,515,548,773,"1,007",633,688,453,385,"6,130"
1998,250,419,276,458,588,547,826,996,474,505,417,234,"5,990"
1997,239,397,375,648,734,572,"1,162",969,539,509,485,263,"6,892"
1996,156,286,458,554,812,824,"1,073","1,070",926,576,332,192,"7,259"
1995,391,473,662,734,961,788,"1,145",806,910,165,433,125,"7,593"
1994,183,594,364,566,941,527,777,916,749,567,546,422,"7,152"
1993,144,76,111,204,776,556,584,508,468,475,404,254,"4,560"
1992,99,372,103,246,"1,389",565,771,688,531,378,302,57,"5,501"
1991,144,280,237,732,"1,009",511,611,659,460,526,387,232,"5,788"
1990,97,194,330,935,"1,076",516,824,723,481,514,468,264,"6,422"
1989,0,422,519,"1,109",719,650,"1,172",925,680,627,526,140,"7,489"
1988,142,389,331,452,643,582,769,"1,354",383,805,"1,072",321,"7,243"
1987,195,738,348,930,"1,290",650,804,"1,003",703,497,421,276,"7,855"
1986,195,571,446,496,847,498,974,964,577,760,568,312,"7,208"
1985,150,921,482,642,"1,304",605,795,725,444,661,447,257,"7,433"
1984,171,737,368,630,"1,039",445,750,890,645,510,505,362,"7,052"
1983,201,440,423,598,"1,471",641,780,795,521,483,486,198,"7,037"
1982,218,222,0,378,"1,306",910,"1,085","1,190",776,668,603,337,"7,693"
1981,151,547,412,794,"2,109",677,"2,722","1,242",810,720,661,375,"11,220"

