Name,Textbox3
Bighorn Canyon NRA,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"4,933","7,009",,,,,,,,,,,"11,942"
2015,"6,234","4,638","8,819","12,253","26,009","43,138","48,268","46,633","22,902","12,982","6,411","6,886","245,173"
2014,"3,957","2,566","6,930","11,757","25,140","29,571","54,868","47,369","20,147","12,318","4,684","4,776","224,083"
2013,"4,642","4,157","9,850","18,487","28,578","43,754","42,233","42,068","24,972","11,690","7,168","3,928","241,527"
2012,"5,642","6,046","12,153","15,609","22,564","44,434","45,397","42,415","28,022","10,086","8,167","5,296","245,831"
2011,"4,813","4,342","6,983","13,044","21,370","18,440","42,148","42,148","23,833","11,703","5,741","6,445","201,010"
2010,"5,802","4,313","7,979","13,809","26,554","37,621","58,378","49,208","30,350","11,473","7,345","5,805","258,637"
2009,"4,828","5,148","8,416","15,036","25,339","36,018","35,551","31,762","25,501","8,081","5,955","3,658","205,293"
2008,"4,075","3,114","9,558","15,152","20,803","28,636","31,140","28,931","14,648","10,417","7,965","4,094","178,533"
2007,"10,202","4,816","9,586","16,708","21,400","22,969","47,693","35,161","21,094","11,216","7,107","5,111","213,063"
2006,"6,861","7,042","7,370","16,560","22,342","21,315","37,427","19,761","17,656","6,960","4,962","9,158","177,414"
2005,"5,082","6,327","8,128","9,855","14,394","32,551","36,599","33,851","21,268","10,641","7,746","8,077","194,519"
2004,"4,087","6,219","6,619","14,227","14,949","20,825","21,826","25,597","14,532","9,022","6,267","4,841","149,011"
2003,"4,747","3,760","6,089","39,722","34,800","25,594","35,385","35,302","22,298","10,107","6,214","4,683","228,701"
2002,"5,890","6,171","7,288","13,207","21,014","24,283","26,512","20,901","18,508","11,376","7,167","5,475","167,792"
2001,"7,337","5,077","10,341","15,942","28,198","35,745","46,395","34,076","24,606","14,936","11,585","7,150","241,388"
2000,"6,167","6,094","11,135","12,888","28,030","33,108","46,784","39,594","24,728","15,648","8,601","5,272","238,049"
1999,"5,533","6,565","12,432","15,292","31,207","28,641","36,022","44,539","23,731","11,665","10,350","8,036","234,013"
1998,"6,845","11,202","10,516","22,342","31,980","37,903","44,351","47,257","36,162","12,596","11,238","7,245","279,637"
1997,"3,311","6,343","7,294","13,838","18,880","23,318","29,428","29,637","25,463","10,923","11,189","10,885","190,509"
1996,"11,216","12,335","16,268","24,097","31,890","25,718","44,950","52,101","35,250","23,589","13,939","10,180","301,533"
1995,"16,865","16,724","12,169","25,832","39,498","53,369","36,548","98,010","30,802","21,641","15,245","11,477","378,180"
1994,"14,603","14,502","14,317","27,098","41,692","58,238","53,514","94,915","30,390","23,963","20,597","16,765","410,594"
1993,"14,610","13,682","15,341","24,956","38,566","55,948","62,333","73,837","38,456","23,713","19,368","16,526","397,336"
1992,"18,148","21,643","19,565","31,715","45,266","57,487","69,618","62,154","57,832","36,583","23,692","15,957","459,660"
1991,"19,151","20,322","19,405","24,918","43,261","59,347","67,433","59,185","94,331","32,392","22,524","18,829","481,098"
1990,"21,493","22,141","17,318","36,825","50,379","59,496","64,952","60,845","50,855","31,968","24,062","22,977","463,311"
1989,"17,367","16,430","16,514","30,196","44,450","58,451","59,392","63,507","56,549","35,190","29,320","28,035","455,401"
1988,"17,928","18,750","20,212","32,619","48,094","65,704","55,361","55,599","40,295","31,289","31,367","23,954","441,172"
1987,"20,797","21,366","18,602","33,393","46,876","53,632","58,419","57,104","49,792","37,085","34,021","21,016","452,103"
1986,"19,477","16,576","21,979","33,495","46,351","53,821","64,016","65,768","44,499","37,898","27,909","23,439","455,228"
1985,"19,368","30,968","22,879","31,479","49,051","51,390","58,153","55,145","47,097","40,834","29,071","20,585","456,020"
1984,"18,704","18,064","19,936","25,828","36,583","53,220","49,428","50,451","35,701","27,299","25,887","18,524","379,625"
1983,"13,057","16,748","17,064","22,058","33,583","56,890","49,830","52,893","41,598","24,587","26,850","17,992","373,150"
1982,"16,841","21,915","14,310","27,634","37,414","51,161","53,949","47,264","46,010","28,742","26,027","19,750","391,017"
1981,"14,674","12,052","15,781","22,277","28,052","39,012","46,662","51,114","43,831","22,199","24,078","21,425","341,157"
1980,"12,348","11,206","12,145","25,579","33,471","42,531","45,957","38,899","32,539","24,708","22,842","20,503","322,728"
1979,"7,424","9,720","7,263","23,717","25,945","34,337","39,297","47,685","30,386","26,146","28,203","17,029","297,152"

