Name,Textbox3
Theodore Roosevelt Inaugural NHS,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"1,292",,,,,,,,,,,,"1,292"
2015,934,980,"1,602","1,390","2,113","4,076","2,518","2,329","2,082","2,242","1,577","3,053","24,896"
2014,697,"1,121","1,846","1,395","1,987","2,747","1,855","2,095","1,840","2,548","1,342","2,552","22,025"
2013,939,"1,279","1,003","1,428",940,"3,788","1,546","2,268","1,535",604,"1,254","2,614","19,198"
2012,893,"2,149","1,256",804,"1,622","4,111","1,067","1,197","1,108","1,158","1,263","2,247","18,875"
2011,575,835,"1,424","1,156","1,198","3,468","1,551","1,483","1,059","1,535",783,"2,040","17,107"
2010,606,"1,039",879,"1,051","1,197","2,850","1,433","2,334","1,571","1,591",680,"2,260","17,491"
2009,0,0,0,0,910,935,"1,216","1,065","2,433","1,711","1,198","2,267","11,735"
2008,128,0,0,0,0,706,0,0,0,0,0,0,834
2007,685,483,"1,655",766,"1,158","2,388","1,245","1,217",955,900,741,"1,954","14,147"
2006,722,"1,248",697,630,"1,005","1,626","1,295","1,538","1,161",516,766,"2,014","13,218"
2005,407,776,634,"1,006",871,"1,791","1,254",993,"1,315","1,219",549,"2,217","13,032"
2004,552,484,767,874,"1,191","2,206","1,437","1,255",842,"1,400",636,"2,254","13,898"
2003,902,758,884,"1,159","1,696","2,145","1,606","1,378",959,"1,799",479,"2,155","15,920"
2002,483,851,736,"1,408","1,240","2,313","1,949","1,101","1,177","1,279",589,"2,508","15,634"
2001,678,"1,087","1,488","1,317","2,007","2,890","2,011","1,979","1,808","1,331","1,321","2,767","20,684"
2000,378,889,"1,919",670,"1,292","1,434","1,340","1,305",997,"1,429",740,"3,420","15,813"
1999,623,"1,096",577,537,"1,330","1,829",841,"1,167","1,331",716,690,"2,578","13,315"
1998,528,"1,255",510,697,"1,090","1,832",835,984,804,654,656,"2,733","12,578"
1997,632,548,497,610,942,"1,123",816,908,477,727,409,"2,634","10,323"
1996,438,518,499,624,"1,392","1,016",669,638,415,516,404,"1,171","8,300"
1995,"2,240","2,798","3,092","3,684","5,031","4,438","6,762","3,818","3,364","2,975","2,084","5,047","45,333"
1994,"1,889","2,341","2,740","3,588","3,895","2,962","1,840","2,172","3,916","4,767","2,979","7,790","40,879"
1993,447,"1,090",863,789,"6,203","7,422",977,"5,068","2,165","2,686","2,235","5,779","35,724"
1992,972,"1,295","1,012","1,754","3,778","5,608","1,233","1,090","1,075","1,533","1,729","2,722","23,801"
1991,"1,216","1,628","2,516","2,336","6,810","5,482","1,061",904,893,"1,330",404,"2,289","26,869"
1990,"1,301",836,"2,600","1,846","5,395","3,977","4,072","2,739","2,954","3,641","1,881","7,285","38,527"
1989,"1,627","1,661","2,277","4,567","5,973","7,718","1,948","2,702","2,482","3,621","1,635","8,259","44,470"
1988,"1,312","1,541","2,125","3,121","4,412","8,041","2,030","2,336","1,682","2,798","2,006","10,194","41,598"
1987,717,"1,340","1,425","1,206","3,667","7,687","1,531","1,996","1,435","1,871","1,501","9,098","33,474"
1986,479,641,866,"1,149","2,491","1,761","1,244","1,515","1,588","1,393","1,812","6,138","21,077"
1985,294,442,995,902,"1,584","1,527","1,013",897,"1,011",782,920,"2,783","13,150"
1984,423,495,823,874,"1,721","1,753",928,"1,166","1,281","1,055",840,"4,109","15,468"
1983,317,873,"1,136","1,115","1,668","1,833","1,063",778,"1,169","1,370",843,"3,903","16,068"
1982,291,673,544,974,"1,456","2,389",828,984,"1,534",911,288,"4,103","14,975"
1981,901,960,"1,265","1,249","1,355","1,639",866,"1,316","1,576","1,172","1,043","2,867","16,209"
1980,"1,097",965,"1,104","1,074","1,459","1,235",970,"1,057","2,080","1,332",902,"1,835","15,110"
1979,639,"1,012",798,"1,061","1,686","1,595",800,690,"1,903","1,450",842,"3,412","15,888"

