Name,Textbox3
First Ladies NHS,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,506,,,,,,,,,,,,506
2015,402,485,469,672,"1,274","1,685","1,758","1,292","1,214",638,978,"2,030","12,897"
2014,288,621,426,695,757,"1,044","1,344","1,007","5,297",821,714,"2,312","15,326"
2013,336,473,519,996,736,"1,089","1,391","1,009",965,304,706,"1,544","10,068"
2012,146,370,645,724,761,"1,301",856,918,717,728,505,"2,232","9,903"
2011,188,204,301,451,592,"1,177",985,"1,100",631,627,379,"1,619","8,254"
2010,207,335,443,656,726,"1,015","1,256","1,134",531,632,348,"1,483","8,766"
2009,255,428,648,847,690,"1,364","1,338","1,197","1,025",692,491,"1,491","10,466"
2008,251,311,500,759,742,"1,090","1,042","1,042",742,885,368,"2,038","9,770"
2007,277,798,557,556,936,"1,580","1,070","1,070",821,679,"1,000","1,537","10,881"
2006,259,210,485,559,"1,813","1,813",785,"1,077",771,518,591,"2,338","11,219"

