Name,Textbox3
Tonto NM,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"3,656","5,737",,,,,,,,,,,"9,393"
2015,"3,620","5,560","7,863","4,333","2,622","1,648","1,559","1,134","1,529","2,182","2,897","2,576","37,523"
2014,"5,036","5,857","7,908","4,861","2,738","1,442","1,350",848,"1,448","1,347","1,632","1,893","36,360"
2013,"4,498","6,489","9,022","5,768","2,862","1,322",832,440,952,"1,431","3,073","2,943","39,632"
2012,"5,936","7,449","10,016","5,860","3,950","2,369","2,265","1,963","1,664","3,714","3,576","3,119","51,881"
2011,"4,655","6,709","11,531","6,120","3,514","2,607","2,120","2,184","2,419","3,892","4,284","3,391","53,426"
2010,"5,303","7,647","14,498","7,815","4,844","2,820","2,607","2,164","2,666","4,446","3,013","2,674","60,497"
2009,"5,720","7,319","12,533","7,588","4,594","2,965","2,450","2,234","2,666","4,329","4,572","3,564","60,534"
2008,"5,207","7,455","12,137","8,006","5,415","3,265","3,045","3,212","3,408","4,654","4,097","3,652","63,553"
2007,"6,135","8,716","9,383","6,340","4,035","2,988","2,756","2,442","2,960","3,631","3,674","3,114","56,174"
2006,"6,241","8,821","10,163","6,873","4,425","3,189","3,531","2,797","3,629","4,452","5,314","4,298","63,733"
2005,"6,684","8,072","14,851","10,085","5,645","4,161","3,710","3,248","3,548","5,510","5,115","4,511","75,140"
2004,"6,315","8,433","10,866","6,733","4,713","3,360","3,550","3,178","3,598","4,320","4,173","3,978","63,217"
2003,"6,555","5,886","8,159","6,249","4,235","4,123","3,898","3,398","3,730","4,485","4,793","3,705","59,216"
2002,"7,170","8,088","8,723","5,109","4,718","3,105","3,153","3,175","3,225","3,403","4,236","3,223","57,328"
2001,"10,010","12,221","15,540","10,135","4,375","3,785","4,676","3,383","3,668","3,660","4,345","4,208","80,006"
2000,"7,642","10,343","12,178","11,218","4,945","3,840","3,363","3,018","3,900","5,345","5,484","4,783","76,059"
1999,"7,884","10,244","12,627","11,224","6,141","2,902","3,356","2,255","2,991","2,432","7,070","4,880","74,006"
1998,"7,928","9,720","13,967","9,966","6,109","4,078","3,332","3,146","3,990","4,114","7,084","5,388","78,822"
1997,"7,035","10,940","14,709","8,719","5,380","3,773","3,535","3,803","4,100","5,388","6,968","5,052","79,402"
1996,"5,808","11,446","13,000","8,545","4,717","3,083","3,215","3,128","3,895","4,890","5,410","4,833","71,970"
1995,"6,937","9,623","12,756","9,478","6,295","4,290","3,885","3,518","5,613","3,638","3,273","1,630","70,936"
1994,"7,395","9,507","12,806","4,976","5,624","3,560","3,860","3,530","3,998","4,730","5,044","4,053","69,083"
1993,"3,836","7,457","12,195","8,662","6,080","3,973","4,044","4,535","4,597","5,639","4,465","4,678","70,161"
1992,"6,395","9,649","10,391","7,223","4,352","2,637","2,649","2,895","2,849","3,596","4,179","3,560","60,375"
1991,"7,946","11,971","11,143","7,020","3,530","1,788","2,325","2,298","2,604","3,659","3,925","4,430","62,639"
1990,"5,032","6,951","5,511","4,213","2,855","2,155","2,082","1,922","2,171","3,509","5,685","3,450","45,536"
1989,"7,784","12,002","11,553","5,414","3,457","2,528","2,598","2,446","2,544","2,891","3,697","4,192","61,106"
1988,"9,222","12,145","14,678","9,162","5,964","3,866","3,723","3,916","2,155","2,927","3,550","7,074","78,382"
1987,"9,364","12,580","15,234","9,428","5,423","3,938","3,458","4,961","2,355","3,601","4,664","5,900","80,906"
1986,"9,734","12,793","14,810","9,098","5,615","3,523","3,699","3,358","3,346","4,040","4,089","8,679","82,784"
1985,"7,714","10,309","14,511","9,154","5,905","3,592","2,904","2,790","2,745","4,168","4,214","5,600","73,606"
1984,"7,332","11,591","12,068","8,351","4,669","4,389","2,912","2,791","2,562","4,162","4,690","4,148","69,665"
1983,"8,077","11,148","12,029","9,679","6,082","3,911","3,081","2,834","2,197","3,226","3,675","4,100","70,039"
1982,"6,835","10,332","10,930","9,071","5,346","3,406","3,906","3,096","2,402","4,296","4,039","5,185","68,844"
1981,"7,273","9,655","9,937","7,908","6,008","5,030","2,953","3,332","3,242","4,433","4,514","6,243","70,528"
1980,"4,899","6,042","8,096","7,993","4,785","3,448","2,921","3,660","3,392","4,130","4,986","5,976","60,328"
1979,"5,451","11,216","11,803","8,448","4,163","3,608","3,212","3,661","3,255","4,446","4,685","5,899","69,847"

