Name,Textbox3
George Washington Carver NM,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"1,194",,,,,,,,,,,,"1,194"
2015,"1,490","1,250","1,906","4,671","5,317","3,895","4,108","2,475","4,563","4,990","2,215",865,"37,745"
2014,"1,428","1,365","2,431","5,439","5,792","4,629","4,858","2,885","5,021","4,974","1,876",837,"41,535"
2013,"1,025","1,276","2,013","3,842","4,576","3,563","4,132","2,259","4,725","1,294","3,385",971,"33,061"
2012,"1,080",929,"1,978","3,025","4,515","3,561","3,563","2,136","3,507","3,301","2,098",732,"30,425"
2011,921,692,"1,739","2,702","4,171","3,094","3,583","2,396","4,925","3,779","2,057",728,"30,787"
2010,"1,089","1,384","2,095","4,751","4,582","4,098","4,175","2,885","3,454","3,504","2,338",713,"35,068"
2009,"1,457","1,263","2,288","4,181","4,940","4,390","4,698","2,726","3,888","3,261","4,044","1,763","38,899"
2008,991,757,"2,118","4,747","5,771","6,992","6,406","2,432","3,191","3,914","2,275",813,"40,407"
2007,308,438,"2,083","4,081","5,300","4,532","4,428","3,359","4,076","4,398","2,917",560,"36,480"
2006,"1,152",912,"1,713","4,687","5,730","5,327","4,157","2,266","3,309","4,388","2,776",750,"37,167"
2005,"1,004","2,226","2,862","5,228","6,739","9,081","4,931","4,140","3,186","4,052","1,541",584,"45,574"
2004,"1,092","2,274","2,565","5,252","5,454","4,991","4,411","3,468","3,151","2,823","2,470",873,"38,824"
2003,"1,384","1,830","2,681","4,386","4,943","5,261","5,501","3,199","4,423","4,139","2,327",950,"41,024"
2002,"1,569","2,384","2,271","4,837","5,191","6,040","4,931","3,218","4,282","4,539","2,041","1,114","42,417"
2001,579,"1,310","2,725","4,314","5,124","5,763","5,432","3,224","2,945","6,649","2,593",806,"41,464"
2000,"1,377","1,847","4,046","4,724","6,530","5,540","5,584","7,426","7,939","5,000","1,952",552,"52,517"
1999,"3,405","1,716","2,941","2,955","2,131","3,973","4,373","3,759","4,052","4,944","2,246","1,158","37,653"
1998,"1,019","1,793","1,909","5,648","6,197","5,459","5,580","3,850","4,571","4,411","2,630","1,410","44,477"
1997,525,975,"1,787","3,714","6,764","5,577","6,118","3,820","3,837","4,109","2,161","1,045","40,432"
1996,368,"1,271","2,364","4,082","5,505","4,133","4,665","3,405","2,976","3,710","1,682",881,"35,042"
1995,"1,351","1,584","3,011","3,372","5,665","4,600","4,228","3,445","3,194","4,292","1,560",471,"36,773"
1994,266,842,"2,047","3,832","6,722","3,095","6,136","4,401","4,235","3,198","1,959",686,"37,419"
1993,854,"1,495","2,275","2,302","6,003","4,074","4,592","4,544","4,334","3,078",669,406,"34,626"
1992,"1,230","1,946","2,715","7,840","10,188","5,850","5,632","6,081","4,219","5,850","3,765",560,"55,876"
1991,156,525,"1,553","3,200","7,506","5,055","4,960","3,369","2,641","3,530","1,131",690,"34,316"
1990,714,731,"2,593","5,396","10,244","7,409","7,293","5,697","3,367","3,190","2,107",433,"49,174"
1989,670,705,"3,021","5,056","10,735","8,024","9,244","7,543","5,090","7,125","2,534",532,"60,279"
1988,332,803,"2,199","3,041","6,063","5,015","2,736","3,286","4,330","4,053","1,005",665,"33,528"
1987,"3,513","4,488","9,075","12,139","15,587","18,516","27,151","12,448","8,881","7,209","1,036",501,"120,544"
1986,"3,512","3,805","9,027","12,003","15,560","18,451","26,978","18,446","14,616","13,347","7,322","5,614","148,681"
1985,"3,010","3,539","3,720","11,184","16,744","18,497","23,844","18,349","13,971","11,295","7,100","5,864","137,117"
1984,"2,954","3,461","4,257","6,069","11,278","10,282","9,920","9,274","6,437","8,828","5,660","3,608","82,028"
1983,"2,307","3,439","4,120","6,026","11,227","9,712","9,899","9,501","6,306","8,669","5,322","2,674","79,202"
1982,"1,869","2,207","3,311","5,544","9,255","8,537","9,523","8,637","6,761","7,036","3,582","2,291","68,553"
1981,"1,217","1,464","2,599","4,666","8,477","6,146","7,496","7,882","5,012","5,277","2,681","2,233","55,150"
1980,"1,107","1,064","2,351","4,815","9,626","8,842","8,427","9,359","4,469","5,656","2,627","1,085","59,428"
1979,357,"1,219","2,385","4,219","7,827","6,507","6,461","6,146","5,474","4,907","2,270","1,340","49,112"

