Name,Textbox3
George Washington MEM PKWY,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2015,"291,966","274,952","502,877","838,933","839,212","809,001","845,822","833,225","632,672","542,876","515,155","359,772","7,286,463"
2014,"292,269","338,486","537,004","782,943","844,028","890,016","843,903","819,304","602,372","551,728","532,835","437,262","7,472,150"
2013,"295,599","305,571","606,686","788,547","783,652","812,683","832,413","844,964","607,705","537,511","541,805","403,256","7,360,392"
2012,"269,449","264,357","492,363","979,289","773,541","877,180","820,301","763,217","607,898","616,046","566,705","395,231","7,425,577"
2011,"268,655","404,317","562,513","731,919","704,006","1,092,989","832,249","763,234","542,430","588,792","528,314","397,979","7,417,397"
2010,"258,905","243,872","512,964","830,543","757,960","783,437","768,598","770,745","588,210","585,969","506,872","317,024","6,925,099"
2009,"252,878","355,479","468,183","823,606","772,059","703,934","758,408","722,629","569,837","569,441","539,442","402,413","6,938,309"
2008,"275,000","293,172","521,385","733,430","707,961","757,357","783,359","728,231","577,198","605,416","565,720","461,401","7,009,630"
2007,"257,575","266,893","521,855","750,267","694,264","765,205","806,359","699,876","564,136","616,335","524,970","369,404","6,837,139"
2006,"248,232","275,435","541,181","741,445","697,596","779,990","803,634","689,257","550,768","615,686","507,124","421,865","6,872,213"
2005,"288,302","351,225","501,492","765,010","756,202","745,713","851,827","691,256","613,588","711,033","563,092","445,425","7,284,165"
2004,"238,714","329,094","526,455","692,482","764,454","857,635","896,741","903,163","710,837","569,748","396,612","341,974","7,227,909"
2003,"244,692","203,009","480,901","517,444","592,383","747,516","781,574","657,592","428,130","527,903","494,185","368,179","6,043,508"
2002,"329,069","432,407","533,363","771,546","853,247","860,579","797,200","885,792","586,980","526,371","502,375","340,446","7,419,375"
2001,"382,213","443,102","640,258","841,638","909,524","888,581","907,100","771,536","607,023","477,098","404,552","391,466","7,664,091"
2000,"305,337","451,424","648,874","832,716","896,889","868,455","904,043","780,598","648,006","607,104","549,878","403,837","7,897,161"
1999,"286,983","374,161","554,662","748,166","860,652","847,400","794,588","634,289","496,524","554,555","446,937","348,028","6,946,945"
1998,"341,660","354,618","484,108","722,214","804,156","698,480","743,202","629,462","595,341","538,204","399,894","273,463","6,584,802"
1997,"369,302","391,299","533,656","630,580","611,902","572,565","568,295","523,936","462,438","481,605","370,805","327,911","5,844,294"
1996,"287,694","300,424","431,242","580,350","664,251","750,421","689,135","672,804","508,254","495,664","444,119","302,132","6,126,490"
1995,"73,589","102,764","500,628","762,760","1,020,452","941,667","562,145","664,996","582,825","543,436","466,636","324,905","6,546,803"
1994,"185,119","246,009","363,184","571,309","798,008","646,430","573,193","533,992","609,739","431,286","344,460","317,092","5,619,821"
1993,"337,316","231,160","369,262","586,871","808,672","659,046","568,214","561,600","491,394","348,937","239,908","288,657","5,491,037"
1992,"239,950","270,351","381,634","628,693","887,483","1,052,313","512,275","462,803","365,913","411,989","255,239","263,207","5,731,850"
1991,"245,893","241,992","335,102","468,984","641,869","590,401","621,201","557,218","454,950","377,796","240,771","228,559","5,004,736"
1990,"284,729","272,996","302,657","541,944","574,993","707,743","761,491","649,791","421,280","346,402","246,870","218,286","5,329,182"
1989,"114,469","120,940","182,579","356,679","415,391","412,007","366,181","311,689","269,752","244,523","148,299","105,652","3,048,161"
1988,"358,585","476,420","765,160","1,076,350","1,167,332","1,250,457","1,020,206","931,282","767,351","886,707","483,556","354,288","9,537,694"
1987,"310,843","385,490","813,987","1,088,005","1,100,576","1,168,649","1,268,059","804,317","777,704","1,032,335","480,134","334,682","9,564,781"
1986,"380,691","341,616","833,225","886,596","1,098,901","914,258","1,249,395","875,962","848,705","956,707","379,497","331,529","9,097,082"
1985,"290,994","442,914","686,121","1,170,509","1,096,198","865,719","1,258,696","772,378","763,214","583,359","496,847","353,735","8,780,684"
1984,"225,500","397,370","485,115","883,338","1,020,835","955,698","1,001,915","1,010,176","676,262","683,505","543,584","362,708","8,246,006"
1983,"292,864","372,057","567,665","905,793","917,903","1,123,615","1,151,410","942,840","822,320","559,219","557,110","356,783","8,569,579"
1982,"231,031","397,152","1,112,229","1,015,417","950,608","1,058,782","1,079,740","930,841","825,457","729,493","512,463","373,228","9,216,441"
1981,"336,611","489,391","614,892","848,715","1,119,556","1,009,724","829,386","1,085,749","662,718","668,051","409,968","481,144","8,555,905"
1980,"161,076","200,383","595,111","588,048","598,513","659,125","1,006,381","722,146","609,532","404,629","429,900","291,277","6,266,121"
1979,"113,859","130,323","346,027","492,467","554,393","414,197","591,688","795,207","362,837","377,663","292,401","206,916","4,677,978"

