Name,Textbox3
Gettysburg NMP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"16,159",,,,,,,,,,,,"16,159"
2015,"14,491","14,465","47,244","115,520","164,432","157,963","168,146","119,843","89,156","115,950","51,928","21,047","1,080,185"
2014,"13,640","14,460","50,403","110,850","158,042","144,307","146,440","123,352","92,057","102,658","45,644","18,849","1,020,702"
2013,"18,550","19,723","65,688","123,374","173,754","174,491","220,903","149,581","117,255","70,939","59,765","19,326","1,213,349"
2012,"18,044","25,236","105,836","115,603","160,222","156,021","153,421","114,857","100,914","109,304","48,422","18,697","1,126,577"
2011,"12,083","17,258","48,012","117,034","161,856","163,247","171,260","126,524","94,824","118,897","54,793","38,871","1,124,659"
2010,"13,944","11,510","52,605","106,505","145,359","143,320","163,562","135,574","90,398","108,538","44,790","15,449","1,031,554"
2009,"16,536","22,727","51,699","112,298","151,891","134,576","146,210","120,671","90,959","106,960","44,416","14,059","1,013,002"
2008,"27,040","29,791","92,570","146,111","217,249","185,355","198,074","173,833","120,347","163,924","77,059","24,598","1,455,951"
2007,"29,614","25,219","79,163","170,144","245,631","215,439","258,706","180,868","155,723","178,087","82,132","27,019","1,647,745"
2006,"28,963","33,301","82,039","192,023","246,551","216,288","246,909","183,967","139,536","177,361","85,181","34,246","1,666,365"
2005,"26,499","34,888","93,630","191,164","232,966","244,829","271,009","193,665","140,625","162,064","83,371","30,891","1,705,601"
2004,"31,361","39,848","82,783","184,949","244,649","240,455","261,830","208,318","143,035","173,140","82,633","31,419","1,724,420"
2003,"24,804","23,794","76,899","179,420","237,953","243,078","288,519","238,625","137,373","184,498","105,178","29,547","1,769,688"
2002,"30,445","47,223","94,934","187,855","245,128","264,814","269,468","230,940","159,279","184,235","89,855","28,857","1,833,033"
2001,"24,129","40,406","73,575","198,652","237,066","239,223","297,748","220,903","160,970","174,143","89,312","36,253","1,792,380"
2000,"9,882","36,063","77,896","174,568","210,475","187,856","203,148","206,095","149,263","173,637","83,932","29,369","1,542,184"
1999,"11,487","41,174","75,529","199,320","215,575","203,012","235,538","224,031","137,728","172,971","99,443","26,030","1,641,838"
1998,"14,679","44,510","70,268","186,752","212,667","196,995","259,630","243,873","152,922","181,410","107,217","30,737","1,701,660"
1997,"12,570","37,016","81,776","192,067","239,675","193,303","268,621","245,381","147,114","185,460","97,418","26,669","1,727,070"
1996,"8,045","32,032","73,978","177,249","220,024","196,849","243,029","225,903","148,719","174,346","103,986","28,560","1,632,720"
1995,"25,940","26,799","78,438","133,883","250,926","218,401","282,564","203,026","148,084","177,398","84,419","13,104","1,642,982"
1994,"12,424","21,519","69,008","121,693","233,165","280,478","285,524","195,174","126,573","209,438","83,764","35,772","1,674,532"
1993,"25,378","18,757","50,060","101,995","210,582","227,796","221,095","159,579","96,912","193,772","77,076","28,451","1,411,453"
1992,"20,323","29,915","55,390","113,302","179,432","171,083","169,759","163,383","153,349","166,744","54,974","21,549","1,299,203"
1991,"22,758","29,085","77,021","137,720","183,861","176,739","205,394","186,520","128,162","168,283","74,624","25,673","1,415,840"
1990,"26,492","31,605","59,736","128,244","155,358","143,797","185,094","157,758","116,250","147,938","70,209","21,161","1,243,642"
1989,"24,167","27,323","59,781","139,365","171,265","183,156","210,289","185,697","126,463","152,354","55,717","17,151","1,352,728"
1988,"20,213","25,846","55,156","142,637","177,535","203,271","276,296","188,455","133,049","162,663","56,208","23,215","1,464,544"
1987,"18,251","23,453","57,586","156,982","168,931","170,852","203,729","186,994","116,473","150,395","59,093","22,508","1,335,247"
1986,"31,453","14,889","66,440","130,852","200,603","180,398","208,450","198,630","114,673","140,965","54,387","21,421","1,363,161"
1985,"16,756","26,104","54,112","107,507","165,222","158,645","203,121","179,418","130,263","155,810","104,871","19,301","1,321,130"
1984,"15,072","25,871","41,070","120,303","166,438","157,287","207,294","177,835","102,501","128,437","48,784","21,334","1,212,226"
1983,"16,027","19,807","53,610","110,716","139,394","156,671","206,867","177,873","114,145","139,812","49,263","14,764","1,198,949"
1982,"10,838","19,327","38,573","100,985","152,941","149,741","191,250","198,383","110,309","116,825","43,931","18,038","1,151,141"
1981,"14,248","21,233","39,465","111,047","155,728","153,196","196,357","193,834","139,935","127,657","45,511","41,436","1,239,647"
1980,"15,793","18,517","42,963","103,802","137,885","149,953","180,291","171,627","94,584","121,793","43,622","15,534","1,096,364"
1979,"9,249","16,720","60,868","100,041","126,396","126,441","137,242","145,297","99,981","110,136","43,051","18,613","994,035"

