Name,Textbox3
Buffalo NR,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"29,781",,,,,,,,,,,,"29,781"
2015,"29,942","37,059","74,457","114,445","161,723","299,670","250,813","164,899","104,920","119,029","47,478","58,869","1,463,304"
2014,"34,950","29,049","75,325","111,985","169,353","264,577","267,901","167,059","111,981","62,802","45,831","16,244","1,357,057"
2013,"37,874","27,558","82,480","111,322","155,872","223,746","176,886","132,186","74,152","45,005","35,914","22,232","1,125,227"
2012,"34,368","41,655","83,706","112,394","166,844","174,630","154,916","128,848","95,695","58,194","31,982","9,851","1,093,083"
2011,"48,609","34,449","85,108","86,150","164,498","192,333","168,967","127,661","78,190","93,433","48,968","41,436","1,169,802"
2010,"35,953","33,411","63,156","107,091","198,640","316,194","371,386","123,701","104,709","100,486","59,386","31,486","1,545,599"
2009,"37,898","34,906","65,710","126,629","222,969","307,138","207,707","200,615","114,826","110,713","60,257","33,218","1,522,586"
2008,"33,336","27,048","97,190","115,836","168,956","303,792","210,374","152,658","98,063","84,447","62,445","51,657","1,405,802"
2007,"30,386","28,204","66,362","107,965","157,624","234,699","180,708","152,491","71,015","80,030","44,529","40,030","1,194,043"
2006,"31,774","41,195","62,962","98,076","149,517","216,776","156,727","93,758","58,027","78,748","52,279","28,251","1,068,090"
2005,"20,386","26,387","45,630","94,356","191,609","212,413","151,153","84,474","59,437","46,381","32,057","19,776","984,059"
2004,"15,003","12,266","43,085","101,712","161,025","241,345","221,579","169,027","100,486","60,096","40,446","24,951","1,191,021"
2003,"17,413","16,228","40,749","55,867","58,325","134,248","113,201","75,125","47,400","38,856","23,479","14,453","635,344"
2002,"11,919","17,085","38,557","59,910","101,256","161,447","139,485","91,181","56,541","40,714","27,066","20,467","765,628"
2001,"6,579","11,235","30,539","66,715","104,764","173,289","141,761","101,101","48,581","77,497","18,859","13,756","794,676"
2000,"11,284","14,010","41,325","60,580","98,950","130,832","149,739","106,251","50,425","40,111","18,516","9,760","731,783"
1999,"8,173","9,883","31,280","59,861","105,150","188,796","153,212","103,007","54,523","46,745","21,016","14,633","796,279"
1998,"8,740","8,574","28,195","52,815","93,495","153,941","105,639","79,122","44,696","43,809","18,746","13,451","651,223"
1997,"9,174","9,240","36,650","45,621","85,922","129,916","112,047","62,629","30,814","30,569","16,057","11,666","580,305"
1996,"7,146","7,569","29,634","47,459","87,412","169,594","140,677","98,012","50,987","45,045","20,491","12,504","716,530"
1995,"11,759","10,527","50,850","77,099","82,706","157,091","137,414","76,129","34,451","33,507","19,648","9,383","700,564"
1994,"14,292","14,724","37,456","82,508","128,281","205,706","176,602","114,122","58,440","62,013","38,201","24,911","957,256"
1993,"18,610","20,258","45,772","66,995","139,734","231,930","191,629","111,300","63,931","63,930","22,910","25,085","1,002,084"
1992,"9,233","22,503","46,809","100,019","184,047","228,071","198,678","180,040","77,353","79,278","42,815","21,828","1,190,674"
1991,"5,534","18,429","36,417","103,004","166,799","181,904","148,987","126,041","66,345","69,886","37,655","20,832","981,833"
1990,"15,550","25,488","33,339","93,479","128,211","154,702","168,966","119,218","61,305","62,341","42,279","15,890","920,768"
1989,"19,163","19,897","47,471","103,428","173,340","191,875","157,009","119,749","84,626","84,582","43,356","14,838","1,059,334"
1988,"15,608","21,793","49,710","111,031","153,784","194,468","163,024","106,314","76,720","88,626","55,752","21,634","1,058,464"
1987,"16,741","20,112","51,489","108,315","161,417","201,990","176,100","99,420","72,665","75,133","48,541","20,573","1,052,496"
1986,"16,939","16,708","45,430","98,000","151,911","173,827","165,055","115,343","63,780","53,828","47,123","24,572","972,516"
1985,"12,864","11,445","35,789","53,188","129,492","126,489","148,309","114,522","47,012","42,566","25,734","13,676","761,086"
1984,"9,150","15,290","15,603","36,485","66,036","92,947","105,069","67,055","47,826","26,792","17,070","10,686","510,009"
1983,"7,619","12,670","25,433","27,574","106,255","112,222","129,318","102,594","54,442","32,864","33,961","10,822","655,774"
1982,"9,412","11,679","29,214","43,923","78,010","113,028","95,065","89,049","68,917","36,691","22,930","9,017","606,935"
1981,"8,134","8,097","37,173","59,661","72,188","91,983","106,906","80,846","49,702","27,516","22,732","15,137","580,075"
1980,"5,749","7,980","32,415","57,286","97,030","104,849","125,446","58,296","28,704","29,171","17,185","12,241","576,352"
1979,"2,398","6,961","25,997","73,024","89,101","134,390","126,694","105,287","44,300","39,769","17,524","10,387","675,832"

