Name,Textbox3
Canaveral NS,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"102,061","136,845",,,,,,,,,,,"238,906"
2015,"108,691","110,041","200,878","168,201","191,627","154,056","163,169","132,020","117,186","120,443","105,075","118,367","1,689,754"
2014,"78,888","109,284","145,992","147,126","158,837","140,445","153,317","136,649","99,216","111,776","74,673","95,022","1,451,225"
2013,"77,818","74,410","93,937","108,504","117,644","88,500","135,701","115,814","105,657","55,454","74,790","85,459","1,133,688"
2012,"78,227","73,131","124,938","99,567","99,665","87,417","122,087","67,007","83,904","63,485","42,492","52,510","994,430"
2011,"66,696","90,839","120,653","113,169","95,312","87,822","102,140","81,671","75,117","64,331","56,397","50,854","1,005,001"
2010,"65,346","62,771","95,096","99,036","107,297","95,760","102,992","83,546","78,408","71,015","57,618","47,214","966,099"
2009,"83,773","88,393","106,253","122,118","91,919","82,347","92,555","85,049","75,102","71,789","51,861","50,506","1,001,665"
2008,"65,037","83,624","111,783","102,357","95,192","92,433","100,943","77,909","68,745","62,543","54,792","79,095","994,453"
2007,"77,509","77,695","127,895","103,314","102,767","102,705","108,644","85,802","74,742","58,724","60,396","58,256","1,038,449"
2006,"78,414","74,469","125,546","99,336","87,212","89,307","97,805","74,501","77,091","78,677","61,548","61,496","1,005,402"
2005,"77,045","78,327","111,066","108,435","117,635","87,741","99,089","83,291","68,598","58,307","65,130","52,782","1,007,446"
2004,"77,784","82,597","135,804","115,686","89,861","104,001","116,135","76,601","51,498","82,835","65,931","51,478","1,050,211"
2003,"61,435","69,938","111,528","111,831","124,190","91,608","108,617","89,693","77,250","74,438","70,161","55,209","1,045,898"
2002,"61,325","62,622","131,183","87,984","156,881","129,285","101,075","88,571","87,852","69,239","50,292","49,438","1,075,747"
2001,"100,914","101,636","120,044","123,594","110,804","117,048","121,646","83,189","48,774","56,045","34,305","44,963","1,062,962"
2000,"68,705","81,629","118,780","89,145","69,728","150,768","145,763","81,761","95,061","65,273","76,425","72,307","1,115,345"
1999,"63,902","70,186","97,484","91,116","85,796","68,685","80,879","75,323","43,857","40,427","67,305","61,552","846,512"
1998,"52,425","48,279","74,375","59,832","68,687","69,552","60,269","59,771","52,353","42,818","59,091","55,849","703,301"
1997,"66,381","66,684","220,820","142,272","125,510","129,429","153,383","122,558","96,483","104,516","102,288","38,308","1,368,632"
1996,"86,201","114,807","121,067","161,145","150,197","151,206","149,603","168,095","149,538","64,709","91,116","89,277","1,496,961"
1995,"83,271","99,448","164,227","160,905","161,939","124,068","155,495","113,594","107,016","78,968","86,724","44,783","1,380,438"
1994,"84,175","107,620","154,671","136,422","148,037","120,978","157,340","122,507","103,173","123,503","89,622","84,832","1,432,880"
1993,"88,926","86,374","98,401","132,051","146,579","114,483","122,747","117,860","84,939","82,202","74,361","62,569","1,211,492"
1992,"78,058","100,069","112,639","72,411","138,728","88,665","71,087","115,883","76,053","63,380","66,018","50,001","1,032,992"
1991,"106,193","114,754","107,528","117,591","64,847","122,382","97,430","120,527","97,614","81,815","58,542","69,778","1,159,001"
1990,"80,886","95,159","127,914","75,140","125,302","65,697","146,441","113,583","54,557","45,339","44,976","104,028","1,079,022"
1989,"101,777","63,051","79,881","60,370","135,730","110,673","98,789","94,574","32,038","51,491","52,623","68,204","949,201"
1988,"69,137","86,536","107,673","135,479","130,190","127,630","61,646","44,522","49,886","87,849","42,294","95,193","1,038,035"
1987,"84,420","72,928","111,859","97,058","89,201","103,381","112,331","100,125","71,874","65,838","57,720","70,292","1,037,027"
1986,"64,462","65,306","132,873","150,968","128,414","118,136","122,576","113,560","84,542","45,860","41,959","67,724","1,136,380"
1985,"73,829","70,350","67,231","57,557","76,207","111,469","120,258","84,912","70,962","71,752","75,438","51,804","931,769"
1984,"76,317","96,605","127,072","127,412","114,774","95,683","125,583","105,153","86,805","72,170","55,194","98,534","1,181,302"
1983,"79,551","69,158","103,174","112,983","129,764","102,312","134,254","86,977","79,980","61,700","55,395","60,073","1,075,321"
1982,"84,398","77,315","74,893","101,412","111,164","101,277","113,897","131,931","86,301","67,208","63,942","59,080","1,072,818"
1981,"54,928","73,177","80,351","84,136","117,230","146,174","124,182","107,303","94,608","68,312","52,836","63,469","1,066,706"
1980,"58,186","64,703","87,614","98,322","85,341","100,080","106,733","72,371","53,740","61,226","49,785","47,519","885,620"
1979,"61,106","64,400","84,635","133,938","76,910","79,594","92,462","76,748","53,559","48,845","42,723","45,023","859,943"

