Name,Textbox3
Cape Hatteras NS,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"56,772",33,,,,,,,,,,,"56,805"
2015,"60,565","46,882","104,407","140,338","211,471","334,973","388,146","353,743","298,610","168,031","107,526","59,943","2,274,635"
2014,"36,720","44,236","103,493","141,218","221,980","338,386","331,056","350,620","257,527","176,535","92,001","59,578","2,153,350"
2013,"53,342","53,681","104,550","136,472","224,164","351,255","393,710","387,336","269,403","94,729","100,531","45,392","2,214,565"
2012,"57,820","56,710","113,882","162,088","231,977","367,723","393,385","356,231","275,428","132,583","106,664","47,549","2,302,040"
2011,"58,486","55,783","99,393","162,861","211,158","327,143","398,993","291,721","89,781","86,364","114,360","64,668","1,960,711"
2010,"59,196","42,520","103,280","154,798","213,865","335,074","383,232","279,706","267,230","185,728","109,643","59,020","2,193,292"
2009,"49,599","53,915","91,907","161,682","230,018","316,747","407,754","347,904","277,212","181,287","102,975","61,543","2,282,543"
2008,"41,423","50,004","107,383","162,441","242,423","280,486","394,111","356,251","201,077","136,023","106,329","68,441","2,146,392"
2007,"60,662","54,758","162,967","174,544","228,045","353,033","387,676","293,685","227,894","153,610","94,268","46,236","2,237,378"
2006,"70,523","62,074","115,742","183,169","170,394","317,641","296,407","311,857","221,469","170,790","102,818","102,121","2,125,005"
2005,"67,552","73,656","106,562","131,047","201,363","343,629","367,888","305,384","268,768","141,545","126,846","126,388","2,260,628"
2004,"65,934","72,915","106,007","156,937","231,086","315,713","363,617","302,422","207,274","173,808","133,253","79,223","2,208,189"
2003,"59,172","55,443","140,589","127,210","496,419","350,251","471,620","315,043","125,860","288,705","126,040","104,183","2,660,535"
2002,"60,738","53,194","140,302","183,766","226,414","410,366","410,966","574,159","466,686","182,665","140,145","74,493","2,923,894"
2001,"63,858","46,233","107,583","156,786","279,283","384,859","491,199","381,260","276,042","166,082","90,808","148,896","2,592,889"
2000,"64,579","43,760","141,239","181,838","214,417","349,697","446,232","438,174","334,909","199,548","133,473","99,517","2,647,383"
1999,"59,623","60,229","127,137","180,939","248,891","393,401","466,661","468,653","232,992","164,863","108,013","123,185","2,634,587"
1998,"68,867","43,360","133,689","269,024","230,873","388,012","448,793","446,917","289,480","191,832","148,252","78,541","2,737,640"
1997,"45,848","45,393","108,411","174,116","233,268","372,445","429,819","377,405","300,377","195,126","129,835","103,014","2,515,057"
1996,"46,288","50,300","102,684","177,398","215,708","358,644","425,220","364,547","276,505","171,805","119,967","46,514","2,355,580"
1995,"43,590","43,609","97,809","176,831","223,213","334,729","437,390","350,775","279,365","195,224","127,829","74,024","2,384,388"
1994,"42,976","46,700","95,816","164,498","219,364","322,034","427,587","398,779","290,856","194,499","124,238","56,337","2,383,684"
1993,"44,397","41,119","80,335","149,175","228,757","309,671","399,868","369,931","274,515","178,834","126,493","56,794","2,259,889"
1992,"39,844","46,486","86,284","151,938","210,677","273,214","339,448","327,268","231,581","167,042","122,876","50,445","2,047,103"
1991,"35,765","42,761","100,213","140,796","203,853","277,260","324,390","333,013","234,511","179,954","169,166","57,248","2,098,930"
1990,"45,437","49,082","95,370","161,602","194,601","284,777","352,665","336,441","254,900","155,381","98,032","44,427","2,072,715"
1989,"42,965","38,212","108,243","146,010","260,726","268,519","335,454","314,295","225,673","176,263","136,877","44,754","2,097,991"
1988,"36,799","35,403","70,166","141,759","169,151","249,193","334,597","300,316","231,265","173,990","138,121","48,953","1,929,713"
1987,"36,404","38,078","67,062","119,346","182,327","223,281","339,083","226,384","130,430","134,090","94,881","37,911","1,629,277"
1986,"25,864","24,237","52,727","99,134","121,152","229,910","279,035","187,831","170,466","176,336","121,013","48,208","1,535,913"
1985,"50,561","53,221","86,107","78,468","148,070","147,254","182,122","197,145","104,888","78,463","66,843","31,545","1,224,687"
1984,"25,543","26,209","23,151","48,931","140,810","152,596","195,642","252,278","157,306","140,803","150,712","82,095","1,396,076"
1983,"27,644","22,118","39,782","98,075","154,269","273,233","362,051","307,389","149,424","168,265","58,427","24,951","1,685,628"
1982,"24,608","20,828","35,361","91,965","135,465","269,012","343,550","359,308","199,536","126,034","63,289","29,587","1,698,543"
1981,"25,507","19,954","33,755","109,039","127,059","266,697","354,201","297,170","184,024","127,207","63,800","26,179","1,634,592"
1980,"6,997","8,183","22,803","51,523","175,151","257,062","322,854","340,224","128,022","122,323","64,552","10,543","1,510,237"
1979,"21,675","6,872","38,043","107,552","163,274","286,384","296,702","289,666","150,177","114,083","33,283","9,168","1,516,879"

