Name,Textbox3
Cape Krusenstern NM,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,0,,,,,,,,,,,,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"2,900",750,800,775,900,"1,100","1,100","1,100","1,200","1,100","4,500","2,000","18,225"
2012,850,"1,000","1,000","1,100","1,400","1,600","1,700","3,200","4,400","2,900","2,900","2,900","24,950"
2011,206,400,450,617,845,800,"1,000",800,800,"1,250",800,700,"8,668"
2010,74,89,120,158,223,229,246,135,410,308,278,251,"2,521"
2009,55,49,58,85,95,300,289,300,177,212,116,74,"1,810"
2008,45,59,74,81,56,277,264,190,277,109,78,65,"1,575"
2007,20,35,45,40,65,67,113,98,112,68,46,36,745
2006,65,44,123,98,69,565,308,414,452,175,225,60,"2,598"
2005,169,180,270,263,200,470,684,690,723,747,109,159,"4,664"
2004,159,169,260,243,183,500,650,645,650,670,96,105,"4,330"
2003,155,175,200,250,260,525,594,699,450,100,82,97,"3,587"
2002,50,100,200,200,126,301,531,558,400,550,50,200,"3,266"
2001,50,100,200,200,152,382,220,504,712,550,550,440,"4,060"
2000,50,40,40,50,69,364,423,450,400,50,50,40,"2,026"
1999,50,50,100,200,360,964,"1,010",535,538,50,50,40,"3,947"
1998,130,200,220,330,400,500,550,100,400,50,40,40,"2,960"
1997,130,182,210,290,410,430,550,527,480,62,65,65,"3,401"
1996,130,182,210,290,410,430,550,527,480,62,65,65,"3,401"
1995,130,182,210,290,410,430,550,527,480,62,65,65,"3,401"
1994,130,182,210,290,410,430,550,527,480,62,65,65,"3,401"
1993,124,180,240,290,410,430,550,527,480,62,40,35,"3,368"
1992,138,174,233,315,403,442,572,460,510,52,48,42,"3,389"
1991,130,186,217,330,372,465,545,50,520,47,44,36,"2,942"
1990,140,168,225,300,360,450,558,40,550,45,55,48,"2,939"
1989,125,180,220,330,370,410,550,35,510,55,50,45,"2,880"
1988,135,170,210,320,455,520,"2,500",70,650,50,40,20,"5,140"
1987,0,0,0,0,0,10,40,40,"4,000","2,000",10,10,"6,110"
1986,150,200,125,310,210,500,"3,000","4,000",600,30,50,200,"9,375"
1985,75,160,200,280,170,500,"5,000","3,000",750,50,50,200,"10,435"
1984,75,150,180,200,150,200,"5,000","3,000",720,50,50,50,"9,825"
1983,95,170,180,200,100,300,"6,120","2,400",600,50,60,100,"10,375"
1982,0,0,25,245,565,"1,000","5,000","3,045",100,50,55,120,"10,205"

