Name,Textbox3
Natural Bridges NM,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"1,086","1,739",,,,,,,,,,,"2,825"
2015,"1,033","1,590","6,169","10,907","19,749","11,577","9,679","9,006","13,855","7,028","2,868","1,336","94,797"
2014,"1,066","1,227","5,088","10,818","15,110","11,159","8,762","9,122","13,749","6,764","2,858","1,396","87,119"
2013,728,786,"4,838","10,181","14,840","10,968","8,784","8,740","13,204","5,473","2,606","1,182","82,330"
2012,905,"1,000","4,087","9,316","15,227","10,996","9,594","8,919","13,552","11,858","2,567",990,"89,011"
2011,741,675,"3,825","9,790","14,970","12,591","10,120","9,825","14,488","10,719","2,432","1,008","91,184"
2010,459,859,"3,606","9,651","16,343","12,915","10,677","11,231","15,225","11,142","2,696",872,"95,676"
2009,980,"2,142","4,642","9,485","15,573","11,352","9,848","9,332","13,720","10,637","3,105","1,207","92,023"
2008,738,890,"5,514","9,852","15,269","11,086","9,950","10,413","14,095","9,563","2,880","1,588","91,838"
2007,927,"1,452","5,267","9,312","14,982","10,695","8,891","8,860","13,273","9,894","3,553","1,210","88,316"
2006,"1,441","1,814","3,651","9,639","15,496","9,873","8,891","8,538","15,425","10,354","4,720","1,446","91,288"
2005,252,"1,764","4,854","7,701","23,794","22,438","25,016","10,350","10,967","9,344","3,195","1,572","121,247"
2004,"1,220","1,131","5,758","11,365","15,123","10,899","12,003","10,345","13,336","10,302","2,805","1,819","96,106"
2003,"1,711","1,504","6,318","10,022","16,088","12,237","10,755","10,823","12,769","12,207","3,490",950,"98,874"
2002,"1,094","1,550","5,778","9,705","15,511","13,406","11,872","10,866","12,794","11,063","2,699","1,943","98,281"
2001,"1,071","1,320","5,388","9,657","14,651","12,416","12,081","11,438","13,721","10,718","3,291","1,419","97,171"
2000,"1,787","1,950","5,547","11,375","16,735","14,611","14,404","13,938","16,030","12,076","2,633","1,487","112,573"
1999,"1,565","1,890","7,500","10,083","19,432","16,944","16,186","16,667","20,087","13,119","3,931","1,769","129,173"
1998,"1,923","1,590","6,066","12,434","19,553","18,391","15,211","16,307","15,274","14,183","3,583","1,845","126,360"
1997,"1,376","1,562","8,069","12,003","20,309","18,121","18,567","19,238","21,329","14,079","4,115","2,805","141,573"
1996,"1,099","1,711","7,018","11,910","20,344","17,252","18,358","17,401","21,669","14,268","3,788","1,550","136,368"
1995,816,"2,003","6,383","11,920","21,337","23,376","20,576","19,230","22,131","14,394","3,737",733,"146,636"
1994,917,"1,157","7,237","12,174","19,842","17,020","17,227","18,903","23,829","14,140","3,432","1,336","137,214"
1993,864,786,"5,027","12,721","29,708","20,820","20,024","20,273","22,156","14,770","3,120","1,235","151,504"
1992,252,998,"4,450","11,658","22,206","21,244","20,538","20,747","17,013","10,939","8,190",925,"139,160"
1991,638,"1,540","4,271","9,866","20,730","18,552","19,568","17,408","17,552","11,008","2,266","1,197","124,596"
1990,864,"1,058","3,400","10,959","15,203","15,332","14,023","13,268","14,712","8,331","3,709","1,099","101,958"
1989,"1,484","1,373","6,510","9,148","15,047","14,316","13,487","13,374","14,767","10,503","2,364","1,449","103,822"
1988,990,"1,119","4,407","7,399","14,286","12,126","14,223","15,450","14,797","10,209","2,691",862,"98,559"
1987,768,788,"2,974","8,142","12,623","13,064","13,016","12,716","12,625","8,543","2,238",746,"88,243"
1986,759,781,"3,730","5,700","11,327","10,231","10,859","9,332","10,115","7,071","1,935","1,229","73,069"
1985,539,484,"1,157","5,367","9,384","9,576","8,870","8,734","9,009","5,799","1,585",675,"61,179"
1984,483,570,"2,307","4,120","9,090","9,323","8,655","9,107","8,290","5,177","1,474",527,"59,123"
1983,605,802,"1,870","3,841","9,522","9,481","9,129","8,350","5,470","5,314","1,409",575,"56,368"
1982,415,871,"2,470","4,085","9,259","14,839","7,520","2,878","6,252","4,682","1,280",658,"55,209"
1981,"1,363","2,100","2,140","5,278","8,849","9,202","8,864","9,220","7,019","3,462","1,855",779,"60,131"
1980,518,"1,095","2,352","4,717","9,488","11,573","11,436","8,607","6,268","4,982","1,640",918,"63,594"
1979,569,"1,102","2,921","6,547","9,912","16,866","10,034","10,354","10,544","6,512","2,461",742,"78,564"

