Name,Textbox3
Cape Lookout NS,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2015,"7,608","6,237","12,835","26,746","46,888","59,820","71,241","40,657","49,528","30,868","41,266","6,719","400,413"
2014,"6,773","6,020","13,167","36,192","46,657","67,608","66,476","72,328","55,505","29,248","23,949","7,004","430,927"
2013,"14,743","5,611","16,374","39,115","33,007","47,550","61,505","52,037","73,223","37,212","29,117","7,074","416,568"
2012,"14,718","5,671","16,568","46,927","41,780","50,492","62,456","54,461","72,589","72,785","24,768","17,079","480,294"
2011,"11,463","2,827","14,024","48,627","55,667","55,949","76,666","71,266","63,304","37,341","53,526","17,456","508,116"
2010,"2,500","10,661","15,857","47,604","55,707","59,790","95,963","84,147","57,396","18,054","62,809","19,693","530,181"
2009,"22,414","18,993","22,207","43,761","54,230","113,276","73,640","79,898","49,797","46,145","52,778","24,815","601,954"
2008,"29,979","3,086","20,525","44,458","46,110","61,636","75,738","50,591","45,233","31,593","52,563","25,387","486,899"
2007,"28,214","28,494","44,797","90,490","77,160","104,940","122,114","106,892","71,977","81,497","62,415","41,612","860,602"
2006,"28,131","28,707","42,960","91,044","73,882","90,039","119,763","74,930","72,049","81,196","60,568","39,886","803,155"
2005,"19,899","25,245","24,116","62,390","63,547","67,595","103,003","88,035","67,305","83,363","59,631","28,728","692,857"
2004,"19,883","33,414","24,998","30,996","78,493","91,435","111,403","82,722","72,845","86,284","59,058","28,685","720,216"
2003,"19,847","24,936","22,958","63,186","64,539","88,248","82,076","106,703","61,572","74,635","67,383","28,397","704,480"
2002,"19,652","23,664","24,133","41,139","62,687","73,384","99,550","90,058","69,982","39,415","58,969","7,704","610,337"
2001,"21,812","23,882","28,500","33,609","66,513","63,995","100,184","92,232","54,897","59,329","57,825","22,609","625,387"
2000,"12,391","12,638","9,492","39,343","42,151","58,962","69,875","70,038","51,493","33,697","33,931","12,137","446,148"
1999,"14,769","7,992","17,424","28,348","51,217","72,121","84,383","88,036","45,330","47,361","52,328","43,934","553,243"
1998,"6,910","7,389","9,650","27,416","27,438","42,740","53,647","59,231","40,656","33,361","37,455","11,550","357,443"
1997,"25,102","28,059","32,314","54,180","24,593","32,966","38,800","48,138","31,410","23,307","27,604","8,420","374,893"
1996,"13,291","7,539","8,840","32,026","34,483","36,887","45,964","54,143","44,935","31,840","46,416","23,006","379,370"
1995,"12,105","11,570","4,521","30,789","28,232","50,018","48,331","42,178","40,497","32,078","37,977","10,094","348,390"
1994,"3,524","4,496","2,758","20,464","26,675","32,843","40,772","30,641","31,861","26,257","34,674","2,975","257,940"
1993,"7,118","4,286","5,913","22,452","27,456","37,710","43,196","39,961","40,129","28,120","31,366","6,378","294,085"
1992,"9,217","8,118","11,598","41,638","25,654","33,842","37,409","53,983","46,846","29,238","31,510","6,228","335,281"
1991,"7,170","7,937","11,566","27,189","27,970","40,337","41,574","41,698","43,475","29,363","35,227","6,655","320,161"
1990,"5,755","5,903","7,707","18,811","24,794","36,725","50,068","39,865","36,360","25,782","20,447","10,857","283,074"
1989,"5,698","5,666","7,291","9,204","19,448","28,890","39,820","23,065","26,245","34,362","23,042","9,913","232,644"
1988,580,210,700,"3,305","7,648","15,606","17,294","14,718","9,561","14,349","11,741","4,732","100,444"
1987,675,575,525,"3,285","8,563","13,496","15,870","10,082","8,335","12,754","10,925","3,813","88,898"
1986,"1,600",500,700,"3,500","7,467","12,654","16,831","9,185","7,825","14,174","12,719","8,420","95,575"
1985,"1,525",400,620,"3,200","7,631","8,749","15,776","14,703","13,931","15,328","14,017","4,500","100,380"
1984,676,850,675,"2,734","6,001","10,522","9,090","9,134","8,997","19,092","15,039","3,469","86,279"
1983,920,585,693,"2,659","5,177","8,988","10,026","8,976","9,012","11,618","6,601","2,745","68,000"
1982,544,333,610,"2,239","4,258","8,266","10,543","9,018","8,150","10,775","4,726","3,191","62,653"
1981,560,320,503,"1,695","3,420","5,331","8,526","7,403","7,022","9,595","4,601","2,981","51,957"
1980,869,500,980,"2,104","3,687","8,684","11,138","10,273","7,882","11,435","6,102","1,305","64,959"
1979,960,275,132,"1,173","2,052","5,639","8,398","8,448","5,074","10,781","5,984","1,190","50,106"

