Name,Textbox3
Walnut Canyon NM,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"5,069","7,503",,,,,,,,,,,"12,572"
2015,"5,069","4,500","11,760","18,696","14,746","16,789","16,419","12,907","13,405","14,295","17,976","6,760","153,322"
2014,"6,531","7,088","18,540","16,805","13,318","7,390","15,290","12,413","11,968","12,755","7,376","5,756","135,230"
2013,"3,314","3,992","10,659","12,938","12,740","30,052","14,165","10,339","7,008","6,244","8,718","5,098","125,267"
2012,"3,036","4,536","12,674","5,878","13,935","15,137","14,478","4,582","12,191","13,492","6,427","4,382","110,748"
2011,"4,505","3,586","10,084","14,534","13,265","13,730","16,348","13,066","12,754","12,755","7,110","3,266","125,003"
2010,"2,720","3,202","9,280","14,036","14,467","17,898","15,473","12,594","12,560","12,897","7,081","4,344","126,552"
2009,"3,312","3,394","9,666","13,263","13,673","17,760","16,152","14,084","12,964","13,369","7,246","3,416","128,299"
2008,957,988,"10,045","14,231","13,651","10,706","10,431","9,969","9,012","12,352","6,211","3,280","101,833"
2007,"3,724","4,718","11,414","15,350","14,199","13,363","14,292","11,840","12,936","11,791","7,510","5,050","126,187"
2006,"6,136","5,184","9,424","16,550","15,375","9,561","13,041","10,708","10,206","13,188","7,500","3,947","120,820"
2005,"3,798","5,643","12,306","14,089","13,412","13,980","15,030","14,160","12,315","11,274","7,274","4,994","128,275"
2004,"5,397","5,706","12,202","8,166","14,114","15,235","16,985","9,276","14,105","13,435","7,358","4,952","126,931"
2003,"3,469","2,866","7,570","10,230","10,779","13,611","18,461","14,514","7,303","9,473","7,613","5,576","111,465"
2002,"3,352","4,097","10,245","11,054","12,978","14,593","15,761","11,440","8,568","7,379","4,607","2,888","106,962"
2001,"2,075","3,110","7,806","12,744","12,628","13,680","15,389","11,656","7,760","7,054","5,698","3,239","102,839"
2000,"3,142","3,961","7,237","11,682","13,058","15,022","17,711","13,072","9,248","9,815","4,955","3,746","112,649"
1999,"4,200","4,698","10,599","10,322","14,476","15,209","16,296","14,189","11,405","10,870","5,980","3,820","122,064"
1998,"3,530","2,585","7,357","12,580","13,957","15,709","15,222","14,095","11,270","9,586","5,187","4,264","115,342"
1997,"2,913","3,881","12,945","11,337","18,006","16,084","18,309","16,483","10,813","9,884","5,929","3,223","129,807"
1996,"3,458","6,628","11,486","18,374","16,293","19,382","20,314","17,445","17,445","12,099","5,282","5,081","153,287"
1995,"2,912","5,205","10,965","16,038","16,079","20,803","23,836","19,040","13,662","12,513","6,638","1,391","149,082"
1994,"4,533","4,032","12,903","17,525","19,122","18,412","24,096","21,069","15,680","14,061","5,947","4,915","162,295"
1993,"3,049","3,388","10,449","19,287","18,781","20,036","26,161","22,417","16,719","13,646","6,678","4,612","165,223"
1992,"3,285","4,026","8,764","17,032","15,575","19,460","24,726","24,511","16,298","14,256","6,678","3,376","157,987"
1991,"3,293","6,111","7,764","15,462","20,502","19,561","25,738","23,072","14,095","12,993","5,360","3,195","157,146"
1990,"2,943","3,341","8,315","16,428","15,789","16,552","20,009","18,564","11,543","11,212","6,612","3,121","134,429"
1989,"2,495","3,498","11,774","11,577","16,150","16,244","19,693","18,108","13,587","11,414","6,525","4,064","135,129"
1988,"2,231","3,559","8,489","10,109","13,460","15,194","21,241","18,669","11,767","10,524","4,708","2,514","122,465"
1987,"2,285","2,717","4,564","10,300","12,897","15,528","16,574","16,900","10,553","9,339","4,688","2,656","109,001"
1986,"3,314","2,856","7,191","8,230","13,444","16,908","19,302","18,399","9,046","9,303","4,580","3,181","115,754"
1985,"1,855","2,314","5,364","8,368","10,527","13,177","14,339","13,138","7,912","7,127","2,817","3,139","90,077"
1984,"2,368","3,051","6,286","8,101","10,849","14,573","14,598","13,664","8,477","6,229","3,463","1,969","93,628"
1983,"1,940","2,153","5,085","6,882","9,969","13,215","15,106","13,472","7,627","7,492","3,401","2,034","88,376"
1982,"1,035","2,058","3,681","7,639","9,657","12,603","15,419","13,328","8,446","7,929","3,137","1,585","86,517"
1981,"2,298","2,407","3,487","7,863","8,916","11,194","13,663","12,882","7,197","6,918","3,341","2,932","83,098"
1980,"1,174","1,507","3,361","6,274","7,660","11,465","12,955","12,577","6,797","5,729","3,328","3,060","75,887"
1979,937,"1,469","3,284","6,845","6,666","9,572","12,831","11,628","6,838","5,628","2,393","1,638","69,729"

