Name,Textbox3
Whiskeytown NRA,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"64,250",,,,,,,,,,,,"64,250"
2015,"34,279","38,209","47,210","56,464","96,411","154,830","162,401","94,435","73,094","55,710","15,393","15,409","843,845"
2014,"31,255","23,969","34,774","57,547","87,648","152,503","156,040","106,184","102,179","45,580","33,628","20,594","851,901"
2013,"35,401","36,516","42,880","48,520","71,223","133,024","147,109","103,543","74,272","26,033","32,995","24,509","776,025"
2012,"31,277","34,130","28,573","67,154","98,848","115,331","151,162","115,762","80,039","44,242","25,122","22,734","814,374"
2011,"22,357","23,752","25,766","46,304","56,834","113,724","172,753","123,880","84,322","41,521","23,759","26,738","761,710"
2010,"20,981","25,922","37,867","48,838","60,867","125,293","186,134","113,013","75,886","44,355","30,286","18,623","788,065"
2009,"29,488","21,975","31,926","56,660","104,403","130,751","209,733","88,849","83,611","47,658","26,490","22,268","853,812"
2008,"12,072","26,732","33,371","47,180","76,536","131,029","78,275","106,053","69,004","45,792","36,657","13,580","676,281"
2007,"24,042","28,550","39,211","53,188","92,844","121,890","141,901","138,360","47,680","43,279","31,806","19,263","782,014"
2006,"18,126","26,709","32,863","38,744","74,627","153,490","129,180","106,775","75,749","42,065","29,001","22,650","749,979"
2005,"21,248","22,836","41,760","41,397","66,523","100,039","167,151","138,153","50,335","41,049","29,874","19,910","740,275"
2004,"16,662","22,754","42,664","47,032","90,646","113,740","140,718","128,334","40,607","47,379","31,559","23,090","745,185"
2003,"16,936","23,842","26,928","50,440","119,098","114,184","119,222","106,773","75,700","49,147","35,877","12,804","750,951"
2002,"17,346","35,122","26,826","46,587","88,410","108,969","110,435","99,849","69,983","55,013","26,814","11,236","696,590"
2001,"20,942","22,430","32,279","51,820","64,909","85,534","109,546","123,967","82,370","49,489","37,296","14,436","695,018"
2000,"22,294","23,439","34,533","32,427","75,482","111,916","143,853","90,534","66,947","47,274","35,052","19,132","702,883"
1999,"22,727","22,235","30,991","44,850","68,046","107,772","114,176","118,879","81,186","47,656","36,372","21,636","716,526"
1998,"20,831","30,377","23,265","48,705","95,949","123,161","116,153","96,218","91,779","51,630","34,668","19,742","752,478"
1997,"44,124","39,228","53,158","44,951","63,130","97,795","110,208","97,927","61,952","38,959","30,336","15,667","697,435"
1996,"26,218","47,094","40,955","61,790","72,263","119,855","141,098","113,199","80,829","70,877","47,390","22,583","844,151"
1995,"32,714","18,752","53,788","63,618","105,654","125,033","138,552","142,504","99,270","63,477","51,000","20,108","914,470"
1994,"36,970","39,371","65,420","72,501","108,503","152,432","145,054","164,017","70,348","41,602","33,961","20,407","950,586"
1993,"17,255","19,483","22,492","26,384","37,786","58,323","53,456","38,212","67,651","38,683","40,781","25,674","446,180"
1992,"22,245","21,781","37,706","52,705","100,706","136,906","167,610","91,269","66,779","43,547","26,781","17,940","785,975"
1991,"64,485","71,803","68,307","60,217","128,695","212,891","374,843","228,973","113,445","72,026","99,480","41,908","1,537,073"
1990,"35,649","38,463","102,469","135,990","156,938","372,455","351,288","331,869","191,943","144,072","78,325","63,397","2,002,858"
1989,"39,314","37,890","67,010","122,609","190,557","247,336","259,799","261,279","137,915","95,778","55,213","36,083","1,550,783"
1988,"35,894","53,984","83,615","93,265","118,784","178,993","269,098","226,493","128,989","84,950","43,788","34,603","1,352,456"
1987,"49,191","52,298","77,628","126,685","173,937","233,909","283,361","503,569","89,708","68,598","46,057","37,310","1,742,251"
1986,"50,543","44,981","65,814","119,450","259,467","267,548","277,082","338,591","112,141","76,623","69,168","47,314","1,728,722"
1985,"27,421","32,709","25,974","100,000","131,658","227,616","212,047","239,038","96,390","74,045","45,152","34,383","1,246,433"
1984,"38,363","36,685","63,589","80,885","118,901","257,272","230,321","284,480","85,231","48,274","30,807","24,281","1,299,089"
1983,"33,961","30,770","42,053","44,707","96,059","271,894","223,920","153,804","90,104","48,813","25,920","20,527","1,082,532"
1982,"17,584","22,762","41,778","64,031","105,851","332,559","400,184","187,611","88,559","54,117","33,525","29,087","1,377,648"
1981,"24,732","31,420","54,757","65,982","120,225","193,899","253,740","259,951","90,694","50,307","40,293","31,135","1,217,135"
1980,"33,177","34,462","47,173","78,237","144,504","160,080","223,618","234,722","82,599","44,283","33,502","33,271","1,149,628"
1979,"31,089","28,146","54,961","96,104","172,367","203,423","215,799","158,670","82,694","58,445","30,731","29,961","1,162,390"

