Name,Textbox3
Lake Chelan NRA,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"1,112","1,438",,,,,,,,,,,"2,550"
2015,586,711,"1,031","2,071","4,578","4,672","6,505","2,821","4,174","2,412","1,274","1,351","32,186"
2014,"1,038",888,"1,035","1,655","3,907","4,364","6,613","7,255","4,381","2,242","1,039",943,"35,360"
2013,743,"1,013","1,163","1,519","3,309","4,730","7,511","7,612","5,913","1,777",980,"1,045","37,315"
2012,"1,363","1,340","1,445","2,050","3,592","4,425","7,630","8,230","5,512","2,948","1,086","1,209","40,830"
2011,"1,154","1,070","1,287","2,277","2,886","4,273","8,366","9,300","6,756","3,801","1,721",936,"43,827"
2010,250,290,469,927,"3,311","5,007","8,313","8,745","6,323","3,651","1,596",367,"39,249"
2009,157,287,294,868,"3,149","4,949","7,394","8,394","5,741","2,556",457,308,"34,554"
2008,501,362,622,832,"1,809","2,744","5,742","6,214","4,049","1,442",422,400,"25,139"
2007,381,429,680,"1,207","1,750","4,529","8,896","7,688","5,931","2,058",608,508,"34,665"
2006,484,551,851,"1,347","1,800","6,168","8,199","7,291","4,780","2,680",546,454,"35,151"
2005,496,736,"1,044","1,844","3,277","3,606","5,210","6,026","4,101","2,308",638,497,"29,783"
2004,527,902,"1,010","1,779","2,598","3,489","13,679","11,268","3,887","2,017",703,670,"42,529"
2003,566,976,825,"2,052","2,409","4,035","7,887","7,739","5,649","2,211",591,609,"35,549"
2002,704,"1,111","1,413","2,174","2,468","5,326","8,795","7,997","6,057","2,980",845,720,"40,590"
2001,603,759,"1,202","2,127","3,708","6,646","9,542","8,049","5,871","2,566",749,726,"42,548"
2000,824,"1,028","1,626","2,273","4,084","6,063","9,713","12,864","8,818","2,763",955,814,"51,825"
1999,765,653,"1,039","2,132","3,083","6,713","10,455","12,884","7,304","3,136","1,071",852,"50,087"
1998,"1,010",974,"1,293","1,993","3,274","5,848","10,321","9,274","6,334","3,554","1,145",759,"45,779"
1997,527,646,948,"1,815","2,483","3,961","6,997","7,925","3,993","2,947","1,086",972,"34,300"
1996,425,734,"1,017","1,723","3,006","4,855","8,827","7,614","5,140","2,401",678,471,"36,891"
1995,682,992,"1,117","2,078","3,770","5,796","10,589","9,249","6,708","2,639",826,603,"45,049"
1994,309,270,912,"1,605","5,091","6,109","10,975","5,063","4,060","2,641",772,736,"38,543"
1993,211,281,566,"1,572","4,970","6,444","8,223","11,934","9,224","2,637",606,503,"47,171"
1992,340,351,854,"1,118","4,704","5,785","7,609","10,524","8,282","3,304","1,165",410,"44,446"
1991,240,205,354,"1,025","2,820","6,550","13,400","19,070","10,377","2,768",748,519,"58,076"
1990,0,0,0,0,0,0,0,0,0,0,0,0,0

