Name,Textbox3
Saint Paul's Church NHS,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"1,370","2,130",,,,,,,,,,,"3,500"
2015,"1,190","2,175",945,"1,245","1,920","1,750","1,125",780,930,"2,790","1,175","1,155","17,180"
2014,"1,045","2,680",860,"1,240","1,878","1,070","1,095",720,725,"2,785","1,187","1,175","16,460"
2013,"1,125","2,742",697,"1,065","1,668",967,"1,010",615,825,745,"1,410","1,147","14,016"
2012,"1,434","1,891","1,111",967,"1,408","1,400","1,166",820,730,"2,888","1,088","1,285","16,188"
2011,968,"2,300",987,"1,308","1,081",710,939,710,939,"2,604","1,396",984,"14,926"
2010,"1,562","1,685","1,011",987,"1,460","1,455","1,050",715,855,"2,853","1,554","1,175","16,362"
2009,571,"2,220",890,920,"1,560","1,315","1,237",635,730,"2,907",575,872,"14,432"
2008,725,"2,170",895,"1,235","1,562","1,195",945,690,700,"2,768",753,900,"14,538"
2007,"1,165","1,622",655,915,"1,560","1,227","1,030","1,030",690,"2,730","1,420",865,"14,909"
2006,"1,096","2,480",652,918,"1,417","1,050",850,521,520,"2,625","1,145","1,157","14,431"
2005,"1,623","1,623",678,"1,011","1,216","1,080",891,679,743,"2,500","1,120",705,"13,869"
2004,742,"2,989",931,"1,114",909,880,880,598,468,"2,310","1,107","1,010","13,938"
2003,275,405,700,975,"1,117",960,955,511,490,"3,010",950,"1,125","11,473"
2002,907,"2,132",670,"1,520","1,310",950,"1,027",642,580,"2,880",855,"1,100","14,573"
2001,291,962,903,953,"1,634",795,821,737,593,"2,463",924,680,"11,756"
2000,628,303,512,804,921,851,925,735,332,"2,445",802,513,"9,771"
1999,198,192,169,510,247,377,901,741,421,"2,453",550,683,"7,442"
1998,101,180,376,515,486,681,636,367,308,"3,940",317,162,"8,069"
1997,47,144,263,510,806,792,752,447,605,714,571,381,"6,032"
1996,9,19,193,291,632,761,749,180,320,663,350,179,"4,346"
1995,9,35,566,171,476,623,781,288,315,697,370,164,"4,495"
1994,66,71,114,154,412,481,727,418,437,636,266,87,"3,869"
1993,74,137,309,204,401,451,192,258,90,653,397,175,"3,341"
1992,41,148,408,327,633,652,695,456,425,257,181,489,"4,712"
1991,74,136,278,294,507,391,"1,042",698,659,825,414,669,"5,987"

