Name,Textbox3
Niobrara NSR,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2015,768,509,"1,192","1,296","3,339","6,150","30,575","18,039","2,826","2,330",733,353,"68,110"
2014,761,445,785,"1,026","3,288","6,349","16,306","14,823","7,627","1,115",568,350,"53,443"
2013,568,343,676,859,"2,296","14,922","22,740","24,158","3,069","1,135",482,628,"71,876"
2012,775,423,"1,067",981,"1,892","11,539","23,477","21,323","2,254","1,210",706,352,"65,999"
2011,618,375,732,834,"1,892","10,221","24,232","18,097","5,553","1,739",872,620,"65,785"
2010,741,372,749,"1,146","2,923","10,183","26,134","20,233","4,464","1,670",714,376,"69,705"
2009,663,369,443,779,"2,921","13,464","23,128","20,324","3,641","1,097",930,299,"68,058"
2008,689,699,"1,936","1,251","2,538","11,279","23,030","21,098","4,881","1,517",678,674,"70,270"
2007,547,188,672,996,"2,623","12,962","27,325","26,484","5,159","1,611",959,416,"79,942"
2006,684,587,624,"1,326","3,712","9,916","22,369","15,992","2,437","1,586",834,330,"60,397"
2005,341,214,338,424,"2,430","10,105","19,344","22,304","1,406",815,598,431,"58,750"
2004,425,205,332,438,"1,290","10,923","20,520","16,817","1,826",493,637,479,"54,385"

