Name,Textbox3
Oregon Caves NM,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,921,"1,234",,,,,,,,,,,"2,155"
2015,859,872,"4,470","4,190","7,855","11,576","12,735","13,681","8,948","5,371",929,"1,223","72,709"
2014,945,"1,013","1,475","1,975","12,438","11,093","12,149","13,096","9,182","5,499",310,230,"69,405"
2013,972,972,"3,648","5,140","11,728","10,627","12,026","11,578","9,120","6,218",410,278,"72,717"
2012,972,972,"3,652","3,538","9,642","11,856","15,373","14,955","9,275","6,123",442,"1,364","78,164"
2011,702,702,"4,275","3,275","7,855","11,489","16,654","14,479","9,032","5,297","1,087","1,347","76,194"
2010,702,702,"6,740","3,350","8,753","12,826","17,804","16,607","9,876","5,772","2,374",829,"86,335"
2009,702,702,"5,688","4,583","9,128","13,138","17,278","15,145","10,257","6,588","4,428",859,"88,496"
2008,702,702,"4,920","2,975","7,375","11,467","14,621","14,229","7,974","5,268","2,704",837,"73,774"
2007,705,702,"4,355","5,953","7,960","10,669","13,722","14,608","9,350","5,570","2,616",756,"76,966"
2006,"1,509",972,"4,255","5,440","7,528","10,849","15,645","14,864","8,122","6,441","2,446",829,"78,900"
2005,"1,393","1,064","3,443","4,998","7,708","11,310","15,216","15,783","8,515","7,246","5,758","1,377","83,811"
2004,572,"1,118","3,208","5,060","9,068","11,537","15,535","17,665","9,185","5,863","3,478","1,412","83,701"
2003,859,913,"3,323","4,530","8,070","13,043","19,069","20,599","9,979","6,810","4,566","2,984","94,745"
2002,956,"1,134","3,763","4,433","8,105","13,196","17,873","13,830","8,667","6,241","4,591","1,731","84,520"
2001,689,551,"4,475","4,765","8,278","12,446","17,381","18,130","8,262","5,556","4,663","1,979","87,175"
2000,672,716,"4,048","4,468","8,293","11,578","20,632","21,101","9,480","5,244","1,570","1,428","89,230"
1999,"1,134","1,067","3,158","3,905","7,498","12,999","18,274","21,642","10,358","5,992","4,128",974,"91,129"
1998,355,297,"3,155","4,160","7,583","11,869","18,571","21,423","9,954","5,148","2,681","1,280","86,476"
1997,108,108,100,"3,338","8,175","13,524","16,799","23,310","9,182","5,354","3,352","1,150","84,500"
1996,"2,006","2,330","4,588","5,820","8,568","12,815","20,698","22,672","10,078","5,453","3,233",122,"98,383"
1995,"1,229",427,"3,540","5,113","8,303","13,608","20,663","22,577","13,333","7,618","4,659","1,986","103,056"
1994,"2,022","2,081","4,563","5,195","8,200","12,884","18,967","20,950","10,636","4,837","6,055",896,"97,286"
1993,494,694,"2,763","3,590","7,410","14,142","22,056","23,387","10,866","5,574","3,776","2,471","97,223"
1992,961,950,"3,513","3,810","5,923","12,118","21,041","23,512","8,512","3,500","1,752",505,"86,097"
1991,970,"1,340","2,564","2,988","6,010","11,230","24,029","30,570","10,381","4,890","2,330","1,759","99,061"
1990,962,701,"3,251","5,010","6,520","13,580","24,839","28,710","9,350","3,325","2,170",740,"99,158"
1989,695,746,"3,289","3,014","6,917","11,680","28,259","30,282","11,822","3,098","1,948","1,575","103,325"
1988,782,"1,433","4,493","4,001","7,332","14,675","29,685","34,841","12,549","4,610","1,887",780,"117,068"
1987,854,"1,056","3,363","4,629","8,121","15,629","24,603","26,143","12,023","3,722","1,849",952,"102,944"
1986,875,764,"3,462","2,409","7,085","14,917","24,852","28,111","12,928","3,357","1,862","1,211","101,833"
1985,780,837,"2,386","2,894","6,491","13,941","23,226","25,790","12,312","3,177","1,223",936,"93,993"
1984,624,"1,035","2,820","3,254","6,672","22,112","31,268","30,300","15,532","3,002","1,089",875,"118,583"
1983,860,990,"2,760","2,327","6,056","15,352","31,662","33,213","15,162","3,808","1,307",663,"114,160"
1982,488,972,"2,625","1,736","7,020","16,332","31,348","33,380","15,631","3,368","1,432",713,"115,045"
1981,"1,458","1,242","3,627","4,649","8,223","17,865","33,738","37,190","18,224","6,428","1,682","1,169","135,495"
1980,720,"1,140","3,032","3,520","7,358","16,704","30,660","39,473","15,850","6,548","2,435","1,650","129,090"
1979,"1,158","1,142","4,617","4,815","6,806","17,447","29,432","37,324","18,016","6,732","1,960","1,284","130,733"

