Name,Textbox3
Wupatki NM,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"5,317","8,160",,,,,,,,,,,"13,477"
2015,"5,393","6,007","17,143","21,316","19,708","27,666","29,016","26,314","26,127","17,304","9,668","7,166","212,828"
2014,"5,613","6,400","14,825","18,528","17,525","25,514","26,556","25,090","24,482","15,671","9,208","6,550","195,962"
2013,"4,848","5,351","16,904","17,507","19,508","26,723","27,723","25,104","25,236","5,708","9,749","6,517","190,878"
2012,"5,469","6,524","15,382","20,198","19,025","26,723","26,904","24,672","25,101","16,801","9,160","5,406","201,365"
2011,"5,623","5,386","16,736","22,873","21,930","28,241","28,729","26,916","26,566","17,626","9,176","6,363","216,165"
2010,"4,496","5,945","17,686","21,196","24,526","27,782","30,264","27,652","26,677","17,433","11,718","5,708","221,083"
2009,"6,527","6,823","18,257","23,206","23,878","29,282","30,206","27,551","27,314","21,180","12,635","6,425","233,284"
2008,"5,526","7,246","23,326","23,266","24,628","29,323","29,394","28,955","27,126","22,203","12,157","6,007","239,157"
2007,"5,533","7,884","20,499","29,253","23,434","28,332","30,757","27,022","26,483","19,482","12,939","7,985","239,603"
2006,"6,706","8,346","15,331","28,646","25,653","26,525","30,124","26,724","26,075","20,770","13,569","7,980","236,449"
2005,"4,031","3,721","10,855","18,388","26,323","32,243","31,797","28,717","24,609","16,451","13,252","9,093","219,480"
2004,"5,800","6,740","19,140","26,817","27,804","31,013","31,286","30,018","27,367","23,576","11,368","7,042","247,971"
2003,"7,831","8,240","20,193","30,539","30,626","31,621","32,204","30,419","28,691","25,094","12,792","7,909","266,159"
2002,"6,241","8,753","18,567","24,248","27,742","30,979","27,383","27,783","26,211","19,013","11,301","8,173","236,394"
2001,"5,022","8,058","17,346","26,307","26,916","31,992","31,298","28,954","25,907","18,671","12,244","6,761","239,476"
2000,"6,888","8,601","15,825","27,670","23,889","30,977","31,364","29,550","27,568","22,659","9,450","8,829","243,270"
1999,"7,677","8,829","18,351","18,710","22,390","30,781","33,194","32,060","28,223","21,973","13,808","9,229","245,225"
1998,"5,922","5,094","13,316","17,362","21,157","27,757","29,025","28,448","26,062","23,862","10,782","8,679","217,466"
1997,"5,172","8,005","21,334","18,799","26,566","29,603","31,629","30,701","26,636","18,082","11,014","6,041","233,582"
1996,"5,303","10,204","19,280","23,218","24,027","32,110","30,868","29,497","27,911","18,061","9,864","8,546","238,889"
1995,"5,413","9,413","21,164","30,044","28,616","32,421","36,213","32,968","30,321","23,438","11,782",882,"262,675"
1994,"6,356","7,074","20,681","25,483","28,469","32,138","36,164","33,576","30,223","24,370","11,223","8,990","264,747"
1993,"6,188","6,655","17,054","30,580","30,348","32,251","35,343","34,983","30,330","20,331","10,719","7,987","262,769"
1992,"5,902","7,282","15,243","24,874","30,368","30,989","37,544","37,343","39,874","22,785","9,325","5,561","267,090"
1991,"5,757","7,545","12,936","22,348","28,340","30,989","25,549","35,813","28,616","20,708","9,033","6,488","234,122"
1990,"6,039","7,201","16,120","24,490","24,856","28,674","31,043","37,627","32,159","23,343","12,186","6,216","249,954"
1989,"5,428","7,177","19,301","21,511","28,185","30,434","34,099","32,011","27,202","20,215","12,769","7,616","245,948"
1988,"7,790","7,452","17,295","19,539","26,034","30,078","36,338","33,768","28,674","20,544","10,264","5,890","243,666"
1987,"4,777","6,135","10,311","19,632","23,002","27,850","29,858","29,668","24,916","18,219","9,681","4,904","208,953"
1986,"9,461","8,035","13,693","15,677","27,602","25,945","29,722","25,124","19,944","14,710","9,045","8,993","207,951"
1985,"3,038","5,732","6,702","20,927","23,104","27,360","30,438","21,942","22,928","14,263","6,867","8,649","191,950"
1984,"6,454","9,461","16,157","20,026","21,263","30,215","29,671","25,157","21,346","13,408","10,345","4,390","207,893"
1983,"3,618","7,738","10,069","13,525","19,263","29,880","30,323","27,976","20,221","13,618","8,516","6,191","190,938"
1982,"2,065","4,972","9,805","15,144","20,714","25,186","27,144","28,123","18,961","13,795","9,845","7,912","183,666"
1981,"5,645","7,040","14,319","14,923","20,484","22,162","25,953","25,502","19,390","12,288","8,745","6,997","183,448"
1980,"3,277","5,642","15,289","11,775","14,205","20,476","20,880","26,143","17,413","11,941","8,155","6,650","161,846"
1979,"2,952","6,703","13,845","25,148","16,297","29,560","26,432","18,170","21,967","10,133","10,199","5,469","186,875"

