Name,Textbox3
Pea Ridge NMP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"3,234",,,,,,,,,,,,"3,234"
2015,"2,045","1,770","8,800","7,864","8,578","12,695","17,676","10,913","11,670","9,696","10,219","12,652","114,578"
2014,"1,980","1,877","8,176","8,015","11,532","16,706","14,876","11,471","10,263","9,383","6,219","4,188","104,686"
2013,"5,663","3,177","7,506","5,909","11,348","12,558","14,486","11,294","10,658","6,447","5,048","1,157","95,251"
2012,"4,818","4,713","35,389","15,197","13,238","11,259","12,396","12,639","8,480","7,449","4,548","1,781","131,907"
2011,"5,742","5,650","15,285","13,849","16,509","4,540","6,180","14,422","10,149","10,247","5,678","5,983","114,234"
2010,"1,195","1,349","10,971","5,373","14,828","15,300","14,145","9,908","6,001","16,930","13,485","5,643","115,128"
2009,"2,051","2,574","6,107","4,733","8,404","7,152","9,424","6,872","6,883","7,100","5,642","1,804","68,746"
2008,"2,315","2,057","6,368","5,740","9,085","7,859","9,040","5,777","5,690","7,746","4,572","2,215","68,464"
2007,"1,741","2,134","7,944","5,916","8,418","7,456","8,233","5,299","5,868","8,299","5,354","2,178","68,840"
2006,"2,878","1,903","7,524","4,832","7,314","6,354","9,834","5,824","5,393","7,507","4,356","2,458","66,177"
2005,"1,897","2,377","6,564","5,293","7,240","6,527","8,347","5,587","4,526","9,292","5,008","2,899","65,557"
2004,"2,353","2,742","6,041","4,860","7,170","6,659","7,192","5,764","5,634","6,808","4,034","2,192","61,449"
2003,"2,502","2,292","6,599","4,896","7,685","8,209","9,221","7,384","5,382","8,306","5,254","2,948","70,678"
2002,"2,642","3,275","7,060","6,395","9,914","10,786","11,255","7,600","6,896","7,550","5,465","2,977","81,815"
2001,"1,042","2,268","6,948","6,108","8,335","10,588","10,776","6,341","6,508","10,142","5,346","3,181","77,583"
2000,"2,208","3,114","8,008","7,542","9,739","8,899","9,469","5,932","5,638","10,968","3,995",983,"76,495"
1999,"2,988","4,994","8,674","8,528","10,463","10,085","11,513","8,142","7,508","11,903","7,398","3,214","95,410"
1998,"2,350","3,753","7,174","6,505","9,412","8,844","9,920","7,996","5,514","8,482","6,489","3,561","80,000"
1997,"1,622","3,107","6,847","5,155","8,279","9,043","9,449","8,080","4,930","7,597","5,094","2,813","72,016"
1996,"2,125","3,486","7,553","8,080","11,540","10,024","11,515","10,109","6,896","10,475","4,444","4,592","90,839"
1995,"1,546","3,100","7,354","11,148","23,855","9,500","12,259","11,406","10,642","11,670","3,232",801,"106,513"
1994,"1,552","2,864","13,325","7,740","9,848","9,890","11,641","8,670","7,439","10,070","4,262","3,106","90,407"
1993,"2,005","2,500","11,172","8,098","10,829","10,849","11,176","8,237","7,139","10,985","3,648","3,050","89,688"
1992,"3,339","4,607","14,080","9,193","13,385","13,907","15,570","10,191","9,751","14,432","3,845","1,462","113,762"
1991,"1,364","3,125","8,724","6,632","9,298","13,809","16,481","16,476","8,680","12,030","3,511","2,904","103,034"
1990,"2,496","3,642","7,041","10,377","11,380","12,383","17,155","13,992","10,975","12,265","6,714","1,552","109,972"
1989,"1,981","1,694","5,295","6,416","9,914","15,025","17,148","14,465","9,924","14,762","5,753","2,235","104,612"
1988,"2,977","3,952","6,910","8,568","12,110","13,166","15,125","12,481","9,769","15,822","5,064","2,131","108,075"
1987,"1,997","2,780","7,333","6,324","9,929","14,009","15,563","13,234","8,370","12,612","4,375","2,162","98,688"
1986,"3,038","3,065","9,666","8,776","13,726","16,368","21,218","20,774","10,348","15,303","5,914","2,965","131,161"
1985,"1,526","1,903","7,529","9,732","11,903","16,613","19,136","17,488","10,463","14,743","5,167","2,410","118,613"
1984,"1,882","2,760","5,866","8,809","13,609","17,791","18,743","18,442","12,290","14,321","6,492","3,277","124,282"
1983,"2,713","2,191","5,467","7,285","13,016","15,601","20,146","16,682","10,771","13,984","5,166",908,"113,930"
1982,"1,114","2,256","5,095","7,849","11,925","11,750","18,494","13,465","12,003","12,740","5,458","3,147","105,296"
1981,"2,185","2,143","4,713","7,900","11,659","13,226","17,959","15,741","10,386","12,644","4,881","1,680","105,117"
1980,"1,239","1,213","3,934","7,177","9,762","14,753","15,925","16,094","7,348","10,788","4,427","2,027","94,687"
1979,686,"2,132","6,853","7,112","10,640","12,136","14,210","15,524","8,072","10,724","3,830","2,278","94,197"

