Name,Textbox3
Independence NHP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"120,925",,,,,,,,,,,,"120,925"
2015,"159,558","152,773","242,055","342,524","453,750","408,592","672,827","543,783","417,251","433,224","263,529","221,716","4,311,582"
2014,"155,249","131,120","235,535","370,926","408,152","390,588","487,660","427,221","301,362","307,144","231,803","201,290","3,648,050"
2013,"177,960","163,938","292,399","335,570","428,626","396,616","454,255","375,255","313,592","166,039","243,815","205,005","3,553,070"
2012,"145,751","155,835","262,348","354,770","403,140","375,601","436,318","410,267","317,686","300,316","230,966","201,551","3,594,549"
2011,"130,068","141,112","251,740","329,176","419,799","438,192","477,846","378,450","302,112","283,753","233,192","187,330","3,572,770"
2010,"136,311","116,176","237,129","371,140","443,830","408,864","536,506","458,729","309,983","321,715","243,884","166,740","3,751,007"
2009,"126,280","138,556","243,412","399,684","460,296","423,665","566,826","451,828","325,403","358,589","285,291","187,864","3,967,694"
2008,"158,658","140,887","278,013","373,888","479,662","492,493","506,908","453,215","330,554","373,733","289,654","198,973","4,076,638"
2007,"119,221","108,643","239,284","365,622","419,940","434,054","511,362","411,305","316,431","337,940","260,595","181,141","3,705,538"
2006,"130,056","118,871","239,797","373,641","394,962","372,269","468,027","389,572","308,470","304,573","230,614","201,393","3,532,245"
2005,"132,085","154,572","329,584","392,277","488,013","467,288","565,884","359,677","283,985","306,777","255,614","215,317","3,951,073"
2004,"87,037","115,742","255,261","440,237","511,403","484,936","565,080","437,479","312,397","371,882","264,349","242,115","4,087,918"
2003,"98,314","84,171","192,420","252,472","292,481","290,759","336,196","303,159","213,882","258,033","230,309","160,081","2,712,277"
2002,"108,868","128,340","241,736","267,572","291,810","278,282","469,943","319,278","224,416","287,219","200,023","154,617","2,972,104"
2001,"114,709","120,577","224,834","280,081","344,872","304,904","364,132","298,939","194,906","214,058","185,487","165,548","2,813,047"
2000,"113,212","122,924","234,260","374,857","402,083","351,909","345,657","296,872","254,990","308,627","218,973","154,793","3,179,157"
1999,"110,423","129,679","213,697","316,576","358,464","329,006","362,463","327,161","226,672","291,103","227,314","174,629","3,067,187"
1998,"111,084","120,950","197,111","319,806","364,963","275,173","326,745","291,897","277,205","313,691","231,201","167,301","2,997,127"
1997,"108,780","114,446","203,082","310,059","408,442","331,199","432,634","345,179","235,551","270,661","214,320","180,842","3,155,195"
1996,"69,577","93,518","192,358","287,526","373,153","391,720","411,981","360,526","272,280","303,370","216,685","155,334","3,128,028"
1995,"122,829","121,103","209,907","284,640","398,117","342,663","392,051","325,681","272,112","299,418","193,695","92,602","3,054,818"
1994,"66,958","84,356","194,991","306,934","386,068","345,168","398,772","376,229","282,401","303,438","225,552","167,409","3,138,276"
1993,"91,590","90,688","156,288","277,826","413,704","338,406","465,803","354,361","273,228","324,790","224,771","156,862","3,168,317"
1992,"90,163","110,092","174,609","258,479","425,257","362,668","437,184","432,862","267,586","319,321","204,208","155,087","3,237,516"
1991,"75,987","82,702","168,508","235,377","432,201","416,416","453,568","375,437","251,512","312,267","215,826","180,576","3,200,377"
1990,"89,291","118,732","165,735","265,118","374,907","349,072","470,182","443,814","298,017","476,103","165,491","130,701","3,347,163"
1989,"144,763","168,933","319,487","454,926","632,258","607,740","744,359","636,420","424,239","506,865","328,648","206,044","5,174,682"
1988,"158,612","185,333","340,849","498,479","619,834","601,502","738,173","661,303","437,638","503,072","358,477","259,621","5,362,893"
1987,"135,876","175,519","304,719","473,203","947,496","773,627","1,085,998","1,003,972","829,646","806,152","492,060","271,855","7,300,123"
1986,"134,047","135,052","323,591","404,079","603,344","548,585","669,433","647,206","407,506","495,028","350,055","246,392","4,964,318"
1985,"110,253","154,222","285,659","426,385","577,388","563,973","803,858","613,031","367,147","442,593","313,718","209,172","4,867,399"
1984,"118,729","165,702","224,152","425,675","554,788","575,586","707,042","634,591","409,920","474,472","314,728","221,885","4,827,270"
1983,"107,071","137,165","233,234","374,993","572,761","561,309","739,201","640,423","419,572","465,572","328,365","188,223","4,767,889"
1982,"86,032","118,463","204,252","345,981","540,077","583,130","639,469","592,450","352,845","405,107","272,120","178,575","4,318,501"
1981,"27,314","32,944","86,258","131,766","353,222","172,177","209,825","139,852","135,735","140,674","93,519","44,585","1,567,871"
1980,"34,736","31,865","62,064","197,987","240,826","152,993","750,439","140,566","160,107","139,435","76,521","45,669","2,033,208"
1979,"26,513","23,750","68,224","482,723","259,659","201,063","288,906","317,368","120,484","97,676","65,125","50,842","2,002,333"

