Name,Textbox3
Jewel Cave NM,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,142,226,,,,,,,,,,,368
2015,75,122,"1,108","2,026","5,852","22,545","35,139","34,339","11,287","3,019",732,200,"116,444"
2014,140,151,845,"1,365","5,846","22,719","34,208","22,498","11,670","3,935",891,80,"104,348"
2013,194,348,"1,755","1,333","5,438","22,252","33,733","21,274","11,034",550,267,81,"98,259"
2012,386,416,"2,341","2,755","6,194","22,600","37,590","21,535","11,156","2,842","1,004",481,"109,300"
2011,221,186,"1,472","2,668","5,576","19,789","18,305","17,528","7,107","2,939",800,555,"77,146"
2010,227,306,"1,671","2,431","5,402","19,783","36,485","23,492","10,124","2,812",480,249,"103,462"
2009,308,338,"1,401","1,890","5,380","27,909","51,947","24,696","11,617","2,912",872,325,"129,595"
2008,250,332,"1,950","1,828","5,486","22,146","39,965","18,069","6,419","2,985",697,354,"100,481"
2007,348,234,"1,724","2,273","5,875","19,802","36,108","23,222","11,215","3,182",999,339,"105,321"
2006,318,305,"1,270","2,245","6,981","18,334","34,987","22,341","6,516","2,750",787,561,"97,395"
2005,221,467,"1,792","1,738","5,483","21,354","36,987","24,842","5,366","2,819",908,341,"102,318"
2004,311,278,"1,504","2,028","6,565","21,803","34,068","25,611","11,962","3,453",940,425,"108,948"
2003,322,279,"1,317","2,177","8,432","25,118","40,400","33,185","10,826","3,371",599,337,"126,363"
2002,412,394,"1,495","1,922","7,874","26,444","44,246","30,308","13,716","2,888",958,558,"131,215"
2001,342,371,"1,276","2,039","8,085","28,754","36,453","30,110","13,226","2,734","1,505",435,"125,330"
2000,304,376,"1,672","2,302","6,857","27,171","44,215","27,691","13,435","3,670",866,401,"128,960"
1999,169,448,"2,084","2,399","7,504","24,336","43,030","35,775","14,817","2,892",963,417,"134,834"
1998,252,301,886,"1,740","5,278","24,621","44,414","35,022","13,860","3,524",684,476,"131,058"
1997,152,240,"1,050",984,"6,376","24,715","43,879","35,884","16,728","2,194",515,398,"133,115"
1996,144,272,763,"1,719","6,233","24,533","46,388","44,832","16,488","2,587",523,152,"144,634"
1995,328,383,"1,190","1,726","7,949","28,536","48,929","44,355","17,369","3,130",649,144,"154,688"
1994,70,38,426,978,"5,087","28,458","51,826","42,543","15,077","2,781",614,474,"148,372"
1993,64,47,437,"1,361","6,225","25,898","41,992","42,147","11,198","2,301",406,201,"132,277"
1992,450,682,"1,437","1,765","9,582","33,334","49,214","44,060","11,198","2,508",463,89,"154,782"
1991,143,292,"1,101","1,266","10,970","30,457","48,461","44,552","11,245","2,399",677,766,"152,329"
1990,181,213,766,"1,342","9,317","30,251","43,741","38,033","11,059","1,734",497,182,"137,316"
1989,193,89,815,"1,192","10,221","26,009","40,158","37,907","10,851","2,658",644,213,"130,950"
1988,117,169,471,"1,315","11,278","30,002","39,581","32,383","9,095","1,670",329,225,"126,635"
1987,73,105,143,"1,242","7,204","29,717","44,915","42,202","13,737","1,663",516,232,"141,749"
1986,31,9,0,244,"10,421","25,808","41,257","40,923","14,533",996,282,263,"134,767"
1985,54,20,133,316,"6,180","30,206","40,694","37,112","12,183","1,319",234,199,"128,650"
1984,103,68,89,439,"4,089","24,327","33,907","30,153","7,103","1,105",157,38,"101,578"
1983,16,15,179,419,"3,446","19,548","31,392","26,287","6,469","1,391",193,57,"89,412"
1982,32,131,154,627,"3,332","20,204","30,185","25,840","6,449",353,77,33,"87,417"
1981,206,140,426,"1,477","5,735","23,861","33,221","30,420","8,171","1,399",339,53,"105,448"
1980,66,74,309,989,"4,476","15,876","30,113","30,657","5,773","1,489",308,68,"90,198"
1979,113,46,304,675,"4,476","12,942","25,543","24,723","6,048","1,679",277,95,"76,921"

