Name,Textbox3
Craters of the Moon NM,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2015,"2,414","4,200","10,137","11,069","26,736","39,487","49,410","43,763","36,255","17,369","3,773","2,213","246,826"
2014,"2,895","3,234","6,088","9,735","21,599","36,121","40,790","39,221","31,196","16,761","4,873","2,480","214,993"
2013,"2,215","3,293","5,571","7,393","21,273","36,290","43,503","37,543","28,510","9,444","4,340","1,150","200,525"
2012,"2,266","2,871","4,889","9,105","19,547","33,629","42,151","35,374","27,952","13,690","4,087","1,968","197,529"
2011,"2,356","2,201","3,596","6,603","18,594","32,345","45,450","38,428","30,560","13,002","2,939","2,471","198,545"
2010,"2,362","2,862","4,734","6,857","18,039","34,348","48,529","44,715","34,800","16,031",375,"2,046","215,698"
2009,"3,546","2,570","3,698","9,021","19,439","31,169","39,870","36,875","30,148","11,882","3,819","2,009","194,046"
2008,"2,144","2,630","3,691","6,932","17,548","26,466","45,660","57,551","40,567","11,395","11,036","1,559","227,179"
2007,"3,692","2,639","5,214","7,817","17,290","27,921","45,617","56,950","36,687","11,394","4,839","1,612","221,672"
2006,"1,788","2,271","3,242","6,191","16,151","21,232","32,749","47,429","29,344","10,525","3,881","2,195","176,998"
2005,"2,691","2,908","5,462","7,490","18,058","31,589","40,376","54,932","23,240","11,503","3,490","1,593","203,332"
2004,"1,628","2,430","5,766","9,202","18,916","30,954","38,473","31,982","22,819","14,041","4,504","2,396","183,111"
2003,"2,449","2,399","5,726","7,192","18,018","26,874","38,618","33,943","23,798","13,061","4,681","2,065","178,824"
2002,"1,897","1,141","4,495","6,181","20,968","30,346","37,447","36,173","25,833","13,103","3,565","2,424","183,573"
2001,"2,368","1,290","5,726","7,660","21,338","30,394","40,769","33,133","24,808","13,161","4,991",161,"185,799"
2000,"1,431","1,719","5,065","9,131","20,574","59,573","39,358","29,013","26,271","14,262","3,475","1,770","211,642"
1999,"2,691","2,040","6,495","6,900","21,926","35,507","46,843","42,100","29,442","13,848","5,860","1,915","215,567"
1998,"1,965","3,019","5,177","9,094","23,450","47,070","31,506","23,330","30,708","12,230","3,629","2,126","193,304"
1997,"1,634","3,277","5,752","11,921","22,482","39,134","44,773","42,249","26,805","13,376","4,079","2,554","218,036"
1996,"1,299","3,957","6,118","10,748","21,959","40,976","43,096","43,652","27,663","13,126","3,430","1,562","217,586"
1995,"1,711","3,580","7,266","10,881","23,915","43,229","49,684","45,077","33,046","14,948","2,345",326,"236,008"
1994,"1,528","2,123","7,718","11,354","24,856","37,023","51,010","42,566","31,302","15,092","2,194","1,152","227,918"
1993,"1,354","2,095","3,901","11,602","21,426","39,899","52,253","49,847","34,184","16,528","4,295","1,124","238,508"
1992,"1,727","4,724","8,142","12,077","20,015","44,501","57,351","44,567","32,236","13,988","3,656","1,822","244,806"
1991,"2,561","2,651","1,482","3,816","17,304","41,633","56,150","51,730","24,732","9,040","3,286","3,494","217,879"
1990,"2,790","2,110","3,322","10,304","18,119","37,051","48,706","40,362","29,015","10,483","3,389","2,115","207,766"
1989,"3,095","1,060","2,072","2,540","16,782","37,390","45,920","37,729","28,875","9,284","3,112","1,458","189,317"
1988,"3,906","3,240","8,135","9,660","14,270","37,885","46,329","42,315","28,472","11,627","3,380","7,803","217,022"
1987,"3,293","3,108","4,561","8,885","24,209","30,345","45,105","43,942","24,041","9,982","2,877","2,452","202,800"
1986,"1,519","2,401","3,962","5,172","12,044","32,632","48,119","35,656","22,160","9,005","2,478","3,184","178,332"
1985,"1,123","2,386","3,792","4,596","10,503","31,990","44,679","39,711","21,320","8,470","2,849","1,084","172,503"
1984,819,"2,233","3,929","4,935","17,942","31,742","58,590","56,528","28,378","10,006","4,410","1,289","220,801"
1983,"1,094","1,467","4,665","5,796","18,498","36,712","65,100","67,482","42,168","23,104","6,510","1,097","273,693"
1982,"1,401","3,486","4,926","10,879","14,686","38,724","63,612","79,996","43,543","22,981","8,942","1,211","294,387"
1981,"1,732","2,550","5,718","10,518","17,062","40,628","50,099","56,338","32,182","10,281","7,692","1,725","236,525"
1980,988,"2,892","6,729","8,417","11,352","29,182","35,161","29,327","20,871","9,810","4,323","3,402","162,454"
1979,"1,230","5,664","8,972","9,538","14,367","27,948","59,188","49,005","26,236","11,554","5,720","1,276","220,698"

