Name,Textbox3
Johnstown Flood NMEM,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"1,020",,,,,,,,,,,,"1,020"
2015,910,"2,327","5,430","12,096","16,282","12,704","28,602","29,307","18,884","22,269","9,026","5,594","163,431"
2014,"1,020","2,623","4,486","13,936","18,155","13,448","17,608","21,520","12,836","20,583","8,198","6,941","141,354"
2013,"1,202","3,454","4,864","15,987","9,341","10,457","12,349","16,867","13,431","15,755","10,278","7,938","121,923"
2012,"1,205","3,293","5,243","14,531","7,572","11,824","12,959","17,569","11,054","21,957","8,881","6,993","123,081"
2011,521,"2,491","4,077","10,353","4,929","7,908","8,173","16,759","11,823","23,418","7,917","7,537","105,906"
2010,660,"1,154","4,554","9,235","5,669","5,863","9,073","17,756","14,957","18,104","7,438","6,336","100,799"
2009,"1,718","2,957","3,780","12,967","21,268","9,597","21,915","12,644","11,359","9,338","5,722","1,085","114,350"
2008,"2,117","2,938","4,450","7,646","21,512","26,499","14,709","13,606","15,083","12,031","12,679","2,038","135,308"
2007,"2,102","2,362","5,940","7,886","24,348","22,327","17,400","18,082","9,616","9,046","5,731","1,226","126,066"
2006,"2,066","4,822","5,940","6,602","24,093","13,215","12,470","18,055","9,590","9,074","3,852","2,460","112,239"
2005,"1,831","4,776","4,870","10,358","16,588","20,787","10,962","18,053","9,254","8,750","3,370","2,388","111,987"
2004,"4,330","4,944","5,239","8,570","16,107","12,618","17,194","18,345","9,358","13,145","2,801","2,369","115,020"
2003,"4,310","4,685","4,682","7,517","14,822","11,878","14,619","17,470","9,204","7,690","5,798","2,686","105,361"
2002,"4,337","4,890","4,755","9,265","23,617","14,719","18,697","14,507","13,353","18,804","6,450","2,741","136,135"
2001,"4,826","5,273","5,124","10,841","22,437","13,564","14,015","14,578","10,490","8,797","6,220","3,297","119,462"
2000,"6,986","5,793","7,895","8,947","20,295","13,001","14,508","10,485","4,245","15,720","12,017","2,431","122,323"
1999,"6,423","5,839","6,549","9,961","13,484","10,653","11,099","13,826","14,124","13,045","11,717","4,181","120,901"
1998,"4,898","5,184","6,325","9,117","15,624","11,339","15,737","16,532","17,005","14,897","11,602","8,322","136,582"
1997,"4,793","4,592","5,960","7,588","11,680","13,557","17,141","17,445","15,587","14,746","12,366","5,770","131,225"
1996,"2,896","4,221","5,863","8,772","16,175","17,435","21,545","20,617","15,842","14,149","9,221","4,380","141,116"
1995,"4,558","3,970","6,423","8,732","15,703","16,833","22,685","17,417","15,098","13,479","6,730","1,812","133,440"
1994,"3,233","2,943","6,694","9,167","11,546","16,977","16,564","10,731","19,847","12,740","11,218","4,579","126,239"
1993,"3,091","3,607","4,317","10,541","16,747","15,236","18,678","17,896","20,876","11,358","6,316","4,764","133,427"
1992,"4,727","5,381","6,497","10,048","16,301","18,956","19,985","19,411","14,362","12,623","5,663","2,557","136,511"
1991,"3,559","4,588","6,635","10,428","18,399","17,483","27,135","22,758","15,648","13,136","8,767","6,017","154,553"
1990,"3,396","7,164","8,138","12,025","15,966","22,890","28,917","22,927","11,515","11,903","7,970","3,723","156,534"
1989,"4,182","5,536","5,284","6,021","15,465","91,845","56,408","68,799","41,290","31,582","5,945",926,"333,283"
1988,"5,313","2,008","7,078","11,423","19,967","17,057","19,501","16,525","9,174","6,065","4,054","5,088","123,253"
1987,"1,116","2,154","1,413","2,406","5,088","5,160","11,916","11,361","9,816","10,086","6,409","2,489","69,414"
1986,"1,515","1,383","1,587","1,338","6,444","5,811","8,619","10,341","6,135","3,774","3,021","2,028","51,996"
1985,"1,641","1,926","1,860","1,833","6,333","6,099","8,718","8,067","5,496","4,617","2,721","1,485","50,796"
1984,"1,632","2,127","2,265","2,545","7,675","7,484","8,700","7,350","6,168","5,655","3,198","1,761","56,560"
1983,"1,449","1,266","1,419","1,911","3,694","4,809","5,976","5,309","3,223","4,971","2,264","1,773","38,064"
1982,777,"1,278","2,664","4,347","5,125","4,151","6,722","6,618","4,663","4,625","2,256",957,"44,183"
1981,534,903,"1,959","3,149","3,178","4,336","5,452","5,340","3,382","5,026","2,157",708,"36,124"
1980,225,669,"1,674","3,559","3,937","5,002","6,159","4,786","1,919","2,641","1,576","1,017","33,164"
1979,276,675,"1,995","4,124","6,136","4,959","3,712","9,880","4,308","3,493","1,660",983,"42,201"

