Name,Textbox3
Curecanti NRA,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"16,047",,,,,,,,,,,,"16,047"
2015,"16,524","16,434","21,250","39,923","95,113","159,826","181,545","191,914","112,272","58,090","36,898","14,953","944,742"
2014,"17,785","17,841","23,119","37,087","95,007","101,816","207,226","179,817","134,869","66,827","34,975","14,998","931,367"
2013,"16,960","16,786","22,643","28,871","85,497","124,055","177,148","147,810","114,923","35,064","29,925","14,481","814,163"
2012,"14,522","18,021","24,290","35,970","112,307","134,409","164,497","144,889","106,537","60,422","31,723","15,025","862,612"
2011,"22,685","17,497","21,551","49,228","70,097","144,600","185,966","179,415","116,657","66,058","34,483","16,231","924,468"
2010,"19,020","17,442","23,807","40,933","103,037","145,022","213,019","169,880","118,953","68,443","30,893","19,100","969,549"
2009,"16,815","17,415","20,869","38,314","127,565","138,932","191,960","162,875","126,303","61,891","34,475","15,755","953,169"
2008,"16,435","15,664","19,169","34,920","109,301","147,291","222,476","195,429","128,159","67,879","35,115","15,606","1,007,444"
2007,"23,231","15,663","34,434","52,492","98,882","144,046","191,788","162,286","124,188","67,798","36,044","13,788","964,640"
2006,"14,734","15,065","17,701","52,473","123,669","160,046","160,252","158,321","121,722","65,714","32,112","14,571","936,380"
2005,"17,298","16,575","22,946","38,622","103,498","137,832","196,443","115,950","130,749","55,525","33,055","14,275","882,768"
2004,"16,094","17,226","23,407","36,230","140,602","169,281","178,039","173,349","127,354","73,811","36,422","14,287","1,006,102"
2003,"17,093","16,329","21,527","43,724","99,680","146,743","211,688","198,097","128,456","73,850","35,768","15,855","1,008,810"
2002,"16,900","16,163","16,587","36,934","49,164","132,878","167,033","114,360","98,160","61,734","13,544","9,256","732,713"
2001,"16,627","14,273","20,180","32,103","82,353","141,263","124,419","189,450","111,863","72,758","57,452","17,035","879,776"
2000,"16,252","15,767","22,457","47,055","123,239","152,220","212,582","186,951","132,026","65,275","32,553","15,943","1,022,320"
1999,"15,018","18,859","29,859","41,964","92,240","137,463","227,325","221,650","138,143","73,875","32,617","15,510","1,044,523"
1998,"16,388","16,309","22,374","41,355","99,263","134,719","218,487","161,449","139,818","74,084","32,753","16,653","973,652"
1997,"15,714","13,900","19,235","35,444","97,499","142,871","221,565","175,852","114,145","78,698","34,408","17,349","966,680"
1996,"20,554","17,629","15,725","35,028","100,031","143,441","212,879","223,104","115,036","83,948","37,036","12,845","1,017,256"
1995,"15,807","14,217","16,191","30,965","92,150","162,620","218,832","180,711","136,528","71,024","37,362","16,665","993,072"
1994,"18,683","16,382","19,398","42,214","107,965","156,454","232,159","221,785","129,294","66,830","37,555","15,819","1,064,538"
1993,"17,525","14,488","19,329","33,268","122,770","155,964","257,426","207,369","136,787","72,851","39,155","12,166","1,089,098"
1992,"20,336","27,522","23,922","44,781","121,322","170,275","242,173","201,985","119,826","75,823","30,984","19,234","1,098,183"
1991,"17,367","20,721","20,487","40,248","120,199","157,790","236,057","210,144","131,389","76,893","40,279","19,355","1,090,929"
1990,"15,989","20,120","18,373","52,074","124,439","181,951","208,573","204,974","137,766","73,468","49,478","15,078","1,102,283"
1989,"17,240","19,258","26,079","68,978","122,455","183,098","203,954","209,446","139,021","77,673","40,488","17,757","1,125,447"
1988,"17,941","22,938","26,109","43,755","117,678","169,642","226,531","187,869","123,065","83,259","38,247","19,476","1,076,510"
1987,"21,153","22,787","26,043","52,789","113,086","177,909","235,672","191,422","140,250","66,352","32,029","17,331","1,096,823"
1986,"19,567","16,440","37,551","53,243","118,355","167,005","255,431","197,458","127,812","66,908","35,945","19,041","1,114,756"
1985,"22,117","17,025","22,062","44,761","115,577","153,665","218,488","219,255","126,255","70,436","39,210","22,931","1,071,782"
1984,"17,423","16,809","15,095","30,035","95,664","132,032","222,218","208,618","140,373","60,081","40,625","15,170","994,143"
1983,"27,424","25,302","24,923","34,022","97,454","160,666","209,455","205,055","140,060","78,231","38,875","8,750","1,050,217"
1982,"14,204","15,117","20,172","44,666","110,900","163,705","197,758","182,642","119,474","66,806","40,982","17,839","994,265"
1981,"32,428","27,946","28,955","49,786","101,442","140,597","195,858","166,235","111,199","65,244","49,456","19,805","988,951"
1980,"10,140","14,658","14,619","27,085","96,379","123,606","181,880","174,614","102,350","69,367","52,078","24,714","891,490"
1979,"5,585","16,050","13,890","24,995","88,530","111,925","174,692","188,530","105,724","55,289","16,365","7,432","809,007"

