Name,Textbox3
Lake Roosevelt NRA,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2015,"20,370","48,963","40,341","87,496","73,263","216,089","241,751","205,715","109,563","66,223","36,948","24,121","1,170,843"
2014,"30,324","31,840","47,293","68,127","83,093","156,628","275,673","238,501","115,238","80,331","23,736","30,114","1,180,898"
2013,"26,615","44,594","78,636","110,923","110,015","157,004","288,339","230,418","108,271","44,113","30,579","24,902","1,254,409"
2012,"9,919","35,090","43,082","76,877","121,612","195,832","411,969","321,027","190,408","157,995","116,341","101,820","1,781,972"
2011,"41,835","63,537","86,113","85,326","72,203","193,140","343,898","352,735","158,509","51,178","39,648","35,352","1,523,474"
2010,"37,323","38,873","58,880","49,835","73,879","235,272","299,304","271,372","123,847","62,943","43,416","29,130","1,324,074"
2009,"18,210","20,794","40,044","62,418","138,271","219,496","315,880","290,144","168,332","51,796","34,211","23,067","1,382,663"
2008,"14,246","25,273","43,044","71,011","125,381","168,331","290,792","265,440","137,164","100,617","70,677","25,048","1,337,024"
2007,"23,265","25,392","48,244","61,028","106,819","191,062","335,533","357,742","149,654","83,062","41,064","27,573","1,450,438"
2006,"28,931","31,660","39,701","54,990","70,281","155,794","297,049","287,967","155,156","97,765","37,351","24,941","1,281,586"
2005,"21,766","39,931","49,606","82,397","100,882","175,399","296,242","280,392","95,500","65,397","41,406","23,201","1,272,119"
2004,"22,753","29,272","40,111","67,663","86,867","187,673","288,372","312,058","106,230","65,112","45,769","27,171","1,279,051"
2003,"25,738","26,699","40,216","61,966","75,157","165,745","369,036","314,860","152,990","61,954","35,781","26,189","1,356,331"
2002,"25,809","33,500","47,797","44,523","83,277","164,403","359,099","444,163","111,104","69,556","35,198","26,322","1,444,751"
2001,"30,314","31,160","44,652","39,627","81,144","136,441","312,859","330,687","122,642","55,731","34,661","32,242","1,252,160"
2000,"22,585","25,257","42,614","59,295","88,155","186,119","316,029","406,933","120,983","76,023","46,602","25,032","1,415,627"
1999,"33,943","27,052","48,423","52,595","81,878","213,318","311,361","327,171","168,574","66,003","46,981","26,494","1,403,793"
1998,"28,818","31,290","64,280","58,237","93,513","197,648","316,846","408,054","189,655","83,636","46,333","26,840","1,545,150"
1997,"25,899","23,671","25,990","45,952","84,185","207,823","342,040","379,762","151,137","63,635","51,958","29,908","1,431,960"
1996,"16,188","25,310","51,175","45,898","53,557","145,210","256,401","226,511","126,852","48,671","30,618","19,064","1,045,455"
1995,"36,560","33,204","46,140","60,166","78,576","242,312","284,558","291,715","151,775","53,885","39,586","22,539","1,341,016"
1994,"25,927","27,322","54,146","82,981","98,156","229,509","334,453","351,945","180,149","64,699","40,147","26,240","1,515,674"
1993,"9,229","12,950","17,456","41,811","93,598","211,070","273,806","314,212","83,724","69,756","44,975","26,018","1,198,605"
1992,"10,301","16,492","35,361","52,993","90,002","181,481","262,301","286,044","77,092","57,222","36,274","16,410","1,121,973"
1991,"13,902","35,666","64,232","107,149","120,464","172,451","280,259","433,301","340,261","131,037","47,994","24,704","1,771,420"
1990,"25,656","23,353","73,240","103,089","155,269","156,202","305,435","317,248","184,288","101,897","62,721","34,117","1,542,515"
1989,"13,774","18,865","36,271","47,653","132,084","153,494","230,952","266,859","102,663","48,386","29,416","16,719","1,097,136"
1988,"17,920","25,802","46,051","79,961","109,007","163,268","336,528","329,793","156,143","66,028","19,812","15,992","1,366,305"
1987,"5,335","8,248","22,982","40,261","86,735","147,702","252,390","260,254","138,468","59,756","32,603","12,267","1,067,001"
1986,"1,794","1,507","15,028","28,885","39,797","135,319","224,514","212,482","72,065","41,921","13,237","3,762","790,311"
1985,970,"1,435","7,658","22,158","50,085","81,058","154,740","93,908","72,125","20,633","10,760","1,941","517,471"
1984,"2,008","2,801","11,585","23,112","50,485","105,981","175,328","134,362","78,618","26,451","9,662","2,515","622,908"
1983,"2,714","2,917","9,986","24,654","69,479","95,476","154,697","171,339","77,919","35,158","18,219","3,783","666,341"
1982,"2,279","2,176","12,638","27,184","69,927","137,692","203,448","210,475","101,285","37,746","10,704","3,774","819,328"
1981,"2,885","3,445","11,847","36,565","69,088","146,208","240,918","192,819","112,556","35,355","18,364","3,704","873,754"
1980,"2,108","2,796","5,152","13,565","64,295","123,593","251,390","216,570","97,921","42,605","9,760","3,645","833,400"
1979,"2,095","2,698","13,027","30,627","73,162","144,023","220,907","160,845","69,252","65,314","9,844","2,916","794,710"

