Name,Textbox3
Salinas Pueblo Missions NM,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"1,394","2,522",,,,,,,,,,,"3,916"
2015,"1,250","1,652","2,697","3,010","3,071","2,571","3,556","2,877","2,642","3,674","1,714",958,"29,672"
2014,"1,642","1,797","2,361","2,772","2,928","2,523","3,440","2,940","2,773","3,868","2,117","1,376","30,537"
2013,"1,082","1,519","2,259","2,392","2,557","2,687","3,169","2,153","2,529","1,442","1,658","1,389","24,836"
2012,"1,915","1,596","2,601","2,934","2,852","3,009","2,763","2,224","3,127","3,431","1,537","1,239","29,228"
2011,"1,523","1,333","2,423","2,479","3,247","2,519","3,553","2,410","3,595","4,030","1,908",766,"29,786"
2010,"1,363","1,313","2,380","3,159","3,852","3,307","3,278","3,152","4,016","3,888","1,872","1,361","32,941"
2009,"1,908","2,204","2,992","2,980","4,462","3,975","4,211","3,466","3,614","4,241","2,320","1,475","37,848"
2008,"1,502","1,856","3,118","2,553","3,009","2,674","2,949","3,304","2,994","3,571","2,386","1,332","31,248"
2007,878,"1,605","2,861","2,847","3,722","3,705","3,445","3,007","3,767","3,829","2,005","1,389","33,060"
2006,"1,992","1,825","2,577","3,039","3,322","2,893","3,266","2,765","3,993","3,947","2,296","1,081","32,996"
2005,"1,438","1,484","2,361","3,456","3,456","3,531","4,021","3,208","3,322","4,038","2,696","1,799","34,810"
2004,"1,746","1,605","3,093","3,369","3,430","2,952","4,408","3,226","3,393","3,727","1,562","1,705","34,216"
2003,"1,887","1,522","2,603","2,797","3,309","3,290","4,090","3,394","2,955","3,857","2,426","1,697","33,827"
2002,"1,596","1,804","2,970","3,510","3,998","3,494","4,060","3,614","3,148","3,909","2,214","1,353","35,670"
2001,"1,112","1,684","2,757","3,525","3,452","3,410","4,282","3,431","3,798","3,619","1,966","1,532","34,568"
2000,"2,120","2,079","2,651","3,427","3,824","3,450","4,529","3,081","3,046","3,804","1,766","1,065","34,842"
1999,"2,020","2,334","2,790","3,299","4,134","4,046","4,379","4,052","3,892","4,466","2,961","1,589","39,962"
1998,"1,654","1,890","2,962","3,836","4,400","3,793","4,124","3,774","3,905","4,629","2,510","1,987","39,464"
1997,"1,421","2,340","3,914","3,631","4,645","4,996","4,678","4,941","3,410","4,503","2,357",874,"41,710"
1996,"2,069","2,802","3,832","3,860","4,535","4,082","5,304","4,384","4,821","4,458","2,586","2,180","44,913"
1995,"1,857","2,973","5,524","9,202","6,094","4,636","5,969","4,457","4,553","5,374","2,497",814,"53,950"
1994,"2,073","2,623","3,672","4,660","5,049","4,465","6,255","5,421","5,403","6,450","2,735","2,585","51,391"
1993,"1,634","2,568","3,484","4,932","5,515","5,387","5,451","5,093","5,275","5,813","2,724","2,407","50,283"
1992,"1,372","2,195","3,303","4,944","3,847","4,929","6,223","5,778","4,872","5,748","2,188","1,308","46,707"
1991,"1,185","2,093","2,990","3,185","5,160","3,867","4,772","5,876","4,291","4,789","1,613","1,350","41,171"
1990,"1,540","1,787","3,158","3,226","3,791","3,290","4,123","3,932","4,354","3,688","2,280","1,144","36,313"
1989,"1,401","1,989","3,782","3,481","3,834","3,863","4,192","4,233","3,545","3,955","2,914","1,534","38,723"
1988,736,"1,233","2,672","2,003","3,542","3,427","4,075","3,731","3,253","5,413","2,417","1,612","34,114"
1987,804,"1,083","2,130","3,459","4,554","3,601","4,236","4,292","3,915","4,223","2,170",626,"35,093"
1986,"1,890","1,231","2,687","2,465","2,973","3,032","3,744","3,744","3,316","2,779","1,717","1,041","30,619"
1985,"1,147","1,177","2,139","2,309","3,429","3,678","3,785","3,403","2,766","2,943","1,476","1,391","29,643"
1984,"1,097","1,709","2,180","2,370","3,195","2,830","3,857","3,288","3,208","2,383","1,579",699,"28,395"
1983,938,"1,063","3,150","2,798","3,870","3,689","6,034","4,314","3,434","3,605","2,121",952,"35,968"
1982,"1,595","1,293","2,161","3,319","5,018","3,310","4,114","3,181","3,047","3,283","1,645",525,"32,491"
1981,"1,091",695,815,"1,038","2,179","1,820","2,641","2,365","1,568","3,120","1,940","1,087","20,359"
1980,657,677,"1,355","1,671","2,183","2,468","2,783","5,504",983,"1,333","1,194",940,"21,748"
1979,947,"1,735","3,337","2,570","1,955","2,257","2,419","2,398","5,710","1,375","1,020","1,005","26,728"

