Name,Textbox3
Rainbow Bridge NM,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,93,,,,,,,,,,,,93
2015,0,100,200,"3,000","12,000","15,000","15,000","13,000","12,000","6,000",702,268,"77,270"
2014,149,144,249,"3,878","9,030","13,000","10,000","10,000","10,000","5,800",400,260,"62,910"
2013,142,138,222,"4,088","9,001","6,533","8,225","12,200","10,233","3,333",408,250,"54,773"
2012,141,158,189,"4,400","9,131","21,101","12,680","7,932","10,516","8,330",360,276,"75,214"
2011,165,118,189,"4,307","9,131","19,131","32,000","9,864","8,350","8,285",638,133,"92,311"
2010,124,167,189,"4,315","9,313","24,138","33,599","18,441","8,086","5,463",546,120,"104,501"
2009,152,118,210,"4,494","12,133","20,035","29,718","24,617","15,320","6,048",491,124,"113,460"
2008,125,125,"1,700","3,481","12,213","18,826","28,850","21,750","2,907","4,878",600,112,"95,567"
2007,109,214,"1,935","3,350","8,547","12,273","19,879","16,098","13,266","4,911",850,175,"81,607"
2006,111,211,"1,214","4,089","8,935","20,060","19,622","14,604","13,266","4,673",704,153,"87,642"
2005,0,0,"1,344","3,006","7,724","11,426","20,137","17,596","12,472","6,114","1,215",172,"81,206"
2004,34,779,"3,249","4,141","9,718","13,413","17,107","10,088","10,078","4,707",232,129,"73,675"
2003,361,432,"3,129","5,624","7,926","22,346","20,153","18,467","13,474","6,318",418,217,"98,865"
2002,961,588,"1,195","5,148","20,531","22,761","37,493","36,323","24,253","14,544","2,148","1,791","167,736"
2001,"1,177",595,"1,210","8,548","15,604","41,166","27,972","42,982","25,366","21,013","3,534",583,"189,750"
2000,572,"1,216","4,612","13,384","9,996","47,300","35,839","39,078","22,421","19,323","2,393","1,480","197,614"
1999,528,"1,154","5,071","4,762","28,492","41,789","42,901","48,879","36,103","20,050","3,603","1,218","234,550"
1998,"1,976",918,"3,578","9,368","29,318","35,160","36,213","34,787","24,482","15,588","2,028","2,500","195,916"
1997,753,921,"5,366","5,595","24,024","31,683","31,908","26,228","34,252","13,544","3,489","2,028","179,791"
1996,300,848,"6,029","30,000","44,633","58,028","46,000","39,858","56,083","33,153","8,913","1,717","325,562"
1995,623,"3,000","10,467","31,167","44,633","58,028","46,000","55,416","53,926","32,188","9,003","1,700","346,151"
1994,623,"1,083","6,029","19,458","26,618","49,390","45,988","54,330","52,869","31,557","8,827","1,879","298,651"
1993,623,"1,177","6,077","10,426","35,592","36,875","33,000","40,000","25,000","15,640","4,513","2,331","211,254"
1992,841,"1,152","5,528","10,674","18,372","37,239","52,136","65,192","35,464","22,716","4,513","2,331","256,158"
1991,690,"1,541","6,284","10,689","17,837","36,696","51,187","64,881","32,453","28,173","5,426","2,489","258,346"
1990,"4,525","4,883","8,725","11,161","16,466","42,180","47,395","51,258","29,327","28,774","7,392","3,334","255,420"
1989,"4,013","4,855","8,643","10,822","14,612","42,350","47,492","53,268","29,374","15,907","4,556","2,415","238,307"
1988,"4,013","4,855","8,643","10,822","14,612","42,350","47,492","53,268","29,374","15,907","4,556","2,415","238,307"
1987,749,"1,631","4,312","8,855","12,756","37,036","40,614","46,941","35,391","12,076","5,895","4,452","210,708"
1986,684,928,"4,675","10,878","26,667","50,477","62,158","58,890","45,573","17,793","3,794","1,080","283,597"
1985,331,369,570,"3,846","23,826","35,934","30,807","37,303","26,525","12,566","4,066",895,"177,038"
1984,260,368,482,"5,548","16,964","32,804","13,061","14,071","14,191","20,255","59,430",537,"177,971"
1983,90,90,320,"12,421","14,721","30,336","34,008","31,363","27,240","8,940","1,652",370,"161,551"
1982,483,378,"2,893","9,866","21,323","46,919","32,300","26,204","19,904","10,068","1,439",349,"172,126"
1981,454,693,"1,736","11,105","12,960","18,098","16,102","16,907","17,752","14,434","3,822",492,"114,555"
1980,262,330,"1,653","6,829","8,928","16,913","25,412","14,920","13,384","10,507","9,556","5,122","113,816"
1979,49,137,"2,026","9,844","11,017","18,210","14,739","16,129","13,699","9,030","1,976",210,"97,066"

