Name,Textbox3
Effigy Mounds NM,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"3,316","4,176",,,,,,,,,,,"7,492"
2015,"3,577","5,112","5,436","4,924","8,211","8,649","11,419","10,603","8,187","11,407","2,346","2,030","81,901"
2014,"2,703","5,434","3,905","3,595","8,381","9,224","13,030","10,915","7,162","9,313","2,117","2,033","77,812"
2013,"3,615","5,990","3,775","3,777","7,510","8,609","12,070","10,739","7,340","3,728","2,170","1,751","71,074"
2012,"3,339","5,741","5,095","3,596","7,396","9,250","9,245","11,056","8,761","9,924","2,825","2,312","78,540"
2011,"3,400","4,650","3,486","4,511","7,406","10,230","11,842","10,638","7,785","14,259","2,258","2,116","82,581"
2010,"2,611","3,718","4,541","4,223","7,339","7,224","9,292","10,302","11,470","15,351","2,233","1,479","79,783"
2009,"2,628","3,404","3,647","4,144","7,994","7,422","14,788","9,851","9,680","10,725","2,348","1,546","78,177"
2008,"2,704","3,027","3,658","2,678","6,137","4,880","10,147","8,867","8,825","14,523","1,723","1,527","68,696"
2007,"2,569","2,834","3,193","4,614","9,996","8,815","17,608","7,513","11,046","16,390","2,158","1,532","88,268"
2006,"3,186","3,735","3,864","6,352","8,174","9,372","14,008","10,688","12,430","14,022","2,194","2,174","90,199"
2005,"2,751","3,874","4,588","6,517","9,742","9,009","12,966","8,437","11,296","15,745","1,901","1,720","88,546"
2004,"3,212","3,656","4,627","5,404","7,394","11,026","14,643","10,903","16,385","12,378","1,938","2,009","93,575"
2003,"2,092","1,715","2,671","4,928","9,554","7,090","13,485","11,180","10,986","13,665","1,620",672,"79,658"
2002,"2,136","2,125","2,224","2,707","9,168","7,586","10,740","9,267","11,666","14,956","1,660",826,"75,061"
2001,"1,913","1,339","2,236","1,600","10,356","9,698","12,412","7,399","12,726","17,560","2,005",602,"79,846"
2000,"1,649","1,530","2,056","5,368","8,346","7,849","13,383","8,098","11,627","16,071","1,272",314,"77,563"
1999,"1,280","1,864","1,752","4,184","9,321","10,495","10,206","12,967","10,594","16,031","1,367",353,"80,414"
1998,"1,738","1,598","1,474","5,231","9,544","7,711","11,244","9,729","9,104","11,482","1,187",517,"70,559"
1997,"1,402","2,159","1,873","3,241","9,260","8,336","12,590","10,988","9,746","15,327","1,160",491,"76,573"
1996,257,590,"1,061","4,057","7,617","8,214","12,870","15,406","12,892","30,019",666,245,"93,894"
1995,"3,510","3,058","2,825","2,452","9,278","9,448","12,152","10,163","8,708","12,534",822,140,"75,090"
1994,"2,389","2,036","2,680","5,962","10,360","7,933","16,782","16,378","10,171","22,295","1,418","1,434","99,838"
1993,"3,246","2,614","3,790","2,630","8,062","11,077","12,606","13,211","10,844","19,289","1,489",576,"89,434"
1992,"3,570","3,546","3,516","3,559","11,323","12,344","20,884","22,937","19,074","26,315","1,340",534,"128,942"
1991,"4,304","4,015","4,625","3,300","8,727","12,694","21,251","28,439","15,831","21,266",581,664,"125,697"
1990,"4,457","3,848","4,656","4,318","8,560","8,436","13,646","17,360","11,780","28,585","2,448",428,"108,522"
1989,"3,214","2,543","3,132","2,675","8,429","12,912","14,840","17,335","15,734","26,516","1,868",467,"109,665"
1988,"2,403","3,789","4,019","2,708","8,458","12,004","16,268","14,208","12,572","23,530","1,122",484,"101,565"
1987,"2,609","4,382","3,975","3,253","7,271","10,042","13,444","10,873","12,773","16,948","1,654",410,"87,634"
1986,"3,833","3,402","3,526","3,232","8,186","9,739","12,062","17,605","9,295","14,197","2,083",604,"87,764"
1985,"3,661","3,651","2,964","2,661","8,109","11,860","15,079","15,304","8,864","18,880","1,514",527,"93,074"
1984,"4,058","3,194","2,527","2,463","7,296","12,121","16,292","14,081","11,981","16,487","1,868",425,"92,793"
1983,"2,874","4,506","2,863","1,890","8,359","10,495","16,068","15,188","9,552","25,835","1,771",161,"99,562"
1982,"1,168","3,125","1,457","2,276","8,978","11,239","16,054","15,043","10,399","22,764","1,393",409,"94,305"
1981,"2,292","1,438","2,127","2,029","6,498","8,217","11,919","14,430","10,382","18,046","2,117",386,"79,881"
1980,"1,185","1,956","1,701","1,388","4,200","10,000","13,373","14,312","6,178","19,462","1,429",371,"75,555"
1979,"1,109","1,552","1,067","1,972","5,014","6,200","10,148","8,360","8,270","13,946",993,433,"59,064"

