Name,Textbox3
El Morro NM,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"2,501",,,,,,,,,,,,"2,501"
2015,"1,812","2,834","3,115","4,106","5,451","5,431","5,990","6,917","4,793","4,215","2,282","2,444","49,390"
2014,"1,979","1,868","3,165","3,793","5,527","5,175","5,724","5,084","5,217","4,120","2,581","2,023","46,256"
2013,"1,317","1,571","3,012","3,833","5,149","3,116","5,845","5,556","4,168","2,133","2,342","2,009","40,051"
2012,"1,794","1,985","3,028","3,458","5,149","5,025","5,903","4,788","4,618","4,688","2,465","1,907","44,808"
2011,"2,005","1,794","3,787","4,124","5,525","4,654","5,876","5,549","4,877","4,891","4,347",903,"48,332"
2010,"1,844","2,007","3,484","4,425","6,189","6,010","6,617","6,353","5,383","5,184","2,866","2,204","52,566"
2009,"2,013","2,099","3,388","4,158","5,473","5,625","5,744","5,469","4,987","4,516","2,758","2,015","48,245"
2008,"2,015","2,007","3,560","3,889","5,726","4,403","5,256","5,003","4,243","4,311","2,834","1,931","45,178"
2007,"2,190","1,949","3,950","4,423","5,545","5,321","6,031","7,768","4,641","4,616","2,780","2,278","51,492"
2006,"2,637","2,782","3,584","4,308","5,856","5,173","6,062","5,395","4,948","5,409","3,691","2,452","52,297"
2005,"2,533","2,300","4,050","4,398","6,375","5,807","6,194","5,428","4,679","4,586","2,910","2,565","51,825"
2004,"2,904","2,573","5,090","5,010","14,203","6,087","6,731","7,094","5,400","5,076","3,024","2,685","65,877"
2003,"2,790","2,388","3,994","4,748","6,467","6,337","6,904","6,783","5,729","5,459","3,484","2,806","57,889"
2002,"3,026","2,593","4,492","5,346","8,672","6,046","6,823","6,586","5,398","5,192","3,209","2,760","60,143"
2001,"2,477","4,728","4,104","5,328","7,958","6,534","7,342","7,817","7,532","5,900","5,226","3,940","68,886"
2000,"3,628","4,230","4,230","6,259","9,278","7,328","7,519","6,190","6,179","5,039","4,215","3,612","67,707"
1999,"2,497","3,230","5,542","5,546","8,929","9,005","11,339","7,959","10,216","8,051","4,364","3,851","80,529"
1998,"2,517","2,638","4,753","8,260","10,925","10,293","10,203","8,230","8,638","6,011","4,103","3,382","79,953"
1997,"2,308","2,721","5,778","8,531","10,913","10,569","9,616","7,995","8,375","6,315","4,185","2,840","80,146"
1996,"2,422","3,778","5,653","8,672","10,655","10,704","9,659","7,949","8,366","8,256","3,451","3,090","82,655"
1995,"3,432","4,142","5,985","8,382","10,271","10,460","9,646","8,672","8,216","8,278","3,240","2,840","83,564"
1994,"4,305","3,663","6,295","9,987","10,248","8,714","10,020","9,360","9,818","6,767","4,207","4,164","87,548"
1993,"2,980","3,022","5,951","7,046","10,999","9,193","8,951","9,532","8,021","7,039","3,828","3,908","80,470"
1992,"3,166","3,356","4,828","7,497","11,791","9,239","9,420","10,732","7,661","6,943","3,733","3,109","81,475"
1991,"2,713","2,884","4,170","5,904","8,459","8,202","8,811","8,903","6,773","6,201","3,250","3,169","69,439"
1990,"3,198","3,354","4,992","6,809","8,280","8,024","8,288","7,912","5,913","5,846","3,859","2,868","69,343"
1989,"3,195","2,940","5,064","5,538","7,885","7,624","8,308","7,803","6,539","6,011","3,468","2,881","67,256"
1988,"2,057","2,694","3,853","4,242","7,581","6,505","7,856","7,511","6,043","6,092","3,611","3,133","61,178"
1987,"2,088","2,122","3,013","4,647","6,458","6,890","7,801","8,001","5,652","4,651","2,779","2,324","56,426"
1986,"2,709","2,252","3,780","4,212","6,577","6,107","7,006","7,134","5,149","4,488","2,987","2,540","54,941"
1985,557,700,"1,769","3,418","7,584","8,074","7,961","7,044","3,750","2,935","1,222","2,285","47,299"
1984,596,994,"1,782","2,115","4,303","4,790","5,719","5,301","3,572","1,830","1,062","1,061","33,125"
1983,538,740,"1,429","2,083","3,597","4,908","5,523","4,058","2,505","2,121","1,038",738,"29,278"
1982,485,614,"1,240","2,575","4,046","3,689","4,913","5,396","2,815","2,357","1,291",512,"29,933"
1981,825,963,"1,316","2,727","3,587","3,800","3,986","3,743","2,254","1,847","1,243","1,245","27,536"
1980,605,749,"1,548","2,040","3,295","4,251","4,168","4,471","2,919","2,597","1,734","1,146","29,523"
1979,379,586,"1,529","2,521","3,627","4,483","5,238","4,601","2,673","2,273","1,176",549,"29,635"

