Name,Textbox3
Abraham Lincoln Birthplace NHP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Recreation%20Visitors%20By%20Month%20(1979%20-%20Last%20Calendar%20Year)

Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
2016,"5,955","5,721",,,,,,,,,,,"11,676"
2015,"3,486","2,625","6,552","13,507","15,904","20,274","23,214","18,854","16,516","13,930","8,712","5,031","148,605"
2014,"2,954","4,645","9,564","20,110","31,790","40,058","45,598","34,672","24,368","18,777","5,400","3,328","241,264"
2013,"4,063","3,518","10,482","12,302","19,672","25,736","28,815","21,662","21,228","3,930","8,544","3,976","163,928"
2012,"3,772","4,920","11,844","16,608","18,076","26,021","25,608","20,010","18,888","12,490","6,536","4,742","169,515"
2011,"2,643","3,647","7,925","19,339","16,958","21,492","26,221","20,223","20,568","12,889","6,757","4,906","163,568"
2010,"3,878","5,167","8,054","18,178","19,290","24,308","29,269","21,939","22,223","14,265","6,467","4,084","177,122"
2009,"4,199","7,313","11,576","23,545","23,776","34,697","39,696","27,303","26,285","11,521","7,148","4,052","221,111"
2008,"5,829","6,911","10,720","17,829","26,295","33,817","29,225","22,166","21,765","13,747","8,013","4,087","200,404"
2007,"4,960","5,877","9,868","17,900","21,277","29,353","37,586","18,805","24,115","16,434","10,223","6,552","202,950"
2006,"5,635","6,461","10,449","18,893","17,195","29,967","31,376","21,663","25,516","14,435","10,469","7,995","200,054"
2005,"4,160","6,422","10,737","19,170","19,280","26,943","36,098","23,308","17,896","13,924","7,302","5,569","190,809"
2004,"4,438","6,929","11,008","20,939","22,311","28,656","29,358","25,318","22,419","14,230","8,210","8,012","201,828"
2003,"5,537","6,064","12,005","20,202","23,537","29,184","35,912","27,793","23,970","14,650","7,325","5,471","211,650"
2002,"7,613","8,839","13,599","23,978","29,236","36,158","37,956","30,700","25,218","17,177","9,621","10,677","250,772"
2001,"5,294","7,236","11,609","23,039","27,133","28,642","35,143","33,524","22,230","17,642","11,458","6,725","229,675"
2000,"5,722","7,108","12,726","23,698","27,027","30,403","35,085","37,343","24,811","17,509","9,653","5,095","236,180"
1999,"3,965","6,904","10,641","21,686","27,508","34,489","40,882","42,477","27,277","18,896","10,455","6,024","251,204"
1998,"5,468","6,131","10,812","22,057","26,859","34,578","41,358","44,322","27,471","17,859","8,944","4,983","250,842"
1997,"4,820","7,014","11,899","22,406","28,259","37,096","44,944","47,853","25,869","19,645","8,108","4,976","262,889"
1996,"3,168","6,305","11,031","20,920","26,565","35,569","45,318","39,004","27,207","20,453","7,765","6,039","249,344"
1995,"4,855","7,298","15,213","27,197","30,021","37,984","50,043","37,331","28,179","19,459","7,846","3,083","268,509"
1994,"2,791","6,064","13,270","25,077","33,911","38,296","50,349","40,963","29,539","21,576","10,109","7,597","279,542"
1993,"6,827","6,264","10,616","25,666","31,065","41,912","53,222","47,290","32,062","22,199","9,703","6,884","293,710"
1992,"5,796","9,402","13,529","23,709","33,661","43,937","53,386","45,547","31,647","24,843","10,245","7,037","302,739"
1991,"4,638","7,525","14,873","26,366","33,334","43,418","59,582","50,771","30,492","27,074","10,498","8,374","316,945"
1990,"5,475","8,303","14,032","32,088","31,259","42,742","58,403","47,773","30,545","20,955","11,245","4,849","307,669"
1989,"5,248","5,825","15,499","24,152","35,768","47,289","57,136","50,888","29,366","23,895","9,556","5,201","309,823"
1988,"4,124","5,944","10,653","23,639","31,716","46,750","52,572","44,378","28,329","23,724","10,436","6,059","288,324"
1987,"3,910","4,916","11,964","24,839","34,749","45,870","52,849","48,752","29,760","21,839","8,236","5,141","292,825"
1986,"4,754","4,589","13,019","24,633","31,304","46,829","52,264","47,183","23,227","20,030","7,776","5,012","280,620"
1985,"2,322","2,532","8,641","24,070","30,329","44,353","53,333","43,303","22,970","20,269","8,133","4,650","264,905"
1984,"2,841","6,056","7,660","20,837","29,075","44,950","51,650","44,335","21,922","17,073","7,262","4,362","258,023"
1983,"3,469","4,929","10,620","22,103","28,663","42,974","47,895","40,832","20,182","22,430","8,119","3,910","256,126"
1982,"2,374","5,101","10,839","24,977","39,963","55,893","61,748","54,038","28,767","23,580","6,968","4,459","318,707"
1981,"3,395","5,390","10,659","17,808","29,005","36,651","46,246","50,005","25,049","15,981","8,646","3,410","252,245"
1980,"2,496","2,871","8,312","16,733","24,497","33,963","41,609","49,597","26,251","20,522","8,017","4,206","239,074"
1979,"1,586","3,036","9,853","33,087","27,838","31,582","60,896","47,171","29,797","16,777","5,978","3,630","271,231"

